,split_0,split_1,split_2,averb,averb_s,averb_o,averb_relation,root,root_full,root_s,root_o,fverb,fword,apos,apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices
51,"Additionally , we investigate the most effective strategy for utilizing",mBERT,"in this manner , determine to what extent mBERT generalizes away from language specific features , and measure factors that influence cross - lingual transfer .",investigate,['Additionally'],"['the most effective strategy for utilizing mBERT in', 'this manner , determine to what extent mBERT generalizes away from language specific features , and measure factors that influence cross - lingual transfer .']",-1.0,investigate,investigate,['Additionally'],"['the most effective strategy for utilizing mBERT in', 'this manner , determine to what extent mBERT generalizes away from language specific features , and measure factors that influence cross - lingual transfer .']",generalizes,in,"['NOUN', 'ADP', 'NOUN']","['mBERT', 'for', 'strategy']",https://www.semanticscholar.org/paper/Beto%2C-Bentz%2C-Becas%3A-The-Surprising-Cross-Lingual-of-Wu-Dredze/2fa3f7ce620a1c7155daef6620dd6bb0e01934f3,7,Abstract,4,"Additionally, we investigate the most effective strategy for utilizing mBERT in this manner, determine to what extent mBERT generalizes away from language specific features, and measure factors that influence cross-lingual transfer.","['Additionally', ',', 'we', 'investigate', 'the', 'most', 'effective', 'strategy', 'for', 'utilizing', 'mBERT', 'in', 'this', 'manner', ',', 'determine', 'to', 'what', 'extent', 'mBERT', 'generalizes', 'away', 'from', 'language', 'specific', 'features', ',', 'and', 'measure', 'factors', 'that', 'influence', 'cross', '-', 'lingual', 'transfer', '.']","(10, 11)","(71, 76)"
52,"Additionally , we investigate the most effective strategy for utilizing mBERT in this manner , determine to what extent",mBERT,"generalizes away from language specific features , and measure factors that influence cross - lingual transfer .",generalizes,['what extent mBERT'],"['away from language specific features , and measure factors that influence cross - lingual transfer .']",1.0,investigate,investigate,['Additionally'],"['the most effective strategy for utilizing mBERT in', 'this manner , determine to what extent mBERT generalizes away from language specific features , and measure factors that influence cross - lingual transfer .']",generalizes,generalizes,"['NOUN', 'VERB', 'VERB']","['mBERT', 'generalizes', 'determine']",https://www.semanticscholar.org/paper/Beto%2C-Bentz%2C-Becas%3A-The-Surprising-Cross-Lingual-of-Wu-Dredze/2fa3f7ce620a1c7155daef6620dd6bb0e01934f3,7,Abstract,4,"Additionally, we investigate the most effective strategy for utilizing mBERT in this manner, determine to what extent mBERT generalizes away from language specific features, and measure factors that influence cross-lingual transfer.","['Additionally', ',', 'we', 'investigate', 'the', 'most', 'effective', 'strategy', 'for', 'utilizing', 'mBERT', 'in', 'this', 'manner', ',', 'determine', 'to', 'what', 'extent', 'mBERT', 'generalizes', 'away', 'from', 'language', 'specific', 'features', ',', 'and', 'measure', 'factors', 'that', 'influence', 'cross', '-', 'lingual', 'transfer', '.']","(19, 20)","(119, 124)"
53,"Beto, Bentz, Becas: The Surprising Cross-Lingual Effectiveness of",BERT,.,,,,,Beto,Beto,[],['Bentz'],,,"['PROPN', 'ADP', 'PROPN']","['BERT', 'of', 'Effectiveness']",https://www.semanticscholar.org/paper/Beto%2C-Bentz%2C-Becas%3A-The-Surprising-Cross-Lingual-of-Wu-Dredze/2fa3f7ce620a1c7155daef6620dd6bb0e01934f3,7,Title,0,"Beto, Bentz, Becas: The Surprising Cross-Lingual Effectiveness of BERT.","['Beto,', 'Bentz,', 'Becas:', 'The', 'Surprising', 'Cross-Lingual', 'Effectiveness', 'of', 'BERT', '.']","(8, 9)","(65, 69)"
54,"Language model pre - training , such as",BERT,", has significantly improved the performances of many natural language processing tasks .",pre,['Language model'],"['-', 'training , such as BERT ,']",-1.0,improved,has improved,"['Language model pre - training , such as BERT ,', 'significantly']","['the performances of many natural language processing tasks', '.']",has,has,"['PROPN', 'SCONJ', 'ADJ']","['BERT', 'as', 'training']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,0,"Language model pre-training, such as BERT, has significantly improved the performances of many natural language processing tasks.","['Language', 'model', 'pre', '-', 'training', ',', 'such', 'as', 'BERT', ',', 'has', 'significantly', 'improved', 'the', 'performances', 'of', 'many', 'natural', 'language', 'processing', 'tasks', '.']","(8, 9)","(39, 43)"
55,"However, pre-trained language models are usually computationally expensive and memory intensive, so it is difficult to effectively execute them on some resource-restricted devices.",,,,,,,usually,are usually,"['However ,']","['computationally expensive and memory intensive', 'so it is difficult to effectively execute them on some resource - restricted devices .']",,,,,https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,1,"However, pre-trained language models are usually computationally expensive and memory intensive, so it is difficult to effectively execute them on some resource-restricted devices.","['However,', 'pre-trained', 'language', 'models', 'are', 'usually', 'computationally', 'expensive', 'and', 'memory', 'intensive,', 'so', 'it', 'is', 'difficult', 'to', 'effectively', 'execute', 'them', 'on', 'some', 'resource-restricted', 'devices.']",,
56,"To accelerate inference and reduce model size while maintaining accuracy, we firstly propose a novel transformer distillation method that is a specially designed knowledge distillation (KD) method for transformer-based models.",,,,,,,accelerate,accelerate,['To'],"['inference reduce model size', 'while maintaining accuracy , we firstly propose a novel transformer distillation method that is a specially designed knowledge distillation ( KD ) method for transformer - based models .']",,,,,https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,2,"To accelerate inference and reduce model size while maintaining accuracy, we firstly propose a novel transformer distillation method that is a specially designed knowledge distillation (KD) method for transformer-based models.","['To', 'accelerate', 'inference', 'and', 'reduce', 'model', 'size', 'while', 'maintaining', 'accuracy,', 'we', 'firstly', 'propose', 'a', 'novel', 'transformer', 'distillation', 'method', 'that', 'is', 'a', 'specially', 'designed', 'knowledge', 'distillation', '(KD)', 'method', 'for', 'transformer-based', 'models.']",,
57,"By leveraging this new KD method , the plenty of knowledge encoded in a large teacher BERT can be well transferred to",a small student TinyBERT,.,can be transferred,['the plenty of knowledge encoded in a large teacher BERT'],[],-1.0,transferred,can be transferred,['the plenty of knowledge encoded in a large teacher BERT'],[],,,"['NOUN', 'ADP', 'VERB']","['student', 'to', 'transferred']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,3,"By leveraging this new KD method, the plenty of knowledge encoded in a large teacher BERT can be well transferred to a small student TinyBERT.","['By', 'leveraging', 'this', 'new', 'KD', 'method', ',', 'the', 'plenty', 'of', 'knowledge', 'encoded', 'in', 'a', 'large', 'teacher', 'BERT', 'can', 'be', 'well', 'transferred', 'to', 'a', 'small', 'student', 'TinyBERT', '.']","(22, 26)","(117, 141)"
58,"By leveraging this new KD method , the plenty of knowledge encoded in",a large teacher BERT,can be well transferred to a small student TinyBERT .,encoded,[],[],-1.0,transferred,can be transferred,['the plenty of knowledge encoded in a large teacher BERT'],[],be,can,"['NOUN', 'ADP', 'VERB']","['BERT', 'in', 'encoded']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,3,"By leveraging this new KD method, the plenty of knowledge encoded in a large teacher BERT can be well transferred to a small student TinyBERT.","['By', 'leveraging', 'this', 'new', 'KD', 'method', ',', 'the', 'plenty', 'of', 'knowledge', 'encoded', 'in', 'a', 'large', 'teacher', 'BERT', 'can', 'be', 'well', 'transferred', 'to', 'a', 'small', 'student', 'TinyBERT', '.']","(13, 17)","(69, 89)"
59,"Moreover , we introduce a new two - stage learning framework for",TinyBERT,", which performs transformer distillation at both the pre - training and task - specific learning stages .",introduce,"['we', ',']","['a new two - stage learning framework for TinyBERT', 'which performs transformer distillation at both the pre - training and task - specific learning stages .']",-1.0,introduce,introduce,"['we', ',']","['a new two - stage learning framework for TinyBERT', 'which performs transformer distillation at both the pre - training and task - specific learning stages .']",performs,which,"['PROPN', 'ADP', 'NOUN']","['TinyBERT', 'for', 'framework']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,4,"Moreover, we introduce a new two-stage learning framework for TinyBERT, which performs transformer distillation at both the pre-training and task-specific learning stages.","['Moreover', ',', 'we', 'introduce', 'a', 'new', 'two', '-', 'stage', 'learning', 'framework', 'for', 'TinyBERT', ',', 'which', 'performs', 'transformer', 'distillation', 'at', 'both', 'the', 'pre', '-', 'training', 'and', 'task', '-', 'specific', 'learning', 'stages', '.']","(12, 13)","(64, 72)"
60,"Moreover , we introduce","a new two - stage learning framework for TinyBERT , which performs transformer distillation at both the pre - training and task - specific learning stages",.,introduce,"['we', ',']","['a new two - stage learning framework for TinyBERT', 'which performs transformer distillation at both the pre - training and task - specific learning stages .']",0.0,introduce,introduce,"['we', ',']","['a new two - stage learning framework for TinyBERT', 'which performs transformer distillation at both the pre - training and task - specific learning stages .']",,,['VERB'],['introduce'],https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,4,"Moreover, we introduce a new two-stage learning framework for TinyBERT, which performs transformer distillation at both the pre-training and task-specific learning stages.","['Moreover', ',', 'we', 'introduce', 'a', 'new', 'two', '-', 'stage', 'learning', 'framework', 'for', 'TinyBERT', ',', 'which', 'performs', 'transformer', 'distillation', 'at', 'both', 'the', 'pre', '-', 'training', 'and', 'task', '-', 'specific', 'learning', 'stages', '.']","(4, 30)","(23, 177)"
61,This framework ensures that,TinyBERT,can capture both the general - domain and task - specific knowledge of the teacher BERT .,can capture,['TinyBERT'],"['both the general - domain and', 'task - specific knowledge of the teacher BERT']",1.0,ensures,ensures,"['This', 'framework']",[],capture,can,"['PROPN', 'VERB', 'VERB']","['TinyBERT', 'capture', 'ensures']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,5,This framework ensures that TinyBERT can capture both the general-domain and task-specific knowledge of the teacher BERT.,"['This', 'framework', 'ensures', 'that', 'TinyBERT', 'can', 'capture', 'both', 'the', 'general', '-', 'domain', 'and', 'task', '-', 'specific', 'knowledge', 'of', 'the', 'teacher', 'BERT', '.']","(4, 5)","(27, 35)"
62,,This framework,ensures that TinyBERT can capture both the general - domain and task - specific knowledge of the teacher BERT .,ensures,"['This', 'framework']",[],0.0,ensures,ensures,"['This', 'framework']",[],ensures,ensures,['VERB'],['ensures'],https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,5,This framework ensures that TinyBERT can capture both the general-domain and task-specific knowledge of the teacher BERT.,"['This', 'framework', 'ensures', 'that', 'TinyBERT', 'can', 'capture', 'both', 'the', 'general', '-', 'domain', 'and', 'task', '-', 'specific', 'knowledge', 'of', 'the', 'teacher', 'BERT', '.']","(0, 2)","(0, 14)"
63,This framework ensures that TinyBERT can capture both the general - domain and task - specific knowledge of,the teacher BERT,.,can capture,['TinyBERT'],"['both the general - domain and', 'task - specific knowledge of the teacher BERT']",-1.0,ensures,ensures,"['This', 'framework']",[],,,"['NOUN', 'ADP', 'NOUN']","['teacher', 'of', 'knowledge']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,5,This framework ensures that TinyBERT can capture both the general-domain and task-specific knowledge of the teacher BERT.,"['This', 'framework', 'ensures', 'that', 'TinyBERT', 'can', 'capture', 'both', 'the', 'general', '-', 'domain', 'and', 'task', '-', 'specific', 'knowledge', 'of', 'the', 'teacher', 'BERT', '.']","(18, 21)","(107, 123)"
64,,TinyBERT,"is empirically effective and achieves comparable results with BERT in GLUE datasets , while being 7.5x smaller and 9.4x faster on inference .",is,['TinyBERT'],[],1.0,empirically,is empirically,[],['achieves'],is,is,"['PROPN', 'AUX', 'ADV']","['TinyBERT', 'is', 'empirically']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,6,"TinyBERT is empirically effective and achieves comparable results with BERT in GLUE datasets, while being 7.5x smaller and 9.4x faster on inference.","['TinyBERT', 'is', 'empirically', 'effective', 'and', 'achieves', 'comparable', 'results', 'with', 'BERT', 'in', 'GLUE', 'datasets', ',', 'while', 'being', '7.5x', 'smaller', 'and', '9.4x', 'faster', 'on', 'inference', '.']","(0, 1)","(0, 8)"
65,TinyBERT is empirically effective and achieves comparable results with,BERT,"in GLUE datasets , while being 7.5x smaller and 9.4x faster on inference .",,,,,empirically,is empirically,[],['achieves'],being,in,"['PROPN', 'ADP', 'NOUN']","['BERT', 'with', 'results']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,6,"TinyBERT is empirically effective and achieves comparable results with BERT in GLUE datasets, while being 7.5x smaller and 9.4x faster on inference.","['TinyBERT', 'is', 'empirically', 'effective', 'and', 'achieves', 'comparable', 'results', 'with', 'BERT', 'in', 'GLUE', 'datasets', ',', 'while', 'being', '7.5x', 'smaller', 'and', '9.4x', 'faster', 'on', 'inference', '.']","(9, 10)","(70, 74)"
66,,TinyBERT,"is also significantly better than state - of - the - art baselines , even with only about 28 % parameters and 31 % inference time of baselines",is,['TinyBERT'],"['also significantly better than state - of - the - art baselines , even with only about 28 % parameters and 31 % inference time of baselines']",1.0,is,is,['TinyBERT'],"['also significantly better than state - of - the - art baselines , even with only about 28 % parameters and 31 % inference time of baselines']",is,is,"['PROPN', 'AUX']","['TinyBERT', 'is']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,7,"TinyBERT is also significantly better than state-of-the-art baselines, even with only about 28% parameters and 31% inference time of baselines","['TinyBERT', 'is', 'also', 'significantly', 'better', 'than', 'state', '-', 'of', '-', 'the', '-', 'art', 'baselines', ',', 'even', 'with', 'only', 'about', '28', '%', 'parameters', 'and', '31', '%', 'inference', 'time', 'of', 'baselines']","(0, 1)","(0, 8)"
67,,TinyBERT,: Distilling BERT for Natural Language Understanding.,,,,,TinyBERT,TinyBERT,[],"[':', 'Distilling', 'BERT for Natural Language Understanding']",,Distilling,['CCONJ'],['TinyBERT'],https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Title,0,TinyBERT: Distilling BERT for Natural Language Understanding.,"['TinyBERT', ':', 'Distilling', 'BERT', 'for', 'Natural', 'Language', 'Understanding.']","(0, 1)","(0, 8)"
68,,BERT,", a pre-trained Transformer model, has achieved ground-breaking performance on multiple NLP tasks.",has achieved,"['BERT , a pre - trained Transformer model ,']",[],1.0,ground,ground,"['BERT , a pre - trained Transformer model , has achieved']","['- breaking performance on multiple NLP tasks', '.']",has,a,"['PROPN', 'VERB', 'NOUN']","['BERT', 'achieved', 'ground']",https://www.semanticscholar.org/paper/Fine-tune-BERT-for-Extractive-Summarization-Liu/a10a6495723ea8c928680ecdd61714f5750586c3,9,Abstract,0,"BERT, a pre-trained Transformer model, has achieved ground-breaking performance on multiple NLP tasks.","['BERT', ',', 'a', 'pre-trained', 'Transformer', 'model,', 'has', 'achieved', 'ground-breaking', 'performance', 'on', 'multiple', 'NLP', 'tasks.']","(0, 1)","(0, 4)"
69,"In this paper, we describe",BERTSUM,", a simple variant of BERT, for extractive summarization.",describe,['we'],"['BERTSUM , a simple variant of BERT ,']",-1.0,describe,describe,['we'],"['BERTSUM , a simple variant of BERT ,']",,a,"['PROPN', 'VERB']","['BERTSUM', 'describe']",https://www.semanticscholar.org/paper/Fine-tune-BERT-for-Extractive-Summarization-Liu/a10a6495723ea8c928680ecdd61714f5750586c3,9,Abstract,1,"In this paper, we describe BERTSUM, a simple variant of BERT, for extractive summarization.","['In', 'this', 'paper,', 'we', 'describe', 'BERTSUM', ',', 'a', 'simple', 'variant', 'of', 'BERT,', 'for', 'extractive', 'summarization.']","(5, 6)","(26, 33)"
70,"Our system is the state of the art on the CNN/Dailymail dataset, outperforming the previous best-performed system by 1.65 on ROUGE-L.",,,,,,,state,is state,[],[],,,,,https://www.semanticscholar.org/paper/Fine-tune-BERT-for-Extractive-Summarization-Liu/a10a6495723ea8c928680ecdd61714f5750586c3,9,Abstract,2,"Our system is the state of the art on the CNN/Dailymail dataset, outperforming the previous best-performed system by 1.65 on ROUGE-L.","['Our', 'system', 'is', 'the', 'state', 'of', 'the', 'art', 'on', 'the', 'CNN/Dailymail', 'dataset,', 'outperforming', 'the', 'previous', 'best-performed', 'system', 'by', '1.65', 'on', 'ROUGE-L.']",,
71,The codes to reproduce our results are available at this https URL,,,,,,,available,are available,['The codes to reproduce our results'],[],,,,,https://www.semanticscholar.org/paper/Fine-tune-BERT-for-Extractive-Summarization-Liu/a10a6495723ea8c928680ecdd61714f5750586c3,9,Abstract,3,The codes to reproduce our results are available at this https URL,"['The', 'codes', 'to', 'reproduce', 'our', 'results', 'are', 'available', 'at', 'this', 'https', 'URL']",,
72,Fine-tune,BERT,for Extractive Summarization.,,,,,BERT,BERT,"['Fine', '- tune']",[],,for,['NOUN'],['BERT'],https://www.semanticscholar.org/paper/Fine-tune-BERT-for-Extractive-Summarization-Liu/a10a6495723ea8c928680ecdd61714f5750586c3,9,Title,0,Fine-tune BERT for Extractive Summarization.,"['Fine-tune', 'BERT', 'for', 'Extractive', 'Summarization.']","(1, 2)","(9, 13)"
73,Question-answering plays an important role in e-commerce as it allows potential customers to actively seek crucial information about products or services to help their purchase decision making.,,,,,,,Question,Question,[],['answering plays an important role in e - commerce as it allows potential customers to actively seek crucial information about products or services to help their purchase decision making .'],,,,,https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,0,Question-answering plays an important role in e-commerce as it allows potential customers to actively seek crucial information about products or services to help their purchase decision making.,"['Question-answering', 'plays', 'an', 'important', 'role', 'in', 'e-commerce', 'as', 'it', 'allows', 'potential', 'customers', 'to', 'actively', 'seek', 'crucial', 'information', 'about', 'products', 'or', 'services', 'to', 'help', 'their', 'purchase', 'decision', 'making.']",,
74,"Inspired by the recent success of machine reading comprehension (MRC) on formal documents, this paper explores the potential of turning customer reviews into a large source of knowledge that can be exploited to answer user questions.~We call this problem Review Reading Comprehension (RRC).",,,,,,,),),"['Inspired by the recent success of machine reading comprehension ( MRC ) on formal documents , this paper explores the potential of turning customer reviews into a large source of knowledge that can be exploited to answer user questions.~We call this problem Review Reading Comprehension ( RRC .']",[],,,,,https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,1,"Inspired by the recent success of machine reading comprehension (MRC) on formal documents, this paper explores the potential of turning customer reviews into a large source of knowledge that can be exploited to answer user questions.~We call this problem Review Reading Comprehension (RRC).","['Inspired', 'by', 'the', 'recent', 'success', 'of', 'machine', 'reading', 'comprehension', '(MRC)', 'on', 'formal', 'documents,', 'this', 'paper', 'explores', 'the', 'potential', 'of', 'turning', 'customer', 'reviews', 'into', 'a', 'large', 'source', 'of', 'knowledge', 'that', 'can', 'be', 'exploited', 'to', 'answer', 'user', 'questions.~We', 'call', 'this', 'problem', 'Review', 'Reading', 'Comprehension', '(RRC).']",,
75,"To the best of our knowledge, no existing work has been done on RRC.",,,,,,,done,has been done,['no existing work'],[],,,,,https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,2,"To the best of our knowledge, no existing work has been done on RRC.","['To', 'the', 'best', 'of', 'our', 'knowledge,', 'no', 'existing', 'work', 'has', 'been', 'done', 'on', 'RRC.']",,
76,"In this work, we first build an RRC dataset called ReviewRC based on a popular benchmark for aspect-based sentiment analysis.",,,,,,,build,build,"['we', 'In this work , first .']",['an RRC dataset called ReviewRC'],,,,,https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,3,"In this work, we first build an RRC dataset called ReviewRC based on a popular benchmark for aspect-based sentiment analysis.","['In', 'this', 'work,', 'we', 'first', 'build', 'an', 'RRC', 'dataset', 'called', 'ReviewRC', 'based', 'on', 'a', 'popular', 'benchmark', 'for', 'aspect-based', 'sentiment', 'analysis.']",,
77,"Since ReviewRC has limited training examples for RRC ( and also for aspect - based sentiment analysis ) , we then explore a novel post - training approach on",the popular language model BERT,to enhance the performance of fine - tuning of BERT for RRC .,explore,[],"['a novel post - training approach on the popular language model BERT', 'to enhance the performance of fine - tuning of BERT for RRC']",-1.0,has,has,"['Since', 'ReviewRC']","['limited training examples for RRC ( and also for aspect - based sentiment analysis ) , we then explore a novel post - training approach on the popular language model BERT to enhance the performance of fine - tuning of BERT for RRC']",enhance,to,"['NOUN', 'ADP', 'NOUN']","['model', 'on', 'approach']",https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,4,"Since ReviewRC has limited training examples for RRC (and also for aspect-based sentiment analysis), we then explore a novel post-training approach on the popular language model BERT to enhance the performance of fine-tuning of BERT for RRC.","['Since', 'ReviewRC', 'has', 'limited', 'training', 'examples', 'for', 'RRC', '(', 'and', 'also', 'for', 'aspect', '-', 'based', 'sentiment', 'analysis', ')', ',', 'we', 'then', 'explore', 'a', 'novel', 'post', '-', 'training', 'approach', 'on', 'the', 'popular', 'language', 'model', 'BERT', 'to', 'enhance', 'the', 'performance', 'of', 'fine', '-', 'tuning', 'of', 'BERT', 'for', 'RRC', '.']","(29, 34)","(157, 188)"
78,"Since ReviewRC has limited training examples for RRC ( and also for aspect - based sentiment analysis ) , we then explore a novel post - training approach on the popular language model BERT to enhance the performance of fine - tuning of",BERT,for RRC .,enhance,['to'],['the performance of fine - tuning of BERT for RRC'],-1.0,has,has,"['Since', 'ReviewRC']","['limited training examples for RRC ( and also for aspect - based sentiment analysis ) , we then explore a novel post - training approach on the popular language model BERT to enhance the performance of fine - tuning of BERT for RRC']",,for,"['PROPN', 'ADP', 'NOUN']","['BERT', 'of', 'tuning']",https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,4,"Since ReviewRC has limited training examples for RRC (and also for aspect-based sentiment analysis), we then explore a novel post-training approach on the popular language model BERT to enhance the performance of fine-tuning of BERT for RRC.","['Since', 'ReviewRC', 'has', 'limited', 'training', 'examples', 'for', 'RRC', '(', 'and', 'also', 'for', 'aspect', '-', 'based', 'sentiment', 'analysis', ')', ',', 'we', 'then', 'explore', 'a', 'novel', 'post', '-', 'training', 'approach', 'on', 'the', 'popular', 'language', 'model', 'BERT', 'to', 'enhance', 'the', 'performance', 'of', 'fine', '-', 'tuning', 'of', 'BERT', 'for', 'RRC', '.']","(43, 44)","(236, 240)"
79,"Since ReviewRC has limited training examples for RRC ( and also for aspect - based sentiment analysis ) , we then explore",a novel post - training approach on the popular language model BERT,to enhance the performance of fine - tuning of BERT for RRC .,explore,[],"['a novel post - training approach on the popular language model BERT', 'to enhance the performance of fine - tuning of BERT for RRC']",-1.0,has,has,"['Since', 'ReviewRC']","['limited training examples for RRC ( and also for aspect - based sentiment analysis ) , we then explore a novel post - training approach on the popular language model BERT to enhance the performance of fine - tuning of BERT for RRC']",enhance,to,"['NOUN', 'VERB', 'ADV']","['approach', 'explore', 'then']",https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,4,"Since ReviewRC has limited training examples for RRC (and also for aspect-based sentiment analysis), we then explore a novel post-training approach on the popular language model BERT to enhance the performance of fine-tuning of BERT for RRC.","['Since', 'ReviewRC', 'has', 'limited', 'training', 'examples', 'for', 'RRC', '(', 'and', 'also', 'for', 'aspect', '-', 'based', 'sentiment', 'analysis', ')', ',', 'we', 'then', 'explore', 'a', 'novel', 'post', '-', 'training', 'approach', 'on', 'the', 'popular', 'language', 'model', 'BERT', 'to', 'enhance', 'the', 'performance', 'of', 'fine', '-', 'tuning', 'of', 'BERT', 'for', 'RRC', '.']","(22, 34)","(121, 188)"
80,To show the generality of,the approach,", the proposed post - training is also applied to some other review - based tasks such as aspect extraction and aspect sentiment classification in aspect - based sentiment analysis .",To show,[],"['the generality of the approach , the proposed post - training']",-1.0,applied,applied,[],[],proposed,the,"['NOUN', 'ADP', 'NOUN']","['approach', 'of', 'generality']",https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,5,"To show the generality of the approach, the proposed post-training is also applied to some other review-based tasks such as aspect extraction and aspect sentiment classification in aspect-based sentiment analysis.","['To', 'show', 'the', 'generality', 'of', 'the', 'approach', ',', 'the', 'proposed', 'post', '-', 'training', 'is', 'also', 'applied', 'to', 'some', 'other', 'review', '-', 'based', 'tasks', 'such', 'as', 'aspect', 'extraction', 'and', 'aspect', 'sentiment', 'classification', 'in', 'aspect', '-', 'based', 'sentiment', 'analysis', '.']","(5, 7)","(25, 37)"
81,"To show the generality of the approach ,",the proposed post - training,is also applied to some other review - based tasks such as aspect extraction and aspect sentiment classification in aspect - based sentiment analysis .,To show,[],"['the generality of the approach , the proposed post - training']",-1.0,applied,applied,[],[],is,is,"['NOUN', 'ADP', 'NOUN']","['training', 'of', 'generality']",https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,5,"To show the generality of the approach, the proposed post-training is also applied to some other review-based tasks such as aspect extraction and aspect sentiment classification in aspect-based sentiment analysis.","['To', 'show', 'the', 'generality', 'of', 'the', 'approach', ',', 'the', 'proposed', 'post', '-', 'training', 'is', 'also', 'applied', 'to', 'some', 'other', 'review', '-', 'based', 'tasks', 'such', 'as', 'aspect', 'extraction', 'and', 'aspect', 'sentiment', 'classification', 'in', 'aspect', '-', 'based', 'sentiment', 'analysis', '.']","(8, 13)","(40, 68)"
82,Experimental results demonstrate that,the proposed post - training,is highly effective .,demonstrate,[],[],-1.0,results,results,['Experimental'],['demonstrate that the proposed post - training is highly effective .'],is,is,"['NOUN', 'ADV', 'ADJ']","['training', 'highly', 'effective']",https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,6,Experimental results demonstrate that the proposed post-training is highly effective.,"['Experimental', 'results', 'demonstrate', 'that', 'the', 'proposed', 'post', '-', 'training', 'is', 'highly', 'effective', '.']","(4, 9)","(37, 65)"
