,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_subj_allspans,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_verb_allspans,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index
46,"There is but a limited understanding of the challenges present in this data, which makes it hard to draw comparisons and formulate reliable hypotheses.",,,S,"['NP', 'VP', '.']",,,,,,,[],is but,0.0,6.0,12.0,6.0,12.0,"[(6, 8), (9, 12)]",[],['is'],,,,,,,,,,is,is,['a limited understanding of the challenges present in this data'],"[',', 'which makes it hard to draw comparisons and formulate reliable hypotheses']",0,6,9,6,9,,,,,https://www.semanticscholar.org/paper/A-Framework-for-Evaluation-of-Machine-Reading-Gold-Schlegel-Valentino/e27031f5a47025eaedd65af3b4a48f07b5636514,6,Abstract,2,"There is but a limited understanding of the challenges present in this data, which makes it hard to draw comparisons and formulate reliable hypotheses.","['There', 'is', 'but', 'a', 'limited', 'understanding', 'of', 'the', 'challenges', 'present', 'in', 'this', 'data,', 'which', 'makes', 'it', 'hard', 'to', 'draw', 'comparisons', 'and', 'formulate', 'reliable', 'hypotheses.']",,,
47,"As a first step towards alleviating the problem, this paper proposes a unifying framework to systematically investigate the present linguistic features, required reasoning and background knowledge and factual correctness on one hand, and the presence of lexical cues as a lower bound for the requirement of understanding on the other hand.",,,S,"['PP', ',', 'NP', 'VP', '.']",this paper,0.0,50.0,60.0,50.0,60.0,"[(50, 54), (55, 60)]",proposes,0.0,61.0,69.0,61.0,69.0,"[(61, 69)]","['this', 'paper']",['proposes'],,,,,,,,,,for,for,"['As a first step towards alleviating the problem , this paper proposes a unifying framework to systematically investigate the present linguistic features , required reasoning and background knowledge and factual correctness on one hand , and the presence of lexical cues as a lower bound']",['the requirement of understanding on the other hand .'],0,287,291,287,291,,,,,https://www.semanticscholar.org/paper/A-Framework-for-Evaluation-of-Machine-Reading-Gold-Schlegel-Valentino/e27031f5a47025eaedd65af3b4a48f07b5636514,6,Abstract,3,"As a first step towards alleviating the problem, this paper proposes a unifying framework to systematically investigate the present linguistic features, required reasoning and background knowledge and factual correctness on one hand, and the presence of lexical cues as a lower bound for the requirement of understanding on the other hand.","['As', 'a', 'first', 'step', 'towards', 'alleviating', 'the', 'problem,', 'this', 'paper', 'proposes', 'a', 'unifying', 'framework', 'to', 'systematically', 'investigate', 'the', 'present', 'linguistic', 'features,', 'required', 'reasoning', 'and', 'background', 'knowledge', 'and', 'factual', 'correctness', 'on', 'one', 'hand,', 'and', 'the', 'presence', 'of', 'lexical', 'cues', 'as', 'a', 'lower', 'bound', 'for', 'the', 'requirement', 'of', 'understanding', 'on', 'the', 'other', 'hand.']",,,
48,We propose a qualitative annotation schema for the first and a set of approximative metrics for the latter.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,"[(0, 2)]",propose,0.0,3.0,10.0,3.0,10.0,"[(3, 10)]",['We'],['propose'],,,,,,,,,,propose,propose,['We'],"['a', 'qualitative annotation schema for the first and a set of approximative metrics for the latter']",0,3,11,3,11,,,,,https://www.semanticscholar.org/paper/A-Framework-for-Evaluation-of-Machine-Reading-Gold-Schlegel-Valentino/e27031f5a47025eaedd65af3b4a48f07b5636514,6,Abstract,4,We propose a qualitative annotation schema for the first and a set of approximative metrics for the latter.,"['We', 'propose', 'a', 'qualitative', 'annotation', 'schema', 'for', 'the', 'first', 'and', 'a', 'set', 'of', 'approximative', 'metrics', 'for', 'the', 'latter.']",,,
49,"In a first application of the framework, we analyse modern MRC gold standards and present our findings: the absence of features that contribute towards lexical ambiguity, the varying factual correctness of the expected answers and the presence of lexical cues, all of which potentially lower the reading comprehension complexity and quality of the evaluation data.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,42.0,44.0,42.0,44.0,"[(42, 44)]",analyse and present,0.0,45.0,90.0,45.0,90.0,"[(45, 52), (79, 82), (83, 90)]",['we'],"['analyse', 'present']",,,,,,,,,,standards,standards,"['In a first application of the framework , we analyse modern MRC gold and present our findings : the absence of features that contribute towards lexical ambiguity , the varying factual correctness of the expected answers and the presence of lexical cues , all of which potentially lower the reading comprehension complexity and quality of the evaluation data .']",[],0,69,79,69,79,,,,,https://www.semanticscholar.org/paper/A-Framework-for-Evaluation-of-Machine-Reading-Gold-Schlegel-Valentino/e27031f5a47025eaedd65af3b4a48f07b5636514,6,Abstract,5,"In a first application of the framework, we analyse modern MRC gold standards and present our findings: the absence of features that contribute towards lexical ambiguity, the varying factual correctness of the expected answers and the presence of lexical cues, all of which potentially lower the reading comprehension complexity and quality of the evaluation data.","['In', 'a', 'first', 'application', 'of', 'the', 'framework,', 'we', 'analyse', 'modern', 'MRC', 'gold', 'standards', 'and', 'present', 'our', 'findings:', 'the', 'absence', 'of', 'features', 'that', 'contribute', 'towards', 'lexical', 'ambiguity,', 'the', 'varying', 'factual', 'correctness', 'of', 'the', 'expected', 'answers', 'and', 'the', 'presence', 'of', 'lexical', 'cues,', 'all', 'of', 'which', 'potentially', 'lower', 'the', 'reading', 'comprehension', 'complexity', 'and', 'quality', 'of', 'the', 'evaluation', 'data.']",,,
50,A Framework for Evaluation of Machine Reading Comprehension Gold Standards.,,,NP,"['NP', 'PP', '.']",A Framework,0.0,0.0,11.0,0.0,11.0,"[(0, 1), (2, 11)]",,,,,,,[],"['A', 'Framework']",[],,,,,,,,,,Framework,Framework,[],[],0,2,12,2,12,,,,,https://www.semanticscholar.org/paper/A-Framework-for-Evaluation-of-Machine-Reading-Gold-Schlegel-Valentino/e27031f5a47025eaedd65af3b4a48f07b5636514,6,Title,0,A Framework for Evaluation of Machine Reading Comprehension Gold Standards.,"['A', 'Framework', 'for', 'Evaluation', 'of', 'Machine', 'Reading', 'Comprehension', 'Gold', 'Standards.']",,,
51,"Answering compositional questions that require multiple steps of reasoning against text is challenging, especially when they involve discrete, symbolic operations.",,,S,"['S', 'VP', '.']",,,,,,,[],is,0.0,88.0,90.0,88.0,90.0,"[(88, 90)]",[],"['Answering', 'is']",,,,,,,,,,compositional,compositional,[],[],0,10,24,10,24,,,,,https://www.semanticscholar.org/paper/Neural-Module-Networks-for-Reasoning-over-Text-Gupta-Lin/4cdf436857c23c5f7d1aad51e2a8124faf0070d2,7,Abstract,0,"Answering compositional questions that require multiple steps of reasoning against text is challenging, especially when they involve discrete, symbolic operations.","['Answering', 'compositional', 'questions', 'that', 'require', 'multiple', 'steps', 'of', 'reasoning', 'against', 'text', 'is', 'challenging,', 'especially', 'when', 'they', 'involve', 'discrete,', 'symbolic', 'operations.']",,,
52,"Neural module networks (NMNs) learn to parse such questions as executable programs composed of learnable modules, performing well on synthetic visual QA domains.",,,S,"['NP', 'VP', '.']",Neural module networks NMNs,0.0,0.0,29.0,0.0,29.0,"[(0, 6), (7, 13), (14, 22), (25, 29)]",learn,0.0,32.0,37.0,32.0,37.0,"[(32, 37)]","['Neural', 'module', 'networks', 'NMNs']","['learn', 'parse']",,,,,,,,,,module,module,[],"['networks', '( NMNs ) learn to parse such questions as executable programs composed of learnable modules , performing well on synthetic visual QA domains .']",0,7,14,7,14,,,,,https://www.semanticscholar.org/paper/Neural-Module-Networks-for-Reasoning-over-Text-Gupta-Lin/4cdf436857c23c5f7d1aad51e2a8124faf0070d2,7,Abstract,1,"Neural module networks (NMNs) learn to parse such questions as executable programs composed of learnable modules, performing well on synthetic visual QA domains.","['Neural', 'module', 'networks', '(NMNs)', 'learn', 'to', 'parse', 'such', 'questions', 'as', 'executable', 'programs', 'composed', 'of', 'learnable', 'modules,', 'performing', 'well', 'on', 'synthetic', 'visual', 'QA', 'domains.']",,,
53,"However, we find that it is challenging to learn these models for non-synthetic questions on open-domain text, where a model needs to deal with the diversity of natural language and perform a broader range of reasoning.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",we,0.0,10.0,12.0,10.0,12.0,"[(10, 12)]",find,0.0,13.0,17.0,13.0,17.0,"[(13, 17)]",['we'],['find'],,,,,,,,,,find,find,"['However', ',', 'we']",[],0,13,18,13,18,,,,,https://www.semanticscholar.org/paper/Neural-Module-Networks-for-Reasoning-over-Text-Gupta-Lin/4cdf436857c23c5f7d1aad51e2a8124faf0070d2,7,Abstract,2,"However, we find that it is challenging to learn these models for non-synthetic questions on open-domain text, where a model needs to deal with the diversity of natural language and perform a broader range of reasoning.","['However,', 'we', 'find', 'that', 'it', 'is', 'challenging', 'to', 'learn', 'these', 'models', 'for', 'non-synthetic', 'questions', 'on', 'open-domain', 'text,', 'where', 'a', 'model', 'needs', 'to', 'deal', 'with', 'the', 'diversity', 'of', 'natural', 'language', 'and', 'perform', 'a', 'broader', 'range', 'of', 'reasoning.']",,,
54,"We extend NMNs by: (a) introducing modules that reason over a paragraph of text, performing symbolic reasoning (such as arithmetic, sorting, counting) over numbers and dates in a probabilistic and differentiable manner; and (b) proposing an unsupervised auxiliary loss to help extract arguments associated with the events in text.",,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,"[(0, 2)]",extend,0.0,3.0,9.0,3.0,9.0,"[(3, 9)]",['We'],['extend'],,,,,,,,,,We,We,[],"['extend NMNs by : ( a ) introducing modules that reason over a paragraph of text , performing symbolic reasoning ( such as arithmetic , sorting , counting ) over numbers and dates in a probabilistic and differentiable manner ; and ( b ) proposing an unsupervised auxiliary loss to help extract arguments associated with the events in text .']",0,0,3,0,3,,,,,https://www.semanticscholar.org/paper/Neural-Module-Networks-for-Reasoning-over-Text-Gupta-Lin/4cdf436857c23c5f7d1aad51e2a8124faf0070d2,7,Abstract,3,"We extend NMNs by: (a) introducing modules that reason over a paragraph of text, performing symbolic reasoning (such as arithmetic, sorting, counting) over numbers and dates in a probabilistic and differentiable manner; and (b) proposing an unsupervised auxiliary loss to help extract arguments associated with the events in text.","['We', 'extend', 'NMNs', 'by:', '(a)', 'introducing', 'modules', 'that', 'reason', 'over', 'a', 'paragraph', 'of', 'text,', 'performing', 'symbolic', 'reasoning', '(such', 'as', 'arithmetic,', 'sorting,', 'counting)', 'over', 'numbers', 'and', 'dates', 'in', 'a', 'probabilistic', 'and', 'differentiable', 'manner;', 'and', '(b)', 'proposing', 'an', 'unsupervised', 'auxiliary', 'loss', 'to', 'help', 'extract', 'arguments', 'associated', 'with', 'the', 'events', 'in', 'text.']",,,
55,"Additionally, we show that a limited amount of heuristically-obtained question program and intermediate module output supervision provides sufficient inductive bias for accurate learning.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",we,0.0,15.0,17.0,15.0,17.0,"[(15, 17)]",show,0.0,18.0,22.0,18.0,22.0,"[(18, 22)]",['we'],['show'],,,,,,,,,,show,show,"['Additionally', ',', 'we']",[],0,18,23,18,23,,,,,https://www.semanticscholar.org/paper/Neural-Module-Networks-for-Reasoning-over-Text-Gupta-Lin/4cdf436857c23c5f7d1aad51e2a8124faf0070d2,7,Abstract,4,"Additionally, we show that a limited amount of heuristically-obtained question program and intermediate module output supervision provides sufficient inductive bias for accurate learning.","['Additionally,', 'we', 'show', 'that', 'a', 'limited', 'amount', 'of', 'heuristically-obtained', 'question', 'program', 'and', 'intermediate', 'module', 'output', 'supervision', 'provides', 'sufficient', 'inductive', 'bias', 'for', 'accurate', 'learning.']",,,
56,Our proposed model significantly outperforms state-of-the-art models on a subset of the,DROP,dataset that poses a variety of reasoning challenges that are covered by our modules .,S,"['NP', 'VP', '.']",model,0.0,13.0,18.0,13.0,18.0,"[(13, 18)]",outperforms,0.0,33.0,44.0,33.0,44.0,"[(33, 44)]",['model'],['outperforms'],outperforms,[],['state - of - the - art models on a subset of the DROP dataset that poses a variety of reasoning challenges that are covered by our modules .'],-1.0,0.0,33.0,45.0,33.0,45.0,model,model,[],"['significantly', 'outperforms state - of - the - art models on a subset of the DROP dataset that poses a variety of reasoning challenges that are covered by our modules .']",0,13,19,13,19,poses,dataset,"['NOUN', 'ADP', 'NOUN']","['DROP', 'of', 'subset']",https://www.semanticscholar.org/paper/Neural-Module-Networks-for-Reasoning-over-Text-Gupta-Lin/4cdf436857c23c5f7d1aad51e2a8124faf0070d2,7,Abstract,5,Our proposed model significantly outperforms state-of-the-art models on a subset of the DROP dataset that poses a variety of reasoning challenges that are covered by our modules.,"['Our', 'proposed', 'model', 'significantly', 'outperforms', 'state-of-the-art', 'models', 'on', 'a', 'subset', 'of', 'the', 'DROP', 'dataset', 'that', 'poses', 'a', 'variety', 'of', 'reasoning', 'challenges', 'that', 'are', 'covered', 'by', 'our', 'modules', '.']","(12, 13)","(87, 91)",0.0
57,Neural Module Networks for Reasoning over Text.,,,NP,"['NP', 'PP', 'PP', '.']",Neural Module Networks,0.0,0.0,22.0,0.0,22.0,"[(0, 6), (7, 13), (14, 22)]",,,,,,,[],"['Neural', 'Module', 'Networks']",[],,,,,,,,,,Module,Module,['Neural .'],['Networks'],0,7,14,7,14,,,,,https://www.semanticscholar.org/paper/Neural-Module-Networks-for-Reasoning-over-Text-Gupta-Lin/4cdf436857c23c5f7d1aad51e2a8124faf0070d2,7,Title,0,Neural Module Networks for Reasoning over Text.,"['Neural', 'Module', 'Networks', 'for', 'Reasoning', 'over', 'Text.']",,,
58,Numerical reasoning is often important to accurately understand the world.,,,S,"['NP', 'VP', '.']",Numerical reasoning,0.0,0.0,19.0,0.0,19.0,"[(0, 9), (10, 19)]",is,0.0,20.0,22.0,20.0,22.0,"[(20, 22)]","['Numerical', 'reasoning']","['is', 'understand']",,,,,,,,,,important,is important,[],['to accurately understand the world'],0,20,39,20,39,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,0,Numerical reasoning is often important to accurately understand the world.,"['Numerical', 'reasoning', 'is', 'often', 'important', 'to', 'accurately', 'understand', 'the', 'world.']",,,
59,"Recently, several format-specific datasets have been proposed, such as numerical reasoning in the settings of Natural Language Inference (NLI), Reading Comprehension (RC), and Question Answering (QA).",,,S,"['ADVP', ',', 'NP', 'VP', ',', 'PP', '.']",several format specific datasets,0.0,11.0,45.0,11.0,45.0,"[(11, 18), (19, 25), (28, 36), (37, 45)]",have been proposed,0.0,46.0,64.0,46.0,64.0,"[(46, 50), (51, 55), (56, 64)]","['several', 'format', 'specific', 'datasets']","['have', 'been', 'proposed']",,,,,,,,,,(,(,"['Recently , several format - specific datasets have been proposed , such as numerical reasoning in the settings of Natural Language Inference ( NLI ) , Reading Comprehension ( RC ) , and Question Answering']",['QA ) .'],3,205,207,4,6,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,1,"Recently, several format-specific datasets have been proposed, such as numerical reasoning in the settings of Natural Language Inference (NLI), Reading Comprehension (RC), and Question Answering (QA).","['Recently,', 'several', 'format-specific', 'datasets', 'have', 'been', 'proposed,', 'such', 'as', 'numerical', 'reasoning', 'in', 'the', 'settings', 'of', 'Natural', 'Language', 'Inference', '(NLI),', 'Reading', 'Comprehension', '(RC),', 'and', 'Question', 'Answering', '(QA).']",,,
60,Several format-specific models and architectures in response to those datasets have also been proposed.,,,S,"['NP', 'VP', '.']",Several format specific models architectures,0.0,0.0,50.0,0.0,50.0,"[(0, 7), (8, 14), (17, 25), (26, 32), (37, 50)]",have been proposed,0.0,81.0,104.0,81.0,104.0,"[(81, 85), (91, 95), (96, 104)]","['Several', 'format', 'specific', 'models', 'architectures']","['have', 'been', 'proposed']",,,,,,,,,,proposed,have been proposed,['Several format - specific models and architectures in response to those datasets'],[],0,81,105,81,105,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,2,Several format-specific models and architectures in response to those datasets have also been proposed.,"['Several', 'format-specific', 'models', 'and', 'architectures', 'in', 'response', 'to', 'those', 'datasets', 'have', 'also', 'been', 'proposed.']",,,
61,"However, there exists a strong need for a benchmark which can evaluate the abilities of models, in performing question format independent numerical reasoning, as (i) the numerical reasoning capabilities we want to teach are not controlled by question formats, (ii) for numerical reasoning technology to have the best possible application, it must be able to process language and reason in a way that is not exclusive to a single format, task, dataset or domain.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",,,,,,,[],exists,0.0,16.0,22.0,16.0,22.0,"[(16, 22)]",[],['exists'],,,,,,,,,,exclusive,is exclusive,['that'],[],0,409,426,409,426,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,3,"However, there exists a strong need for a benchmark which can evaluate the abilities of models, in performing question format independent numerical reasoning, as (i) the numerical reasoning capabilities we want to teach are not controlled by question formats, (ii) for numerical reasoning technology to have the best possible application, it must be able to process language and reason in a way that is not exclusive to a single format, task, dataset or domain.","['However,', 'there', 'exists', 'a', 'strong', 'need', 'for', 'a', 'benchmark', 'which', 'can', 'evaluate', 'the', 'abilities', 'of', 'models,', 'in', 'performing', 'question', 'format', 'independent', 'numerical', 'reasoning,', 'as', '(i)', 'the', 'numerical', 'reasoning', 'capabilities', 'we', 'want', 'to', 'teach', 'are', 'not', 'controlled', 'by', 'question', 'formats,', '(ii)', 'for', 'numerical', 'reasoning', 'technology', 'to', 'have', 'the', 'best', 'possible', 'application,', 'it', 'must', 'be', 'able', 'to', 'process', 'language', 'and', 'reason', 'in', 'a', 'way', 'that', 'is', 'not', 'exclusive', 'to', 'a', 'single', 'format,', 'task,', 'dataset', 'or', 'domain.']",,,
62,"In pursuit of this goal, we introduce NUMBERGAME, a multifaceted benchmark to evaluate model performance across numerical reasoning tasks of eight diverse formats.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,26.0,28.0,26.0,28.0,"[(26, 28)]",introduce,0.0,29.0,38.0,29.0,38.0,"[(29, 38)]",['we'],['introduce'],,,,,,,,,,introduce,introduce,['we'],"['NUMBERGAME , a multifaceted benchmark']",0,29,39,29,39,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,4,"In pursuit of this goal, we introduce NUMBERGAME, a multifaceted benchmark to evaluate model performance across numerical reasoning tasks of eight diverse formats.","['In', 'pursuit', 'of', 'this', 'goal,', 'we', 'introduce', 'NUMBERGAME,', 'a', 'multifaceted', 'benchmark', 'to', 'evaluate', 'model', 'performance', 'across', 'numerical', 'reasoning', 'tasks', 'of', 'eight', 'diverse', 'formats.']",,,
63,We add four existing question types in our compilation.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,"[(0, 2)]",add,0.0,3.0,6.0,3.0,6.0,"[(3, 6)]",['We'],['add'],,,,,,,,,,add,add,['We'],['four existing question types in our compilation'],0,3,7,3,7,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,5,We add four existing question types in our compilation.,"['We', 'add', 'four', 'existing', 'question', 'types', 'in', 'our', 'compilation.']",,,
64,"Two of the new types we add are about questions that require external numerical knowledge, commonsense knowledge and domain knowledge.",,,S,"['NP', 'VP', '.']",,,,,,,[],are,0.0,28.0,31.0,28.0,31.0,"[(28, 31)]",[],['are'],,,,,,,,,,are,are,['Two of the new types we add'],[],0,28,32,28,32,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,6,"Two of the new types we add are about questions that require external numerical knowledge, commonsense knowledge and domain knowledge.","['Two', 'of', 'the', 'new', 'types', 'we', 'add', 'are', 'about', 'questions', 'that', 'require', 'external', 'numerical', 'knowledge,', 'commonsense', 'knowledge', 'and', 'domain', 'knowledge.']",,,
65,"While recently many QA datasets involving external knowledge have been proposed, ours incorporates them in a numerical reasoning setting.",,,S,"['SBAR', ',', 'NP', 'VP', '.']",,,,,,,[],incorporates,0.0,87.0,99.0,87.0,99.0,"[(87, 99)]",[],['incorporates'],,,,,,,,,,incorporates,incorporates,"['While recently many QA datasets involving external knowledge have been proposed ,', 'ours']","['them', 'in a numerical reasoning setting']",0,87,100,87,100,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,7,"While recently many QA datasets involving external knowledge have been proposed, ours incorporates them in a numerical reasoning setting.","['While', 'recently', 'many', 'QA', 'datasets', 'involving', 'external', 'knowledge', 'have', 'been', 'proposed,', 'ours', 'incorporates', 'them', 'in', 'a', 'numerical', 'reasoning', 'setting.']",,,
66,Other types in our compilation build upon existing data sets.,,,S,"['NP', 'VP', '.']",Other types,0.0,0.0,11.0,0.0,11.0,"[(0, 5), (6, 11)]",,,,,,,[],"['Other', 'types']",[],,,,,,,,,,types,types,['Other'],[],0,6,12,6,12,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,8,Other types in our compilation build upon existing data sets.,"['Other', 'types', 'in', 'our', 'compilation', 'build', 'upon', 'existing', 'data', 'sets.']",,,
67,"For building a more practical numerical reasoning system, NUMBERGAME demands four capabilities beyond numerical reasoning: (i) detecting question format directly from data (ii) finding intermediate common format to which every format can be converted (iii) incorporating commonsense knowledge (iv) handling data imbalance across formats.",,,S,"['PP', ',', 'NP', 'VP', '.']",NUMBERGAME,0.0,59.0,69.0,59.0,69.0,"[(59, 69)]",demands,0.0,70.0,77.0,70.0,77.0,"[(70, 77)]",['NUMBERGAME'],['demands'],,,,,,,,,,),),"['For building a more practical numerical reasoning system , NUMBERGAME demands four capabilities beyond numerical reasoning : ( i ) detecting question format directly from data ( ii ) finding intermediate common format to which every format can be converted ( iii ) incorporating commonsense knowledge ( iv']",[],0,306,308,306,308,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,9,"For building a more practical numerical reasoning system, NUMBERGAME demands four capabilities beyond numerical reasoning: (i) detecting question format directly from data (ii) finding intermediate common format to which every format can be converted (iii) incorporating commonsense knowledge (iv) handling data imbalance across formats.","['For', 'building', 'a', 'more', 'practical', 'numerical', 'reasoning', 'system,', 'NUMBERGAME', 'demands', 'four', 'capabilities', 'beyond', 'numerical', 'reasoning:', '(i)', 'detecting', 'question', 'format', 'directly', 'from', 'data', '(ii)', 'finding', 'intermediate', 'common', 'format', 'to', 'which', 'every', 'format', 'can', 'be', 'converted', '(iii)', 'incorporating', 'commonsense', 'knowledge', '(iv)', 'handling', 'data', 'imbalance', 'across', 'formats.']",,,
68,"We build several baselines, including a new model based on knowledge hunting using a cheatsheet.",,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,"[(0, 2)]",build,0.0,3.0,8.0,3.0,8.0,"[(3, 8)]",['We'],['build'],,,,,,,,,,build,build,['We'],"['several baselines', ',']",0,3,9,3,9,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,10,"We build several baselines, including a new model based on knowledge hunting using a cheatsheet.","['We', 'build', 'several', 'baselines,', 'including', 'a', 'new', 'model', 'based', 'on', 'knowledge', 'hunting', 'using', 'a', 'cheatsheet.']",,,
69,"However, all baselines perform poorly in contrast to the human baselines, indicating the hardness of our benchmark.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",all baselines,0.0,10.0,23.0,10.0,23.0,"[(10, 13), (14, 23)]",perform,0.0,24.0,31.0,24.0,31.0,"[(24, 31)]","['all', 'baselines']","['perform', 'indicating']",,,,,,,,,,perform,perform,"['However', ',', 'all baselines']","['in contrast to the human baselines , indicating the hardness of our benchmark']",0,24,32,24,32,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,11,"However, all baselines perform poorly in contrast to the human baselines, indicating the hardness of our benchmark.","['However,', 'all', 'baselines', 'perform', 'poorly', 'in', 'contrast', 'to', 'the', 'human', 'baselines,', 'indicating', 'the', 'hardness', 'of', 'our', 'benchmark.']",,,
70,"Our work takes forward the recent progress in generic system development, demonstrating the scope of these under-explored tasks.",,,S,"['NP', 'VP', '.']",work,0.0,4.0,8.0,4.0,8.0,"[(4, 8)]",takes,0.0,9.0,14.0,9.0,14.0,"[(9, 14)]",['work'],['takes'],,,,,,,,,,takes,takes,"['Our', 'work']","['the recent progress', 'demonstrating the scope of these under - explored tasks']",0,9,15,9,15,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Abstract,12,"Our work takes forward the recent progress in generic system development, demonstrating the scope of these under-explored tasks.","['Our', 'work', 'takes', 'forward', 'the', 'recent', 'progress', 'in', 'generic', 'system', 'development,', 'demonstrating', 'the', 'scope', 'of', 'these', 'under-explored', 'tasks.']",,,
71,Towards Question Format Independent Numerical Reasoning: A Set of Prerequisite Tasks.,,,FRAG,"['IN', 'NP', 'NP', ':', 'NP', '.']",Question Format Independent Numerical Reasoning A Set,0.0,8.0,63.0,8.0,63.0,"[(8, 16), (17, 23), (24, 35), (36, 45), (46, 55), (58, 59), (60, 63)]",,,,,,,[],"['Question', 'Format', 'Independent', 'Numerical', 'Reasoning', 'A', 'Set']",[],,,,,,,,,,Numerical,Numerical,"['Towards Question Format .', 'Independent']",[': A Set of Prerequisite Tasks'],0,36,46,36,46,,,,,https://www.semanticscholar.org/paper/Towards-Question-Format-Independent-Numerical-A-Set-Mishra-Mitra/72e6b14c081ad3e6a1c295b60e5c834837e6b304,8,Title,0,Towards Question Format Independent Numerical Reasoning: A Set of Prerequisite Tasks.,"['Towards', 'Question', 'Format', 'Independent', 'Numerical', 'Reasoning:', 'A', 'Set', 'of', 'Prerequisite', 'Tasks.']",,,
