,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,order_cluster
52,"Additionally , we investigate the most effective strategy for utilizing mBERT in this manner , determine to what extent",mBERT,"generalizes away from language specific features , and measure factors that influence cross - lingual transfer .",S,"['ADVP', ',', 'NP', 'VP', '.']",we,0.0,15.0,17.0,15.0,17.0,investigate determine,0.0,18.0,104.0,18.0,104.0,['we'],"['investigate', 'determine']",generalizes,['what extent mBERT'],"['away from language specific features , and measure factors that influence cross - lingual transfer .']",1.0,2.0,126.0,138.0,0.0,12.0,investigate,investigate,['Additionally'],"['the most effective strategy for utilizing mBERT in', 'this manner , determine to what extent mBERT generalizes away from language specific features , and measure factors that influence cross - lingual transfer .']",0,18,30,18,30,generalizes,generalizes,"['NOUN', 'VERB', 'VERB']","['mBERT', 'generalizes', 'determine']",https://www.semanticscholar.org/paper/Beto%2C-Bentz%2C-Becas%3A-The-Surprising-Cross-Lingual-of-Wu-Dredze/2fa3f7ce620a1c7155daef6620dd6bb0e01934f3,7,Abstract,4,"Additionally, we investigate the most effective strategy for utilizing mBERT in this manner, determine to what extent mBERT generalizes away from language specific features, and measure factors that influence cross-lingual transfer.","['Additionally', ',', 'we', 'investigate', 'the', 'most', 'effective', 'strategy', 'for', 'utilizing', 'mBERT', 'in', 'this', 'manner', ',', 'determine', 'to', 'what', 'extent', 'mBERT', 'generalizes', 'away', 'from', 'language', 'specific', 'features', ',', 'and', 'measure', 'factors', 'that', 'influence', 'cross', '-', 'lingual', 'transfer', '.']","(19, 20)","(119, 124)",1.0,38.0
53,"Beto , Bentz , Becas : The Surprising Cross-Lingual Effectiveness of",BERT,.,NP,"['NP', ':', 'NP', '.']",Beto Bentz Becas The Surprising Cross Lingual Effectiveness,0.0,0.0,67.0,0.0,67.0,,,,,,,"['Beto', 'Bentz', 'Becas', 'The', 'Surprising', 'Cross', 'Lingual', 'Effectiveness']",[],,,,,,,,,,Beto,Beto,[],['Bentz'],0,0,5,0,5,,,"['PROPN', 'ADP', 'PROPN']","['BERT', 'of', 'Effectiveness']",https://www.semanticscholar.org/paper/Beto%2C-Bentz%2C-Becas%3A-The-Surprising-Cross-Lingual-of-Wu-Dredze/2fa3f7ce620a1c7155daef6620dd6bb0e01934f3,7,Title,0,"Beto, Bentz, Becas: The Surprising Cross-Lingual Effectiveness of BERT.","['Beto', ',', 'Bentz', ',', 'Becas', ':', 'The', 'Surprising', 'Cross-Lingual', 'Effectiveness', 'of', 'BERT', '.']","(11, 12)","(68, 72)",0.0,208.0
54,"Language model pre - training , such as",BERT,", has significantly improved the performances of many natural language processing tasks .",S,"['NP', 'VP', '.']",Language model - training,0.0,0.0,29.0,0.0,29.0,has improved,2.0,47.0,73.0,2.0,28.0,"['Language', 'model', '-', 'training']","['has', 'improved']",pre,['Language model'],"['-', 'training , such as BERT ,']",-1.0,0.0,15.0,19.0,15.0,19.0,improved,has improved,"['Language model pre - training , such as BERT ,', 'significantly']","['the performances of many natural language processing tasks', '.']",2,47,74,2,29,has,has,"['PROPN', 'SCONJ', 'ADJ']","['BERT', 'as', 'training']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,0,"Language model pre-training, such as BERT, has significantly improved the performances of many natural language processing tasks.","['Language', 'model', 'pre', '-', 'training', ',', 'such', 'as', 'BERT', ',', 'has', 'significantly', 'improved', 'the', 'performances', 'of', 'many', 'natural', 'language', 'processing', 'tasks', '.']","(8, 9)","(39, 43)",0.0,169.0
55,"However, pre-trained language models are usually computationally expensive and memory intensive, so it is difficult to effectively execute them on some resource-restricted devices.",,,S,"['ADVP', ',', 'S', ',', 'CC', 'S', '.']",,,,,,,so,0.0,101.0,103.0,101.0,103.0,"['-', 'trained', 'language', 'models', 'it']","['are', 'is', 'execute']",,,,,,,,,,usually,are usually,"['However ,']","['computationally expensive and memory intensive', 'so it is difficult to effectively execute them on some resource - restricted devices .']",0,40,52,40,52,,,,,https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,1,"However, pre-trained language models are usually computationally expensive and memory intensive, so it is difficult to effectively execute them on some resource-restricted devices.","['However,', 'pre-trained', 'language', 'models', 'are', 'usually', 'computationally', 'expensive', 'and', 'memory', 'intensive,', 'so', 'it', 'is', 'difficult', 'to', 'effectively', 'execute', 'them', 'on', 'some', 'resource-restricted', 'devices.']",,,,
56,"To accelerate inference and reduce model size while maintaining accuracy, we firstly propose a novel transformer distillation method that is a specially designed knowledge distillation (KD) method for transformer-based models.",,,S,"['S', ',', 'NP', 'ADVP', 'VP', '.']",we,0.0,75.0,77.0,75.0,77.0,propose,0.0,86.0,93.0,86.0,93.0,['we'],"['accelerate', 'reduce', 'propose']",,,,,,,,,,accelerate,accelerate,['To'],"['inference reduce model size', 'while maintaining accuracy , we firstly propose a novel transformer distillation method that is a specially designed knowledge distillation ( KD ) method for transformer - based models .']",0,3,14,3,14,,,,,https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,2,"To accelerate inference and reduce model size while maintaining accuracy, we firstly propose a novel transformer distillation method that is a specially designed knowledge distillation (KD) method for transformer-based models.","['To', 'accelerate', 'inference', 'and', 'reduce', 'model', 'size', 'while', 'maintaining', 'accuracy,', 'we', 'firstly', 'propose', 'a', 'novel', 'transformer', 'distillation', 'method', 'that', 'is', 'a', 'specially', 'designed', 'knowledge', 'distillation', '(KD)', 'method', 'for', 'transformer-based', 'models.']",,,,37.0
57,"By leveraging this new KD method , the plenty of knowledge encoded in a large teacher BERT can be well transferred to",a small student TinyBERT,.,S,"['PP', ',', 'NP', 'VP', '.']",the plenty,0.0,35.0,45.0,35.0,45.0,can be transferred,0.0,91.0,114.0,91.0,114.0,"['the', 'plenty']","['can', 'be', 'transferred']",can be transferred,['the plenty of knowledge encoded in a large teacher BERT'],[],-1.0,0.0,91.0,115.0,91.0,115.0,transferred,can be transferred,['the plenty of knowledge encoded in a large teacher BERT'],[],0,91,115,91,115,,,"['NOUN', 'ADP', 'VERB']","['student', 'to', 'transferred']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,3,"By leveraging this new KD method, the plenty of knowledge encoded in a large teacher BERT can be well transferred to a small student TinyBERT.","['By', 'leveraging', 'this', 'new', 'KD', 'method', ',', 'the', 'plenty', 'of', 'knowledge', 'encoded', 'in', 'a', 'large', 'teacher', 'BERT', 'can', 'be', 'well', 'transferred', 'to', 'a', 'small', 'student', 'TinyBERT', '.']","(22, 26)","(117, 141)",20.0,152.0
58,"By leveraging this new KD method , the plenty of knowledge encoded in",a large teacher BERT,can be well transferred to a small student TinyBERT .,S,"['PP', ',', 'NP', 'VP', '.']",the plenty,0.0,35.0,45.0,35.0,45.0,can be transferred,2.0,91.0,114.0,0.0,23.0,"['the', 'plenty']","['can', 'be', 'transferred']",encoded,[],[],-1.0,0.0,59.0,67.0,59.0,67.0,transferred,can be transferred,['the plenty of knowledge encoded in a large teacher BERT'],[],2,91,115,0,24,be,can,"['NOUN', 'ADP', 'VERB']","['BERT', 'in', 'encoded']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,3,"By leveraging this new KD method, the plenty of knowledge encoded in a large teacher BERT can be well transferred to a small student TinyBERT.","['By', 'leveraging', 'this', 'new', 'KD', 'method', ',', 'the', 'plenty', 'of', 'knowledge', 'encoded', 'in', 'a', 'large', 'teacher', 'BERT', 'can', 'be', 'well', 'transferred', 'to', 'a', 'small', 'student', 'TinyBERT', '.']","(13, 17)","(69, 89)",16.0,153.0
59,"Moreover , we introduce a new two - stage learning framework for",TinyBERT,", which performs transformer distillation at both the pre - training and task - specific learning stages .",S,"['ADVP', ',', 'NP', 'VP', '.']",we,0.0,11.0,13.0,11.0,13.0,introduce,0.0,14.0,23.0,14.0,23.0,['we'],['introduce'],introduce,"['we', ',']","['a new two - stage learning framework for TinyBERT', 'which performs transformer distillation at both the pre - training and task - specific learning stages .']",-1.0,0.0,14.0,24.0,14.0,24.0,introduce,introduce,"['we', ',']","['a new two - stage learning framework for TinyBERT', 'which performs transformer distillation at both the pre - training and task - specific learning stages .']",0,14,24,14,24,performs,which,"['PROPN', 'ADP', 'NOUN']","['TinyBERT', 'for', 'framework']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,4,"Moreover, we introduce a new two-stage learning framework for TinyBERT, which performs transformer distillation at both the pre-training and task-specific learning stages.","['Moreover', ',', 'we', 'introduce', 'a', 'new', 'two', '-', 'stage', 'learning', 'framework', 'for', 'TinyBERT', ',', 'which', 'performs', 'transformer', 'distillation', 'at', 'both', 'the', 'pre', '-', 'training', 'and', 'task', '-', 'specific', 'learning', 'stages', '.']","(12, 13)","(64, 72)",4.0,36.0
60,"Moreover , we introduce","a new two - stage learning framework for TinyBERT , which performs transformer distillation at both the pre - training and task - specific learning stages",.,S,"['ADVP', ',', 'NP', 'VP', '.']",we,0.0,11.0,13.0,11.0,13.0,introduce,0.0,14.0,23.0,14.0,23.0,['we'],['introduce'],introduce,"['we', ',']","['a new two - stage learning framework for TinyBERT', 'which performs transformer distillation at both the pre - training and task - specific learning stages .']",0.0,0.0,14.0,24.0,14.0,24.0,introduce,introduce,"['we', ',']","['a new two - stage learning framework for TinyBERT', 'which performs transformer distillation at both the pre - training and task - specific learning stages .']",0,14,24,14,24,,,['VERB'],['introduce'],https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,4,"Moreover, we introduce a new two-stage learning framework for TinyBERT, which performs transformer distillation at both the pre-training and task-specific learning stages.","['Moreover', ',', 'we', 'introduce', 'a', 'new', 'two', '-', 'stage', 'learning', 'framework', 'for', 'TinyBERT', ',', 'which', 'performs', 'transformer', 'distillation', 'at', 'both', 'the', 'pre', '-', 'training', 'and', 'task', '-', 'specific', 'learning', 'stages', '.']","(4, 30)","(23, 177)",45.0,35.0
61,This framework ensures that,TinyBERT,can capture both the general - domain and task - specific knowledge of the teacher BERT .,S,"['NP', 'VP', '.']",This framework,0.0,0.0,14.0,0.0,14.0,ensures,0.0,15.0,22.0,15.0,22.0,"['This', 'framework']",['ensures'],can capture,['TinyBERT'],"['both the general - domain and', 'task - specific knowledge of the teacher BERT']",1.0,2.0,37.0,49.0,0.0,12.0,ensures,ensures,"['This', 'framework']",[],0,15,23,15,23,capture,can,"['PROPN', 'VERB', 'VERB']","['TinyBERT', 'capture', 'ensures']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,5,This framework ensures that TinyBERT can capture both the general-domain and task-specific knowledge of the teacher BERT.,"['This', 'framework', 'ensures', 'that', 'TinyBERT', 'can', 'capture', 'both', 'the', 'general', '-', 'domain', 'and', 'task', '-', 'specific', 'knowledge', 'of', 'the', 'teacher', 'BERT', '.']","(4, 5)","(27, 35)",4.0,125.0
62,,This framework,ensures that TinyBERT can capture both the general - domain and task - specific knowledge of the teacher BERT .,S,"['NP', 'VP', '.']",This framework,1.0,0.0,14.0,0.0,14.0,ensures,2.0,15.0,22.0,0.0,7.0,"['This', 'framework']",['ensures'],ensures,"['This', 'framework']",[],0.0,2.0,15.0,23.0,0.0,8.0,ensures,ensures,"['This', 'framework']",[],2,15,23,0,8,ensures,ensures,['VERB'],['ensures'],https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,5,This framework ensures that TinyBERT can capture both the general-domain and task-specific knowledge of the teacher BERT.,"['This', 'framework', 'ensures', 'that', 'TinyBERT', 'can', 'capture', 'both', 'the', 'general', '-', 'domain', 'and', 'task', '-', 'specific', 'knowledge', 'of', 'the', 'teacher', 'BERT', '.']","(0, 2)","(0, 14)",-1.0,126.0
63,This framework ensures that TinyBERT can capture both the general - domain and task - specific knowledge of,the teacher BERT,.,S,"['NP', 'VP', '.']",This framework,0.0,0.0,14.0,0.0,14.0,ensures,0.0,15.0,22.0,15.0,22.0,"['This', 'framework']",['ensures'],can capture,['TinyBERT'],"['both the general - domain and', 'task - specific knowledge of the teacher BERT']",-1.0,0.0,37.0,49.0,37.0,49.0,ensures,ensures,"['This', 'framework']",[],0,15,23,15,23,,,"['NOUN', 'ADP', 'NOUN']","['teacher', 'of', 'knowledge']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,5,This framework ensures that TinyBERT can capture both the general-domain and task-specific knowledge of the teacher BERT.,"['This', 'framework', 'ensures', 'that', 'TinyBERT', 'can', 'capture', 'both', 'the', 'general', '-', 'domain', 'and', 'task', '-', 'specific', 'knowledge', 'of', 'the', 'teacher', 'BERT', '.']","(18, 21)","(107, 123)",12.0,124.0
64,,TinyBERT,"is empirically effective and achieves comparable results with BERT in GLUE datasets , while being 7.5x smaller and 9.4x faster on inference .",S,"['NP', 'VP', '.']",TinyBERT,1.0,0.0,8.0,0.0,8.0,is and achieves,2.0,9.0,46.0,0.0,37.0,['TinyBERT'],"['is', 'achieves']",is,['TinyBERT'],[],1.0,2.0,9.0,12.0,0.0,3.0,empirically,is empirically,[],['achieves'],2,9,24,0,15,is,is,"['PROPN', 'AUX', 'ADV']","['TinyBERT', 'is', 'empirically']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,6,"TinyBERT is empirically effective and achieves comparable results with BERT in GLUE datasets, while being 7.5x smaller and 9.4x faster on inference.","['TinyBERT', 'is', 'empirically', 'effective', 'and', 'achieves', 'comparable', 'results', 'with', 'BERT', 'in', 'GLUE', 'datasets', ',', 'while', 'being', '7.5x', 'smaller', 'and', '9.4x', 'faster', 'on', 'inference', '.']","(0, 1)","(0, 8)",4.0,
65,TinyBERT is empirically effective and achieves comparable results with,BERT,"in GLUE datasets , while being 7.5x smaller and 9.4x faster on inference .",S,"['NP', 'VP', '.']",TinyBERT,0.0,0.0,8.0,0.0,8.0,is and achieves,0.0,9.0,46.0,9.0,46.0,['TinyBERT'],"['is', 'achieves']",,,,,,,,,,empirically,is empirically,[],['achieves'],0,9,24,9,24,being,in,"['PROPN', 'ADP', 'NOUN']","['BERT', 'with', 'results']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,6,"TinyBERT is empirically effective and achieves comparable results with BERT in GLUE datasets, while being 7.5x smaller and 9.4x faster on inference.","['TinyBERT', 'is', 'empirically', 'effective', 'and', 'achieves', 'comparable', 'results', 'with', 'BERT', 'in', 'GLUE', 'datasets', ',', 'while', 'being', '7.5x', 'smaller', 'and', '9.4x', 'faster', 'on', 'inference', '.']","(9, 10)","(70, 74)",0.0,
66,,TinyBERT,"is also significantly better than state - of - the - art baselines , even with only about 28 % parameters and 31 % inference time of baselines",S,"['NP', 'VP']",TinyBERT,1.0,0.0,8.0,0.0,8.0,is,2.0,9.0,11.0,0.0,2.0,['TinyBERT'],['is'],is,['TinyBERT'],"['also significantly better than state - of - the - art baselines , even with only about 28 % parameters and 31 % inference time of baselines']",1.0,2.0,9.0,12.0,0.0,3.0,is,is,['TinyBERT'],"['also significantly better than state - of - the - art baselines , even with only about 28 % parameters and 31 % inference time of baselines']",2,9,12,0,3,is,is,"['PROPN', 'AUX']","['TinyBERT', 'is']",https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Abstract,7,"TinyBERT is also significantly better than state-of-the-art baselines, even with only about 28% parameters and 31% inference time of baselines","['TinyBERT', 'is', 'also', 'significantly', 'better', 'than', 'state', '-', 'of', '-', 'the', '-', 'art', 'baselines', ',', 'even', 'with', 'only', 'about', '28', '%', 'parameters', 'and', '31', '%', 'inference', 'time', 'of', 'baselines']","(0, 1)","(0, 8)",4.0,
67,,TinyBERT,: Distilling BERT for Natural Language Understanding .,NP,"['CC', ':', 'S', '.']",,,,,,,TinyBERT,1.0,0.0,8.0,0.0,8.0,[],['Distilling'],,,,,,,,,,TinyBERT,TinyBERT,[],"[':', 'Distilling', 'BERT for Natural Language Understanding']",1,0,9,0,9,,Distilling,['CCONJ'],['TinyBERT'],https://www.semanticscholar.org/paper/TinyBERT%3A-Distilling-BERT-for-Natural-Language-Jiao-Yin/0cbf97173391b0430140117027edcaf1a37968c7,8,Title,0,TinyBERT: Distilling BERT for Natural Language Understanding.,"['TinyBERT', ':', 'Distilling', 'BERT', 'for', 'Natural', 'Language', 'Understanding', '.']","(0, 1)","(0, 8)",4.0,
68,,BERT,", a pre-trained Transformer model , has achieved ground-breaking performance on multiple NLP tasks .",S,"['NP', 'VP', '.']",BERT a pre - Transformer model,1.0,0.0,40.0,0.0,40.0,has achieved,2.0,43.0,55.0,38.0,50.0,"['BERT', 'a', 'pre', '-', 'Transformer', 'model']","['has', 'achieved', 'breaking']",has achieved,"['BERT , a pre - trained Transformer model ,']",[],1.0,2.0,43.0,56.0,38.0,51.0,ground,ground,"['BERT , a pre - trained Transformer model , has achieved']","['- breaking performance on multiple NLP tasks', '.']",2,56,63,51,58,has,a,"['PROPN', 'VERB', 'NOUN']","['BERT', 'achieved', 'ground']",https://www.semanticscholar.org/paper/Fine-tune-BERT-for-Extractive-Summarization-Liu/a10a6495723ea8c928680ecdd61714f5750586c3,9,Abstract,0,"BERT, a pre-trained Transformer model, has achieved ground-breaking performance on multiple NLP tasks.","['BERT', ',', 'a', 'pre-trained', 'Transformer', 'model', ',', 'has', 'achieved', 'ground-breaking', 'performance', 'on', 'multiple', 'NLP', 'tasks', '.']","(0, 1)","(0, 4)",0.0,183.0
69,"In this paper , we describe",BERTSUM,", a simple variant of BERT , for extractive summarization .",S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,16.0,18.0,16.0,18.0,describe,0.0,19.0,27.0,19.0,27.0,['we'],['describe'],describe,['we'],"['BERTSUM , a simple variant of BERT ,']",-1.0,0.0,19.0,28.0,19.0,28.0,describe,describe,['we'],"['BERTSUM , a simple variant of BERT ,']",0,19,28,19,28,,a,"['PROPN', 'VERB']","['BERTSUM', 'describe']",https://www.semanticscholar.org/paper/Fine-tune-BERT-for-Extractive-Summarization-Liu/a10a6495723ea8c928680ecdd61714f5750586c3,9,Abstract,1,"In this paper, we describe BERTSUM, a simple variant of BERT, for extractive summarization.","['In', 'this', 'paper', ',', 'we', 'describe', 'BERTSUM', ',', 'a', 'simple', 'variant', 'of', 'BERT', ',', 'for', 'extractive', 'summarization', '.']","(6, 7)","(27, 34)",0.0,34.0
70,"Our system is the state of the art on the CNN/Dailymail dataset, outperforming the previous best-performed system by 1.65 on ROUGE-L.",,,S,"['NP', 'VP']",system,0.0,4.0,10.0,4.0,10.0,is outperforming,0.0,11.0,81.0,11.0,81.0,['system'],"['is', 'outperforming']",,,,,,,,,,state,is state,[],[],0,11,24,11,24,,,,,https://www.semanticscholar.org/paper/Fine-tune-BERT-for-Extractive-Summarization-Liu/a10a6495723ea8c928680ecdd61714f5750586c3,9,Abstract,2,"Our system is the state of the art on the CNN/Dailymail dataset, outperforming the previous best-performed system by 1.65 on ROUGE-L.","['Our', 'system', 'is', 'the', 'state', 'of', 'the', 'art', 'on', 'the', 'CNN/Dailymail', 'dataset,', 'outperforming', 'the', 'previous', 'best-performed', 'system', 'by', '1.65', 'on', 'ROUGE-L.']",,,,159.0
71,The codes to reproduce our results are available at this https URL,,,S,"['NP', 'VP']",The codes,0.0,0.0,9.0,0.0,9.0,are,0.0,35.0,38.0,35.0,38.0,"['The', 'codes']",['are'],,,,,,,,,,available,are available,['The codes to reproduce our results'],[],0,35,49,35,49,,,,,https://www.semanticscholar.org/paper/Fine-tune-BERT-for-Extractive-Summarization-Liu/a10a6495723ea8c928680ecdd61714f5750586c3,9,Abstract,3,The codes to reproduce our results are available at this https URL,"['The', 'codes', 'to', 'reproduce', 'our', 'results', 'are', 'available', 'at', 'this', 'https', 'URL']",,,,121.0
72,Fine-tune,BERT,for Extractive Summarization .,FRAG,"['ADJP', 'HYPH', 'NP', '.']",tune BERT,0.0,7.0,16.0,7.0,16.0,,,,,,,"['tune', 'BERT']",[],,,,,,,,,,BERT,BERT,"['Fine', '- tune']",[],1,12,17,2,7,,for,['NOUN'],['BERT'],https://www.semanticscholar.org/paper/Fine-tune-BERT-for-Extractive-Summarization-Liu/a10a6495723ea8c928680ecdd61714f5750586c3,9,Title,0,Fine-tune BERT for Extractive Summarization.,"['Fine-tune', 'BERT', 'for', 'Extractive', 'Summarization', '.']","(1, 2)","(9, 13)",0.0,189.0
73,Question-answering plays an important role in e-commerce as it allows potential customers to actively seek crucial information about products or services to help their purchase decision making.,,,S,"['NP', 'HYPH', 'NP', 'VP', '.']",Question answering,0.0,0.0,20.0,0.0,20.0,plays,0.0,21.0,26.0,21.0,26.0,"['Question', 'answering']",['plays'],,,,,,,,,,Question,Question,[],['answering plays an important role in e - commerce as it allows potential customers to actively seek crucial information about products or services to help their purchase decision making .'],0,0,9,0,9,,,,,https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,0,Question-answering plays an important role in e-commerce as it allows potential customers to actively seek crucial information about products or services to help their purchase decision making.,"['Question-answering', 'plays', 'an', 'important', 'role', 'in', 'e-commerce', 'as', 'it', 'allows', 'potential', 'customers', 'to', 'actively', 'seek', 'crucial', 'information', 'about', 'products', 'or', 'services', 'to', 'help', 'their', 'purchase', 'decision', 'making.']",,,,166.0
74,"Inspired by the recent success of machine reading comprehension (MRC) on formal documents, this paper explores the potential of turning customer reviews into a large source of knowledge that can be exploited to answer user questions.",,,S,"['S', ',', 'NP', 'VP', '.']",this paper,0.0,94.0,104.0,94.0,104.0,explores,0.0,105.0,113.0,105.0,113.0,"['this', 'paper']","['Inspired', 'explores']",,,,,,,,,,source,source,['large'],[],0,169,176,169,176,,,,,https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,1,"Inspired by the recent success of machine reading comprehension (MRC) on formal documents, this paper explores the potential of turning customer reviews into a large source of knowledge that can be exploited to answer user questions.","['Inspired', 'by', 'the', 'recent', 'success', 'of', 'machine', 'reading', 'comprehension', '(MRC)', 'on', 'formal', 'documents,', 'this', 'paper', 'explores', 'the', 'potential', 'of', 'turning', 'customer', 'reviews', 'into', 'a', 'large', 'source', 'of', 'knowledge', 'that', 'can', 'be', 'exploited', 'to', 'answer', 'user', 'questions.']",,,,127.0
75,We call this problem Review Reading Comprehension (RRC).,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,call,0.0,3.0,7.0,3.0,7.0,['We'],['call'],,,,,,,,,,problem,problem,"['We', 'call', 'this']",['Review Reading Comprehension ( RRC ) .'],0,13,21,13,21,,,,,https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,2,We call this problem Review Reading Comprehension (RRC).,"['We', 'call', 'this', 'problem', 'Review', 'Reading', 'Comprehension', '(RRC).']",,,,79.0
76,"To the best of our knowledge, no existing work has been done on RRC.",,,S,"['PP', ',', 'NP', 'VP', '.']",no work,0.0,31.0,47.0,31.0,47.0,has been done,0.0,48.0,61.0,48.0,61.0,"['no', 'work']","['has', 'been', 'done']",,,,,,,,,,done,has been done,['no existing work'],[],0,48,62,48,62,,,,,https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,3,"To the best of our knowledge, no existing work has been done on RRC.","['To', 'the', 'best', 'of', 'our', 'knowledge,', 'no', 'existing', 'work', 'has', 'been', 'done', 'on', 'RRC.']",,,,154.0
77,"Since ReviewRC has limited training examples for RRC ( and also for aspect - based sentiment analysis ) , we then explore a novel post - training approach on",the popular language model BERT,to enhance the performance of fine - tuning of BERT for RRC .,S,"['SBAR', ',', 'NP', 'ADVP', 'VP', '.']",we,0.0,106.0,108.0,106.0,108.0,explore,0.0,114.0,121.0,114.0,121.0,['we'],['explore'],explore,[],"['a novel post - training approach on the popular language model BERT', 'to enhance the performance of fine - tuning of BERT for RRC']",-1.0,0.0,114.0,122.0,114.0,122.0,has,has,"['Since', 'ReviewRC']","['limited training examples for RRC ( and also for aspect - based sentiment analysis ) , we then explore a novel post - training approach on the popular language model BERT to enhance the performance of fine - tuning of BERT for RRC']",0,15,19,15,19,enhance,to,"['NOUN', 'ADP', 'NOUN']","['model', 'on', 'approach']",https://www.semanticscholar.org/paper/BERT-Post-Training-for-Review-Reading-Comprehension-Xu-Liu/a4bc4b98a917174ac2ab14bd5e66d64306079ab5,10,Abstract,4,"In this work, we first build an RRC dataset called ReviewRC based on a popular benchmark for aspect-based sentiment analysis.","['Since', 'ReviewRC', 'has', 'limited', 'training', 'examples', 'for', 'RRC', '(', 'and', 'also', 'for', 'aspect', '-', 'based', 'sentiment', 'analysis', ')', ',', 'we', 'then', 'explore', 'a', 'novel', 'post', '-', 'training', 'approach', 'on', 'the', 'popular', 'language', 'model', 'BERT', 'to', 'enhance', 'the', 'performance', 'of', 'fine', '-', 'tuning', 'of', 'BERT', 'for', 'RRC', '.']","(29, 34)","(157, 188)",27.0,33.0
