,src,alignsegments,aligntypes,alignctypes
1908,1212 individuals seeking help for mental health problems,"['1212 individuals', 'seeking', 'help', 'for', 'mental health problems']","['NP', 'VP', 'NP', 'PP', 'NP']","[['CD', 'NNS'], ['VBG'], ['NN'], ['IN'], ['JJ', 'NN', 'NNS']]"
1909,More than 388 individuals fulfilled criteria for both interventions and 188 ( 48.5 % ) gave informed consent to participate in the trials .,"['More than 388', 'individuals', 'fulfilled', 'criteria', 'for', 'both interventions', 'and', '188', '(', '48.5 % )', 'gave', 'informed consent', 'to', 'participate', 'in', 'the trials', '.']","['QP', 'NP', 'VP', 'NP', 'PP', 'NP', 'S', 'NP', 'PRN', 'NP', 'VP', 'NP', 'VP', 'VP', 'PP', 'NP', 'S']","[['JJR', 'IN', 'CD'], ['NNS'], ['VBD'], ['NNS'], ['IN'], ['DT', 'NNS'], ['CC'], ['CD'], ['-LRB-'], ['CD', 'NN', '-RRB-'], ['VBD'], ['VBN', 'NN'], ['TO'], ['VB'], ['IN'], ['DT', 'NNS'], ['.']]"
1910,More than 388 individuals fulfilled criteria for both interventions and 188 ( 48.5 % ) gave informed consent to participate in the trials .,"['More than 388', 'individuals', 'fulfilled', 'criteria', 'for', 'both interventions', 'and', '188', '(', '48.5 % )', 'gave', 'informed consent', 'to', 'participate', 'in', 'the trials', '.']","['QP', 'NP', 'VP', 'NP', 'PP', 'NP', 'S', 'NP', 'PRN', 'NP', 'VP', 'NP', 'VP', 'VP', 'PP', 'NP', 'S']","[['JJR', 'IN', 'CD'], ['NNS'], ['VBD'], ['NNS'], ['IN'], ['DT', 'NNS'], ['CC'], ['CD'], ['-LRB-'], ['CD', 'NN', '-RRB-'], ['VBD'], ['VBN', 'NN'], ['TO'], ['VB'], ['IN'], ['DT', 'NNS'], ['.']]"
1911,people at increased risk of developing psychosis .,"['people', 'at', 'increased risk', 'of', 'developing', 'psychosis .']","['NP', 'PP', 'NP', 'PP', 'VP', 'NP']","[['NNS'], ['IN'], ['VBN', 'NN'], ['IN'], ['VBG'], ['NN', '.']]"
1912,initial prodromal states of psychosis in Germany :,"['initial prodromal states', 'of', 'psychosis', 'in', 'Germany :']","['NP', 'PP', 'NP', 'PP', 'NP']","[['JJ', 'JJ', 'NNS'], ['IN'], ['NN'], ['IN'], ['NNP', ':']]"
1913,initial prodromal states of psychosis,"['initial prodromal states', 'of', 'psychosis']","['NP', 'PP', 'NP']","[['JJ', 'JJ', 'NNS'], ['IN'], ['NN']]"
1914,Germany,['Germany'],['NP'],[['NNP']]
1915,digestive surgery patients .,['digestive surgery patients .'],['NP'],"[['JJ', 'NN', 'NNS', '.']]"
1919,digestive surgery patients .,['digestive surgery patients .'],['NP'],"[['JJ', 'NN', 'NNS', '.']]"
1923,Forty patients who underwent digestive surgery,"['Forty patients', 'who', 'underwent', 'digestive surgery']","['NP', 'WHNP', 'VP', 'NP']","[['CD', 'NNS'], ['WP'], ['VBD'], ['JJ', 'NN']]"
1926,Forty patients who underwent digestive surgery,"['Forty patients', 'who', 'underwent', 'digestive surgery']","['NP', 'WHNP', 'VP', 'NP']","[['CD', 'NNS'], ['WP'], ['VBD'], ['JJ', 'NN']]"
1945,digestive surgery patients .,['digestive surgery patients .'],['NP'],"[['JJ', 'NN', 'NNS', '.']]"
1949,digestive surgery patients .,['digestive surgery patients .'],['NP'],"[['JJ', 'NN', 'NNS', '.']]"
1953,after digestive surgery ],"['after', 'digestive surgery', ']']","['FRAG', 'NP', 'FRAG']","[['IN'], ['JJ', 'NN'], ['-RRB-']]"
1956,after digestive surgery ],"['after', 'digestive surgery', ']']","['FRAG', 'NP', 'FRAG']","[['IN'], ['JJ', 'NN'], ['-RRB-']]"
1960,Parents of children who receive the diagnosis of autistic spectrum disorder ( ASD ),"['Parents', 'of', 'children', 'who', 'receive', 'the diagnosis', 'of', 'autistic spectrum disorder ( ASD )']","['NP', 'PP', 'NP', 'WHNP', 'VP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNS'], ['WP'], ['VBP'], ['DT', 'NN'], ['IN'], ['JJ', 'NN', 'NN', '-LRB-', 'NNP', '-RRB-']]"
1961,Parents of children,"['Parents', 'of', 'children']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNS']]"
1962,diagnosis of autistic spectrum disorder ( ASD ),"['diagnosis', 'of', 'autistic spectrum disorder ( ASD )']","['NP', 'PP', 'NP']","[['NN'], ['IN'], ['JJ', 'NN', 'NN', '-LRB-', 'NNP', '-RRB-']]"
1963,parents of children with ASD,"['parents', 'of', 'children', 'with', 'ASD']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNS'], ['IN'], ['NNP']]"
1965,parents of children with ASD,"['parents', 'of', 'children', 'with', 'ASD']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNS'], ['IN'], ['NNP']]"
1989,parents of children with autistic spectrum disorder .,"['parents', 'of', 'children', 'with', 'autistic spectrum disorder .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNS'], ['IN'], ['JJ', 'NN', 'NN', '.']]"
1991,parents of children,"['parents', 'of', 'children']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNS']]"
1992,autistic spectrum disorder,['autistic spectrum disorder'],['NP'],"[['JJ', 'NNP', 'NN']]"
2024,human,['human'],['NP'],[['JJ']]
2027,human,['human'],['NP'],[['JJ']]
2030,patients with cancer-associated anemia .,"['patients', 'with', 'cancer - associated anemia .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'HYPH', 'VBN', 'NNP', '.']]"
2033,patients with cancer-associated anemia .,"['patients', 'with', 'cancer - associated anemia .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'HYPH', 'VBN', 'NNP', '.']]"
2042,Three hundred sixty-five patients,['Three hundred sixty - five patients'],['NP'],"[['CD', 'CD', 'CD', 'HYPH', 'CD', 'NNS']]"
2043,Three hundred sixty-five patients,['Three hundred sixty - five patients'],['NP'],"[['CD', 'CD', 'CD', 'HYPH', 'CD', 'NNS']]"
2078,anemic patients with cancer .,"['anemic patients', 'with', 'cancer .']","['NP', 'PP', 'NP']","[['JJ', 'NNS'], ['IN'], ['NN', '.']]"
2080,anemic patients with cancer .,"['anemic patients', 'with', 'cancer .']","['NP', 'PP', 'NP']","[['JJ', 'NNS'], ['IN'], ['NN', '.']]"
2082,10 patients with asthma due to HDM,"['10 patients', 'with', 'asthma', 'due', 'to', 'HDM']","['NP', 'PP', 'NP', 'ADJP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['NN'], ['JJ'], ['IN'], ['NNP']]"
2088,10 patients with asthma due to HDM,"['10 patients', 'with', 'asthma', 'due', 'to', 'HDM']","['NP', 'PP', 'NP', 'ADJP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['NN'], ['JJ'], ['IN'], ['NNP']]"
2114,asthma due to HDM .,"['asthma', 'due', 'to', 'HDM .']","['NP', 'ADJP', 'PP', 'NP']","[['NN'], ['JJ'], ['IN'], ['NNP', '.']]"
2120,asthma due to house dust mite Dermatophagoides pteronyssinus :,"['asthma', 'due', 'to', 'house dust mite', 'Dermatophagoides pteronyssinus', ':']","['NP', 'ADJP', 'PP', 'NP', 'VP', 'NP']","[['NNP'], ['JJ'], ['IN'], ['NNP', 'NN', 'NN'], ['VBZ', 'NNS'], [':']]"
2123,patients with C. difficile-associated diarrhea ( CDAD ),"['patients', 'with', 'C. difficile - associated diarrhea ( CDAD )']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', 'RB', 'HYPH', 'VBN', 'NN', '-LRB-', 'NNP', '-RRB-']]"
2126,patients with C. difficile-associated diarrhea ( CDAD ),"['patients', 'with', 'C. difficile - associated diarrhea ( CDAD )']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', 'RB', 'HYPH', 'VBN', 'NN', '-LRB-', 'NNP', '-RRB-']]"
2136,77 patients with CDAD,"['77 patients', 'with', 'CDAD']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['NNP']]"
2140,77 patients with CDAD,"['77 patients', 'with', 'CDAD']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['NNP']]"
2142,patients with CDAD .,"['patients', 'with', 'CDAD .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', '.']]"
2146,patients with CDAD .,"['patients', 'with', 'CDAD .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', '.']]"
2149,individuals with CDAD,"['individuals', 'with', 'CDAD']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP']]"
2152,individuals with CDAD,"['individuals', 'with', 'CDAD']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP']]"
2158,patients with acute myeloid leukemia ( AML ) or myelodysplastic syndromes ( MDS ) during and after chemotherapy .,"['patients with acute myeloid leukemia ( AML ) or myelodysplastic syndromes ( MDS )', 'during and after', 'chemotherapy .']","['NP', 'PP', 'NP']","[['NNS', 'IN', 'NNP', 'NNP', 'NN', '-LRB-', 'NNP', '-RRB-', 'CC', 'JJ', 'NNS', '-LRB-', 'NNP', '-RRB-'], ['IN', 'CC', 'IN'], ['NN', '.']]"
2162,patients with acute myeloid leukemia ( AML ) or myelodysplastic syndromes ( MDS ) during and after chemotherapy .,"['patients with acute myeloid leukemia ( AML ) or myelodysplastic syndromes ( MDS )', 'during and after', 'chemotherapy .']","['NP', 'PP', 'NP']","[['NNS', 'IN', 'NNP', 'NNP', 'NN', '-LRB-', 'NNP', '-RRB-', 'CC', 'JJ', 'NNS', '-LRB-', 'NNP', '-RRB-'], ['IN', 'CC', 'IN'], ['NN', '.']]"
2179,patients with AML or MDS who received chemotherapy,"['patients', 'with', 'AML or MDS', 'who', 'received', 'chemotherapy']","['NP', 'PP', 'NP', 'WHNP', 'VP', 'NP']","[['NNS'], ['IN'], ['NNP', 'CC', 'NNP'], ['WP'], ['VBD'], ['NN']]"
2183,patients with AML or MDS who received chemotherapy,"['patients', 'with', 'AML or MDS', 'who', 'received', 'chemotherapy']","['NP', 'PP', 'NP', 'WHNP', 'VP', 'NP']","[['NNS'], ['IN'], ['NNP', 'CC', 'NNP'], ['WP'], ['VBD'], ['NN']]"
2184,patients with acute myeloid leukemia and myelodysplastic syndromes :,"['patients', 'with', 'acute myeloid leukemia and myelodysplastic syndromes :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', 'JJ', 'NN', 'CC', 'JJ', 'NNS', ':']]"
2185,Japanese,['Japanese'],['NP'],[['NNP']]
2189,patients with acute myeloid leukemia and myelodysplastic syndromes :,"['patients', 'with', 'acute myeloid leukemia and myelodysplastic syndromes :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', 'JJ', 'NN', 'CC', 'JJ', 'NNS', ':']]"
2190,Japanese,['Japanese'],['NP'],[['NNP']]
2193,pospartal anemia,['pospartal anemia'],['NP'],"[['JJ', 'NNP']]"
2201,Prague,['Prague'],['NP'],[['NNP']]
2202,Prague .,['Prague .'],['NP'],"[['NNP', '.']]"
2203,Prague,['Prague'],['NP'],[['NNP']]
2204,Prague,['Prague'],['NP'],[['NNP']]
2205,50 women with clinical and lab signs of postpartal anemia .,"['50 women', 'with', 'clinical and lab signs', 'of', 'postpartal anemia .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['JJ', 'CC', 'NN', 'NNS'], ['IN'], ['JJ', 'NN', '.']]"
2207,50 women,['50 women'],['NP'],"[['CD', 'NNS']]"
2208,clinical and lab signs of postpartal anemia,"['clinical and lab signs', 'of', 'postpartal anemia']","['NP', 'PP', 'NP']","[['JJ', 'CC', 'NN', 'NNS'], ['IN'], ['JJ', 'NN']]"
2219,pospartal anemia,['pospartal anemia'],['NP'],"[['JJ', 'NNP']]"
2228,postpartum anemia,['postpartum anemia'],['NP'],"[['NN', 'NNP']]"
2230,postpartum,['postpartum'],['NP'],[['NNP']]
2237,98 patients aged between 18 and 75 suffering from pain-inflammatory pathologies of ENT nature .,"['98 patients', 'aged', 'between', '18', 'and 75', 'suffering', 'from', 'pain - inflammatory pathologies', 'of', 'ENT nature .']","['NP', 'PP', 'PP', 'NP', 'PP', 'VP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS'], ['VBN'], ['IN'], ['CD'], ['CC', 'CD'], ['NN'], ['IN'], ['NN', 'HYPH', 'JJ', 'NNS'], ['IN'], ['NNP', 'NN', '.']]"
2240,98,['98'],['NP'],[['CD']]
2241,aged between 18 and 75,"['aged', 'between 18 and 75']","['VP', 'QP']","[['VBN'], ['IN', 'CD', 'CC', 'CD']]"
2242,pain-inflammatory pathologies of ENT nature .,"['pain - inflammatory pathologies', 'of', 'ENT nature .']","['NP', 'PP', 'NP']","[['NN', 'HYPH', 'JJ', 'NNS'], ['IN'], ['NNP', 'NN', '.']]"
2257,"pain-inflammatory pathologies of the ear , nose , and throat ]","['pain - inflammatory pathologies', 'of', 'the ear , nose , and throat', ']']","['NP', 'PP', 'NP', 'PP']","[['NN', 'HYPH', 'JJ', 'NNS'], ['IN'], ['DT', 'NN', ',', 'NN', ',', 'CC', 'NN'], ['-RRB-']]"
2264,patients with asthma poorly controlled on low dose inhaled corticosteroids,"['patients', 'with', 'asthma', 'poorly', 'controlled', 'on', 'low dose inhaled corticosteroids']","['NP', 'PP', 'NP', 'ADVP', 'VP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN'], ['RB'], ['VBN'], ['IN'], ['JJ', 'NN', 'VBN', 'NNS']]"
2266,patients with asthma,"['patients', 'with', 'asthma']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN']]"
2267,adult asthmatics .,['adult asthmatics .'],['NP'],"[['NN', 'NNS', '.']]"
2273,adult asthmatics .,['adult asthmatics .'],['NP'],"[['NN', 'NNS', '.']]"
2281,Sixty-six subjects,['Sixty - six subjects'],['NP'],"[['CD', 'HYPH', 'CD', 'NNS']]"
2284,Sixty-six subjects,['Sixty - six subjects'],['NP'],"[['CD', 'HYPH', 'CD', 'NNS']]"
2315,asthma .,['asthma .'],['NP'],"[['NN', '.']]"
2328,subjects > or =50 years of age .,"['subjects > or = 50 years', 'of', 'age .']","['NP', 'PP', 'NP']","[['NNP', 'XX', 'CC', 'VBZ', 'CD', 'NNS'], ['IN'], ['NN', '.']]"
2333,subjects > or =50 years of age .,"['subjects > or = 50 years', 'of', 'age .']","['NP', 'PP', 'NP']","[['NNP', 'XX', 'CC', 'VBZ', 'CD', 'NNS'], ['IN'], ['NN', '.']]"
2338,Subjects with a negative history for HZ,"['Subjects', 'with', 'a negative history', 'for', 'HZ']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['DT', 'JJ', 'NN'], ['IN'], ['NNP']]"
2339,Subjects with a negative history for HZ,"['Subjects', 'with', 'a negative history', 'for', 'HZ']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['DT', 'JJ', 'NN'], ['IN'], ['NNP']]"
2340,Enrollment was stratified 1:2 by age ( 50 to 59 years and > or =60 years ),"['Enrollment', 'was', 'stratified', '1:2', 'by', 'age', '(', '50 to 59', 'years', 'and > or =', '60 years', ')']","['NP', 'VP', 'VP', 'NP', 'VP', 'NP', 'VP', 'QP', 'NP', 'VP', 'NP', 'VP']","[['NN'], ['VBD'], ['VBN'], ['CD'], ['IN'], ['NN'], ['-LRB-'], ['CD', 'TO', 'CD'], ['NNS'], ['CC', 'XX', 'CC', 'SYM'], ['CD', 'NNS'], ['-RRB-']]"
2341,Enrollment was stratified 1:2 by age ( 50 to 59 years and > or =60 years ),"['Enrollment', 'was', 'stratified', '1:2', 'by', 'age', '(', '50 to 59', 'years', 'and > or =', '60 years', ')']","['NP', 'VP', 'VP', 'NP', 'VP', 'NP', 'VP', 'QP', 'NP', 'VP', 'NP', 'VP']","[['NN'], ['VBD'], ['VBN'], ['CD'], ['IN'], ['NN'], ['-LRB-'], ['CD', 'TO', 'CD'], ['NNS'], ['CC', 'XX', 'CC', 'SYM'], ['CD', 'NNS'], ['-RRB-']]"
2380,patients with early breast cancer,"['patients', 'with', 'early breast cancer']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN', 'NN']]"
2382,patients with early breast cancer,"['patients', 'with', 'early breast cancer']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN', 'NN']]"
2433,patients with early breast cancer :,"['patients', 'with', 'early breast cancer :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN', 'NN', ':']]"
2434,European,['European'],['NP'],[['NNP']]
2437,patients with early breast cancer :,"['patients', 'with', 'early breast cancer :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN', 'NN', ':']]"
2439,preschool children with autism,"['preschool children', 'with', 'autism']","['NP', 'PP', 'NP']","[['JJ', 'NNS'], ['IN'], ['NN']]"
2443,preschool children with autism,"['preschool children', 'with', 'autism']","['NP', 'PP', 'NP']","[['JJ', 'NNS'], ['IN'], ['NN']]"
2447,Participants were 58 children ( 46 boys ) with autism between 3 and 4 years of age .,"['Participants', 'were', '58 children ( 46 boys )', 'with', 'autism', 'between', '3 and 4', 'years', 'of', 'age', '.']","['NP', 'VP', 'NP', 'PP', 'NP', 'PP', 'QP', 'NP', 'PP', 'NP', 'S']","[['NNS'], ['VBD'], ['CD', 'NNS', '-LRB-', 'CD', 'NNS', '-RRB-'], ['IN'], ['NN'], ['IN'], ['CD', 'CC', 'CD'], ['NNS'], ['IN'], ['NN'], ['.']]"
2448,58 children,['58 children'],['NP'],"[['CD', 'NNS']]"
2449,46,['46'],['NP'],[['CD']]
2450,autism between 3 and 4 years of age,"['autism', 'between', '3 and 4', 'years', 'of', 'age']","['NP', 'PP', 'QP', 'NP', 'PP', 'NP']","[['NN'], ['IN'], ['CD', 'CC', 'CD'], ['NNS'], ['IN'], ['NN']]"
2470,young children with autism .,"['young children', 'with', 'autism .']","['NP', 'PP', 'NP']","[['JJ', 'NNS'], ['IN'], ['NN', '.']]"
2473,young children with autism .,"['young children', 'with', 'autism .']","['NP', 'PP', 'NP']","[['JJ', 'NNS'], ['IN'], ['NN', '.']]"
2476,autism :,['autism :'],['NP'],"[['NN', ':']]"
2480,autism :,['autism :'],['NP'],"[['NN', ':']]"
2485,GABHS pharyngitis .,['GABHS pharyngitis .'],['S'],"[['VB', 'RB', '.']]"
2492,school-based clinic in New Zealand .,"['school - based clinic', 'in', 'New Zealand .']","['NP', 'PP', 'NP']","[['NN', 'HYPH', 'VBN', 'NN'], ['IN'], ['NNP', 'NNP', '.']]"
2494,school-based clinic in New Zealand,"['school - based clinic', 'in', 'New Zealand']","['NP', 'PP', 'NP']","[['NN', 'HYPH', 'VBN', 'NN'], ['IN'], ['NNP', 'NNP']]"
2496,Children presenting with GABHS pharyngitis,"['Children', 'presenting', 'with', 'GABHS pharyngitis']","['NP', 'VP', 'PP', 'NP']","[['NNS'], ['VBG'], ['IN'], ['NN', 'JJ']]"
2499,Children,['Children'],['NP'],[['NNS']]
2500,GABHS pharyngitis,['GABHS pharyngitis'],['NP'],"[['VB', 'RB']]"
2520,353 children with positive throat swabs for GABHS,"['353 children', 'with', 'positive throat swabs', 'for', 'GABHS']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['JJ', 'NN', 'NNS'], ['IN'], ['NN']]"
2523,353 children with positive throat swabs for GABHS,"['353 children', 'with', 'positive throat swabs', 'for', 'GABHS']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['JJ', 'NN', 'NNS'], ['IN'], ['NN']]"
2539,GABHS in children with pharyngitis .,"['GABHS', 'in', 'children', 'with', 'pharyngitis .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNS'], ['IN'], ['NN', '.']]"
2543,GABHS in children with pharyngitis .,"['GABHS', 'in', 'children', 'with', 'pharyngitis .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNS'], ['IN'], ['NN', '.']]"
2546,group A beta-haemolytic streptococcal pharyngitis .,['group A beta - haemolytic streptococcal pharyngitis .'],['NP'],"[['NN', 'DT', 'JJ', 'HYPH', 'JJ', 'JJ', 'NN', '.']]"
2549,beta-haemolytic streptococcal pharyngitis .,['beta - haemolytic streptococcal pharyngitis .'],['NP'],"[['NN', 'HYPH', 'JJ', 'JJ', 'NN', '.']]"
2552,children with Asperger syndrome ( AS ) :,"['children', 'with', 'Asperger syndrome ( AS ) :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', 'NN', '-LRB-', 'NNP', '-RRB-', ':']]"
2555,children,['children'],['NP'],[['NNS']]
2556,Asperger syndrome ( AS ),['Asperger syndrome ( AS )'],['NP'],"[['JJ', 'NN', '-LRB-', 'NNP', '-RRB-']]"
2561,Forty-nine children with AS,"['Forty - nine children', 'with', 'AS']","['NP', 'PP', 'NP']","[['CD', 'HYPH', 'CD', 'NNS'], ['IN'], ['NNP']]"
2562,Forty-nine children with AS,"['Forty - nine children', 'with', 'AS']","['NP', 'PP', 'NP']","[['CD', 'HYPH', 'CD', 'NNS'], ['IN'], ['NNP']]"
2574,children with AS .,"['children', 'with', 'AS .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', '.']]"
2578,children with AS .,"['children', 'with', 'AS .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', '.']]"
2582,children with Asperger syndrome :,"['children', 'with', 'Asperger syndrome :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP', 'NN', ':']]"
2585,children,['children'],['NP'],[['NNS']]
2586,Asperger syndrome,['Asperger syndrome'],['NP'],"[['JJ', 'NN']]"
2589,school-aged children .,['school - aged children .'],['NP'],"[['NN', 'HYPH', 'VBN', 'NNS', '.']]"
2596,30 healthy children .,['30 healthy children .'],['NP'],"[['CD', 'JJ', 'NNS', '.']]"
2597,30 healthy,['30 healthy'],['NP'],"[['CD', 'JJ']]"
2633,school-aged children,['school - aged children'],['NP'],"[['NN', 'HYPH', 'VBN', 'NNS']]"
2637,school-aged children,['school - aged children'],['NP'],"[['NN', 'HYPH', 'VBN', 'NNS']]"
2647,auditory stimulation,['auditory stimulation'],['NP'],"[['NNP', 'NN']]"
2657,Subjects,['Subjects'],['NP'],[['NNS']]
2666,Vibrotactile -- auditory interactions,['Vibrotactile -- auditory interactions'],['NP'],"[['JJ', ':', 'NN', 'NNS']]"
2676,"Madison , WI , USA .","['Madison , WI , USA .']",['NP'],"[['NNP', ',', 'NNP', ',', 'NNP', '.']]"
2677,"Madison , WI , USA","['Madison , WI , USA']",['NP'],"[['NNP', ',', 'NNP', ',', 'NNP']]"
2678,"403 adult , daily smokers without contraindications to bupropion SR use .","['403 adult , daily smokers', 'without', 'contraindications', 'to', 'bupropion SR use .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NN', ',', 'JJ', 'NNS'], ['IN'], ['NNS'], ['IN'], ['NN', 'NNP', 'NN', '.']]"
2680,"403 adult , daily smokers without contraindications to bupropion SR use","['403 adult , daily smokers', 'without', 'contraindications', 'to', 'bupropion SR use']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NN', ',', 'JJ', 'NNS'], ['IN'], ['NNS'], ['IN'], ['NN', 'NNP', 'NN']]"
2707,smoking cessation .,['smoking cessation .'],['NP'],"[['NN', 'NN', '.']]"
2711,patients with metastatic breast cancer ( MBC ) .,['patients with metastatic breast cancer ( MBC ) .'],['NP'],"[['NNS', 'IN', 'JJ', 'NN', 'NN', '-LRB-', 'NNP', '-RRB-', '.']]"
2715,patients with metastatic breast cancer ( MBC ) .,['patients with metastatic breast cancer ( MBC ) .'],['NP'],"[['NNS', 'IN', 'JJ', 'NN', 'NN', '-LRB-', 'NNP', '-RRB-', '.']]"
2719,MBC ( n = 509 ),"['MBC (', 'n = 509', ')']","['NP', 'QP', 'NP']","[['NNP', '-LRB-'], ['NNP', 'SYM', 'CD'], ['-RRB-']]"
2747,MBC patients,['MBC patients'],['NP'],"[['NNP', 'NNS']]"
2750,patients,['patients'],['NP'],[['NNS']]
2752,metastatic breast cancer,['metastatic breast cancer'],['NP'],"[['JJ', 'NN', 'NN']]"
2756,metastatic breast cancer,['metastatic breast cancer'],['NP'],"[['JJ', 'NN', 'NN']]"
2761,individuals with autism spectrum disorders ( ASD ) .,"['individuals', 'with', 'autism spectrum disorders ( ASD ) .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'NN', 'NNS', '-LRB-', 'NNP', '-RRB-', '.']]"
2762,individuals with autism spectrum disorders ( ASD ) .,"['individuals', 'with', 'autism spectrum disorders ( ASD ) .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'NN', 'NNS', '-LRB-', 'NNP', '-RRB-', '.']]"
2768,Children with ASD and typically developing ( TD ) children,"['Children', 'with', 'ASD', 'and', 'typically', 'developing ( TD ) children']","['NP', 'PP', 'NP', 'PP', 'ADVP', 'NP']","[['NNS'], ['IN'], ['NNP'], ['CC'], ['RB'], ['VBG', '-LRB-', 'NNP', '-RRB-', 'NNS']]"
2770,Children,['Children'],['NP'],[['NNS']]
2771,ASD and typically developing ( TD ) children,"['ASD and', 'typically', 'developing ( TD ) children']","['NP', 'ADVP', 'NP']","[['VB', 'CC'], ['RB'], ['VBG', '-LRB-', 'NNP', '-RRB-', 'NNS']]"
2783,autism,['autism'],['NP'],[['NN']]
2793,10 patients in each group .,"['10 patients', 'in', 'each group .']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['DT', 'NN', '.']]"
2794,10 patients in each group .,"['10 patients', 'in', 'each group .']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['DT', 'NN', '.']]"
2832,children with pervasive developmental disorders .,"['children', 'with', 'pervasive developmental disorders .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'JJ', 'NNS', '.']]"
2835,children,['children'],['NP'],[['NNS']]
2836,pervasive developmental disorders,['pervasive developmental disorders'],['NP'],"[['JJ', 'JJ', 'NNS']]"
2849,breast cancer surgery in Japanese patients .,"['breast cancer surgery', 'in', 'Japanese patients .']","['NP', 'PP', 'NP']","[['NN', 'NN', 'NN'], ['IN'], ['JJ', 'NNS', '.']]"
2855,breast cancer surgery in Japanese patients .,"['breast cancer surgery', 'in', 'Japanese patients .']","['NP', 'PP', 'NP']","[['NN', 'NN', 'NN'], ['IN'], ['JJ', 'NNS', '.']]"
2861,Japanese women,['Japanese women'],['NP'],"[['JJ', 'NNS']]"
2866,Japanese women,['Japanese women'],['NP'],"[['JJ', 'NNS']]"
2878,"A total of 100 women ( mean [ SD ] age , 52 [ 7 ] years ; height , 154 [ 6 ] cm ; weight , 54 [ 7 ] kg )","['A total of 100 women ( mean [ SD ] age ,', '52 [ 7 ]', 'years ; height ,', '154 [ 6 ]', 'cm ; weight , 54 [ 7 ] kg )']","['NP', 'QP', 'NP', 'QP', 'NP']","[['DT', 'NN', 'IN', 'CD', 'NNS', '-LRB-', 'VB', '-LRB-', 'NN', '-RRB-', 'NN', ','], ['CD', '-LRB-', 'CD', '-RRB-'], ['NNS', ':', 'NN', ','], ['CD', '-LRB-', 'CD', '-RRB-'], ['NN', ':', 'NN', ',', 'CD', '-LRB-', 'CD', '-RRB-', 'NNS', '-RRB-']]"
2879,100,['100'],['NP'],[['CD']]
