,split_0,split_1,split_2,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,split_anchor_type,ID,Type,Index,ann_section,ann_source,order_cluster
2233,[ Clinical study of the efficacy of and tolerance to,nimesulide,"in suppository formulation in pain-inflammatory pathologies of the ear , nose , and throat ] .","['[', 'Clinical', 'study', 'of', 'the', 'efficacy', 'of', 'and', 'tolerance', 'to', 'nimesulide', 'in', 'suppository', 'formulation', 'in', 'pain-inflammatory', 'pathologies', 'of', 'the', 'ear', ',', 'nose', ',', 'and', 'throat', ']', '.']","(10, 11)","(52, 62)",-1,ss_i,1780092,Title,0,test,gold,126.0
2234,[ Clinical study of the,efficacy,"of and tolerance to nimesulide in suppository formulation in pain-inflammatory pathologies of the ear , nose , and throat ] .","['[', 'Clinical', 'study', 'of', 'the', 'efficacy', 'of', 'and', 'tolerance', 'to', 'nimesulide', 'in', 'suppository', 'formulation', 'in', 'pain-inflammatory', 'pathologies', 'of', 'the', 'ear', ',', 'nose', ',', 'and', 'throat', ']', '.']","(5, 6)","(23, 31)",-1,ss_o,1780092,Title,0,test,gold,4826.0
2235,[ Clinical study of the efficacy of and,tolerance,"to nimesulide in suppository formulation in pain-inflammatory pathologies of the ear , nose , and throat ] .","['[', 'Clinical', 'study', 'of', 'the', 'efficacy', 'of', 'and', 'tolerance', 'to', 'nimesulide', 'in', 'suppository', 'formulation', 'in', 'pain-inflammatory', 'pathologies', 'of', 'the', 'ear', ',', 'nose', ',', 'and', 'throat', ']', '.']","(8, 9)","(39, 48)",-1,ss_o,1780092,Title,0,test,gold,1356.0
2236,[ Clinical study of the efficacy of and tolerance to,nimesulide,"in suppository formulation in pain-inflammatory pathologies of the ear , nose , and throat ] .","['[', 'Clinical', 'study', 'of', 'the', 'efficacy', 'of', 'and', 'tolerance', 'to', 'nimesulide', 'in', 'suppository', 'formulation', 'in', 'pain-inflammatory', 'pathologies', 'of', 'the', 'ear', ',', 'nose', ',', 'and', 'throat', ']', '.']","(10, 11)","(52, 62)",-1,hl_i,1780092,Title,0,test,gold,127.0
2237,[ Clinical study of the,efficacy,"of and tolerance to nimesulide in suppository formulation in pain-inflammatory pathologies of the ear , nose , and throat ] .","['[', 'Clinical', 'study', 'of', 'the', 'efficacy', 'of', 'and', 'tolerance', 'to', 'nimesulide', 'in', 'suppository', 'formulation', 'in', 'pain-inflammatory', 'pathologies', 'of', 'the', 'ear', ',', 'nose', ',', 'and', 'throat', ']', '.']","(5, 6)","(23, 31)",-1,hl_o,1780092,Title,0,test,gold,4825.0
2238,[ Clinical study of the efficacy of and,tolerance,"to nimesulide in suppository formulation in pain-inflammatory pathologies of the ear , nose , and throat ] .","['[', 'Clinical', 'study', 'of', 'the', 'efficacy', 'of', 'and', 'tolerance', 'to', 'nimesulide', 'in', 'suppository', 'formulation', 'in', 'pain-inflammatory', 'pathologies', 'of', 'the', 'ear', ',', 'nose', ',', 'and', 'throat', ']', '.']","(8, 9)","(39, 48)",-1,hl_o,1780092,Title,0,test,gold,1357.0
2239,The efficacy and tolerability of a new pharmaceutical form of the,non-steroid anti-inflammatory drug .,,"['The', 'efficacy', 'and', 'tolerability', 'of', 'a', 'new', 'pharmaceutical', 'form', 'of', 'the', 'non-steroid', 'anti-inflammatory', 'drug', '.']","(11, 15)","(65, 101)",-1,ss_i,1780092,Abstract,0,test,gold,5081.0
2240,The,efficacy,and tolerability of a new pharmaceutical form of the non-steroid anti-inflammatory drug .,"['The', 'efficacy', 'and', 'tolerability', 'of', 'a', 'new', 'pharmaceutical', 'form', 'of', 'the', 'non-steroid', 'anti-inflammatory', 'drug', '.']","(1, 2)","(3, 11)",-1,ss_o,1780092,Abstract,0,test,gold,4824.0
2241,The efficacy and,tolerability,of a new pharmaceutical form of the non-steroid anti-inflammatory drug .,"['The', 'efficacy', 'and', 'tolerability', 'of', 'a', 'new', 'pharmaceutical', 'form', 'of', 'the', 'non-steroid', 'anti-inflammatory', 'drug', '.']","(3, 4)","(16, 28)",-1,ss_o,1780092,Abstract,0,test,gold,4867.0
2242,The,efficacy,and tolerability of a new pharmaceutical form of the non-steroid anti-inflammatory drug .,"['The', 'efficacy', 'and', 'tolerability', 'of', 'a', 'new', 'pharmaceutical', 'form', 'of', 'the', 'non-steroid', 'anti-inflammatory', 'drug', '.']","(1, 2)","(3, 11)",-1,hl_o,1780092,Abstract,0,test,gold,4823.0
2243,The efficacy and,tolerability,of a new pharmaceutical form of the non-steroid anti-inflammatory drug .,"['The', 'efficacy', 'and', 'tolerability', 'of', 'a', 'new', 'pharmaceutical', 'form', 'of', 'the', 'non-steroid', 'anti-inflammatory', 'drug', '.']","(3, 4)","(16, 28)",-1,hl_o,1780092,Abstract,0,test,gold,4866.0
2244,"Nimesulide have been studied in a double blind study compared with flurbiprofen , in",98 patients aged between 18 and 75 suffering from pain-inflammatory pathologies of ENT nature .,,"['Nimesulide', 'have', 'been', 'studied', 'in', 'a', 'double', 'blind', 'study', 'compared', 'with', 'flurbiprofen', ',', 'in', '98', 'patients', 'aged', 'between', '18', 'and', '75', 'suffering', 'from', 'pain-inflammatory', 'pathologies', 'of', 'ENT', 'nature', '.']","(14, 29)","(84, 179)",-1,ss_p,1780092,Abstract,1,test,gold,7019.0
2245,,Nimesulide,"have been studied in a double blind study compared with flurbiprofen , in 98 patients aged between 18 and 75 suffering from pain-inflammatory pathologies of ENT nature .","['Nimesulide', 'have', 'been', 'studied', 'in', 'a', 'double', 'blind', 'study', 'compared', 'with', 'flurbiprofen', ',', 'in', '98', 'patients', 'aged', 'between', '18', 'and', '75', 'suffering', 'from', 'pain-inflammatory', 'pathologies', 'of', 'ENT', 'nature', '.']","(0, 1)","(0, 10)",-1,ss_i,1780092,Abstract,1,test,gold,124.0
2246,Nimesulide have been studied in a double blind study compared with,flurbiprofen,", in 98 patients aged between 18 and 75 suffering from pain-inflammatory pathologies of ENT nature .","['Nimesulide', 'have', 'been', 'studied', 'in', 'a', 'double', 'blind', 'study', 'compared', 'with', 'flurbiprofen', ',', 'in', '98', 'patients', 'aged', 'between', '18', 'and', '75', 'suffering', 'from', 'pain-inflammatory', 'pathologies', 'of', 'ENT', 'nature', '.']","(11, 12)","(66, 78)",-1,ss_i,1780092,Abstract,1,test,gold,1044.0
2247,"Nimesulide have been studied in a double blind study compared with flurbiprofen , in",98,patients aged between 18 and 75 suffering from pain-inflammatory pathologies of ENT nature .,"['Nimesulide', 'have', 'been', 'studied', 'in', 'a', 'double', 'blind', 'study', 'compared', 'with', 'flurbiprofen', ',', 'in', '98', 'patients', 'aged', 'between', '18', 'and', '75', 'suffering', 'from', 'pain-inflammatory', 'pathologies', 'of', 'ENT', 'nature', '.']","(14, 15)","(84, 86)",-1,hl_p,1780092,Abstract,1,test,gold,
2248,"Nimesulide have been studied in a double blind study compared with flurbiprofen , in 98 patients",aged between 18 and 75,suffering from pain-inflammatory pathologies of ENT nature .,"['Nimesulide', 'have', 'been', 'studied', 'in', 'a', 'double', 'blind', 'study', 'compared', 'with', 'flurbiprofen', ',', 'in', '98', 'patients', 'aged', 'between', '18', 'and', '75', 'suffering', 'from', 'pain-inflammatory', 'pathologies', 'of', 'ENT', 'nature', '.']","(16, 21)","(96, 118)",-1,hl_p,1780092,Abstract,1,test,gold,2030.0
2249,"Nimesulide have been studied in a double blind study compared with flurbiprofen , in 98 patients aged between 18 and 75 suffering from",pain-inflammatory pathologies of ENT nature .,,"['Nimesulide', 'have', 'been', 'studied', 'in', 'a', 'double', 'blind', 'study', 'compared', 'with', 'flurbiprofen', ',', 'in', '98', 'patients', 'aged', 'between', '18', 'and', '75', 'suffering', 'from', 'pain-inflammatory', 'pathologies', 'of', 'ENT', 'nature', '.']","(23, 29)","(134, 179)",-1,hl_p,1780092,Abstract,1,test,gold,3435.0
2250,,Nimesulide,"have been studied in a double blind study compared with flurbiprofen , in 98 patients aged between 18 and 75 suffering from pain-inflammatory pathologies of ENT nature .","['Nimesulide', 'have', 'been', 'studied', 'in', 'a', 'double', 'blind', 'study', 'compared', 'with', 'flurbiprofen', ',', 'in', '98', 'patients', 'aged', 'between', '18', 'and', '75', 'suffering', 'from', 'pain-inflammatory', 'pathologies', 'of', 'ENT', 'nature', '.']","(0, 1)","(0, 10)",-1,hl_i,1780092,Abstract,1,test,gold,125.0
2251,Nimesulide have been studied in a double blind study compared with,flurbiprofen,", in 98 patients aged between 18 and 75 suffering from pain-inflammatory pathologies of ENT nature .","['Nimesulide', 'have', 'been', 'studied', 'in', 'a', 'double', 'blind', 'study', 'compared', 'with', 'flurbiprofen', ',', 'in', '98', 'patients', 'aged', 'between', '18', 'and', '75', 'suffering', 'from', 'pain-inflammatory', 'pathologies', 'of', 'ENT', 'nature', '.']","(11, 12)","(66, 78)",-1,hl_i,1780092,Abstract,1,test,gold,1045.0
2252,"Both drugs , administered in a dose of one suppository twice a day for 7 days , showed marked","anti-inflammatory , analgesic and antipyretic activity","and produced a significant , progressive improvement in the typical symptoms of the inflammatory state up to their complete remission .","['Both', 'drugs', ',', 'administered', 'in', 'a', 'dose', 'of', 'one', 'suppository', 'twice', 'a', 'day', 'for', '7', 'days', ',', 'showed', 'marked', 'anti-inflammatory', ',', 'analgesic', 'and', 'antipyretic', 'activity', 'and', 'produced', 'a', 'significant', ',', 'progressive', 'improvement', 'in', 'the', 'typical', 'symptoms', 'of', 'the', 'inflammatory', 'state', 'up', 'to', 'their', 'complete', 'remission', '.']","(19, 25)","(93, 147)",-1,ss_o,1780092,Abstract,2,test,gold,5055.0
2253,"Both drugs , administered in a dose of one suppository twice a day for 7 days , showed marked anti-inflammatory , analgesic and antipyretic activity and produced a significant , progressive improvement in the typical",symptoms of the inflammatory state,up to their complete remission .,"['Both', 'drugs', ',', 'administered', 'in', 'a', 'dose', 'of', 'one', 'suppository', 'twice', 'a', 'day', 'for', '7', 'days', ',', 'showed', 'marked', 'anti-inflammatory', ',', 'analgesic', 'and', 'antipyretic', 'activity', 'and', 'produced', 'a', 'significant', ',', 'progressive', 'improvement', 'in', 'the', 'typical', 'symptoms', 'of', 'the', 'inflammatory', 'state', 'up', 'to', 'their', 'complete', 'remission', '.']","(35, 40)","(216, 250)",-1,ss_o,1780092,Abstract,2,test,gold,3287.0
2254,"Both drugs , administered in a dose of one suppository twice a day for 7 days , showed marked","anti-inflammatory , analgesic and antipyretic activity","and produced a significant , progressive improvement in the typical symptoms of the inflammatory state up to their complete remission .","['Both', 'drugs', ',', 'administered', 'in', 'a', 'dose', 'of', 'one', 'suppository', 'twice', 'a', 'day', 'for', '7', 'days', ',', 'showed', 'marked', 'anti-inflammatory', ',', 'analgesic', 'and', 'antipyretic', 'activity', 'and', 'produced', 'a', 'significant', ',', 'progressive', 'improvement', 'in', 'the', 'typical', 'symptoms', 'of', 'the', 'inflammatory', 'state', 'up', 'to', 'their', 'complete', 'remission', '.']","(19, 25)","(93, 147)",-1,hl_o,1780092,Abstract,2,test,gold,5056.0
2255,"Both drugs , administered in a dose of one suppository twice a day for 7 days , showed marked anti-inflammatory , analgesic and antipyretic activity and produced a significant , progressive improvement in the typical",symptoms of the inflammatory state,up to their complete remission .,"['Both', 'drugs', ',', 'administered', 'in', 'a', 'dose', 'of', 'one', 'suppository', 'twice', 'a', 'day', 'for', '7', 'days', ',', 'showed', 'marked', 'anti-inflammatory', ',', 'analgesic', 'and', 'antipyretic', 'activity', 'and', 'produced', 'a', 'significant', ',', 'progressive', 'improvement', 'in', 'the', 'typical', 'symptoms', 'of', 'the', 'inflammatory', 'state', 'up', 'to', 'their', 'complete', 'remission', '.']","(35, 40)","(216, 250)",-1,hl_o,1780092,Abstract,2,test,gold,3288.0
2256,,Nimesulide,evidenced greater speed and duration of therapeutic action .,"['Nimesulide', 'evidenced', 'greater', 'speed', 'and', 'duration', 'of', 'therapeutic', 'action', '.']","(0, 1)","(0, 10)",-1,ss_i,1780092,Abstract,3,test,gold,123.0
2257,Nimesulide evidenced greater speed and,duration,of therapeutic action .,"['Nimesulide', 'evidenced', 'greater', 'speed', 'and', 'duration', 'of', 'therapeutic', 'action', '.']","(5, 6)","(38, 46)",-1,ss_o,1780092,Abstract,3,test,gold,1325.0
2258,,Nimesulide,evidenced greater speed and duration of therapeutic action .,"['Nimesulide', 'evidenced', 'greater', 'speed', 'and', 'duration', 'of', 'therapeutic', 'action', '.']","(0, 1)","(0, 10)",-1,hl_i,1780092,Abstract,3,test,gold,122.0
2259,Nimesulide evidenced greater speed and,duration,of therapeutic action .,"['Nimesulide', 'evidenced', 'greater', 'speed', 'and', 'duration', 'of', 'therapeutic', 'action', '.']","(5, 6)","(38, 46)",-1,hl_o,1780092,Abstract,3,test,gold,1324.0
2260,Assessment on the,effectiveness,and tolerability as expressed separately by the physician and patient were positive in almost all cases of both treatments .,"['Assessment', 'on', 'the', 'effectiveness', 'and', 'tolerability', 'as', 'expressed', 'separately', 'by', 'the', 'physician', 'and', 'patient', 'were', 'positive', 'in', 'almost', 'all', 'cases', 'of', 'both', 'treatments', '.']","(3, 4)","(17, 30)",-1,ss_o,1780092,Abstract,4,test,gold,399.0
2261,Assessment on the effectiveness and,tolerability,as expressed separately by the physician and patient were positive in almost all cases of both treatments .,"['Assessment', 'on', 'the', 'effectiveness', 'and', 'tolerability', 'as', 'expressed', 'separately', 'by', 'the', 'physician', 'and', 'patient', 'were', 'positive', 'in', 'almost', 'all', 'cases', 'of', 'both', 'treatments', '.']","(5, 6)","(35, 47)",-1,ss_o,1780092,Abstract,4,test,gold,4865.0
2262,Assessment on the,effectiveness,and tolerability as expressed separately by the physician and patient were positive in almost all cases of both treatments .,"['Assessment', 'on', 'the', 'effectiveness', 'and', 'tolerability', 'as', 'expressed', 'separately', 'by', 'the', 'physician', 'and', 'patient', 'were', 'positive', 'in', 'almost', 'all', 'cases', 'of', 'both', 'treatments', '.']","(3, 4)","(17, 30)",-1,hl_o,1780092,Abstract,4,test,gold,400.0
2263,Assessment on the effectiveness and,tolerability,as expressed separately by the physician and patient were positive in almost all cases of both treatments .,"['Assessment', 'on', 'the', 'effectiveness', 'and', 'tolerability', 'as', 'expressed', 'separately', 'by', 'the', 'physician', 'and', 'patient', 'were', 'positive', 'in', 'almost', 'all', 'cases', 'of', 'both', 'treatments', '.']","(5, 6)","(35, 47)",-1,hl_o,1780092,Abstract,4,test,gold,4864.0
2264,Salmeterol plus fluticasone propionate versus fluticasone propionate plus montelukast : a randomised controlled trial investigating the effects on airway inflammation in,asthma .,,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(21, 23)","(169, 177)",-1,ss_p,17897478,Title,0,test,gold,3457.0
2265,,Salmeterol,plus fluticasone propionate versus fluticasone propionate plus montelukast : a randomised controlled trial investigating the effects on airway inflammation in asthma .,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(0, 1)","(0, 10)",-1,ss_i,17897478,Title,0,test,gold,162.0
2266,Salmeterol plus,fluticasone propionate,versus fluticasone propionate plus montelukast : a randomised controlled trial investigating the effects on airway inflammation in asthma .,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(2, 4)","(15, 37)",-1,ss_i,17897478,Title,0,test,gold,5204.0
2267,Salmeterol plus fluticasone propionate versus,fluticasone propionate,plus montelukast : a randomised controlled trial investigating the effects on airway inflammation in asthma .,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(5, 7)","(45, 67)",-1,ss_i,17897478,Title,0,test,gold,5205.0
2268,Salmeterol plus fluticasone propionate versus fluticasone propionate plus,montelukast :,a randomised controlled trial investigating the effects on airway inflammation in asthma .,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(8, 10)","(73, 86)",-1,ss_i,17897478,Title,0,test,gold,5607.0
2269,Salmeterol plus fluticasone propionate versus fluticasone propionate plus montelukast : a randomised controlled trial investigating the,effects on airway inflammation,in asthma .,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(16, 20)","(135, 165)",-1,ss_o,17897478,Title,0,test,gold,3133.0
2270,,Salmeterol,plus fluticasone propionate versus fluticasone propionate plus montelukast : a randomised controlled trial investigating the effects on airway inflammation in asthma .,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(0, 1)","(0, 10)",-1,hl_i,17897478,Title,0,test,gold,163.0
2271,Salmeterol plus,fluticasone propionate,versus fluticasone propionate plus montelukast : a randomised controlled trial investigating the effects on airway inflammation in asthma .,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(2, 4)","(15, 37)",-1,hl_i,17897478,Title,0,test,gold,5203.0
2272,Salmeterol plus fluticasone propionate versus,fluticasone propionate,plus montelukast : a randomised controlled trial investigating the effects on airway inflammation in asthma .,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(5, 7)","(45, 67)",-1,hl_i,17897478,Title,0,test,gold,5202.0
2273,Salmeterol plus fluticasone propionate versus fluticasone propionate plus,montelukast :,a randomised controlled trial investigating the effects on airway inflammation in asthma .,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(8, 10)","(73, 86)",-1,hl_i,17897478,Title,0,test,gold,5608.0
2274,Salmeterol plus fluticasone propionate versus fluticasone propionate plus montelukast : a randomised controlled trial investigating the effects on,airway inflammation,in asthma .,"['Salmeterol', 'plus', 'fluticasone', 'propionate', 'versus', 'fluticasone', 'propionate', 'plus', 'montelukast', ':', 'a', 'randomised', 'controlled', 'trial', 'investigating', 'the', 'effects', 'on', 'airway', 'inflammation', 'in', 'asthma', '.']","(18, 20)","(146, 165)",-1,hl_o,17897478,Title,0,test,gold,3134.0
2275,BACKGROUND Few studies have compared treatment strategies in,patients with asthma poorly controlled on low dose inhaled corticosteroids,", and little is known about the effects of different treatments on airway inflammation .","['BACKGROUND', 'Few', 'studies', 'have', 'compared', 'treatment', 'strategies', 'in', 'patients', 'with', 'asthma', 'poorly', 'controlled', 'on', 'low', 'dose', 'inhaled', 'corticosteroids', ',', 'and', 'little', 'is', 'known', 'about', 'the', 'effects', 'of', 'different', 'treatments', 'on', 'airway', 'inflammation', '.']","(8, 18)","(60, 134)",-1,ss_p,17897478,Abstract,0,test,gold,7107.0
2276,BACKGROUND Few studies have compared treatment strategies in patients with asthma poorly controlled on low dose inhaled,corticosteroids,", and little is known about the effects of different treatments on airway inflammation .","['BACKGROUND', 'Few', 'studies', 'have', 'compared', 'treatment', 'strategies', 'in', 'patients', 'with', 'asthma', 'poorly', 'controlled', 'on', 'low', 'dose', 'inhaled', 'corticosteroids', ',', 'and', 'little', 'is', 'known', 'about', 'the', 'effects', 'of', 'different', 'treatments', 'on', 'airway', 'inflammation', '.']","(17, 18)","(119, 134)",-1,ss_i,17897478,Abstract,0,test,gold,5602.0
2277,BACKGROUND Few studies have compared treatment strategies in,patients with asthma,"poorly controlled on low dose inhaled corticosteroids , and little is known about the effects of different treatments on airway inflammation .","['BACKGROUND', 'Few', 'studies', 'have', 'compared', 'treatment', 'strategies', 'in', 'patients', 'with', 'asthma', 'poorly', 'controlled', 'on', 'low', 'dose', 'inhaled', 'corticosteroids', ',', 'and', 'little', 'is', 'known', 'about', 'the', 'effects', 'of', 'different', 'treatments', 'on', 'airway', 'inflammation', '.']","(8, 11)","(60, 80)",-1,hl_p,17897478,Abstract,0,test,gold,3811.0
2278,"In this double-blind , placebo-controlled , parallel group study , we compared the effects of salmeterol plus fluticasone propionate ( FP ) ( Seretide ; SFC ) and FP plus montelukast ( FP/M ) on sputum inflammatory markers , airway responsiveness , lung function , and symptoms in",adult asthmatics .,,"['In', 'this', 'double-blind', ',', 'placebo-controlled', ',', 'parallel', 'group', 'study', ',', 'we', 'compared', 'the', 'effects', 'of', 'salmeterol', 'plus', 'fluticasone', 'propionate', '(', 'FP', ')', '(', 'Seretide', ';', 'SFC', ')', 'and', 'FP', 'plus', 'montelukast', '(', 'FP/M', ')', 'on', 'sputum', 'inflammatory', 'markers', ',', 'airway', 'responsiveness', ',', 'lung', 'function', ',', 'and', 'symptoms', 'in', 'adult', 'asthmatics', '.']","(48, 51)","(280, 298)",-1,ss_p,17897478,Abstract,1,test,gold,3813.0
2279,"In this double-blind , placebo-controlled , parallel group study , we compared the effects of",salmeterol,"plus fluticasone propionate ( FP ) ( Seretide ; SFC ) and FP plus montelukast ( FP/M ) on sputum inflammatory markers , airway responsiveness , lung function , and symptoms in adult asthmatics .","['In', 'this', 'double-blind', ',', 'placebo-controlled', ',', 'parallel', 'group', 'study', ',', 'we', 'compared', 'the', 'effects', 'of', 'salmeterol', 'plus', 'fluticasone', 'propionate', '(', 'FP', ')', '(', 'Seretide', ';', 'SFC', ')', 'and', 'FP', 'plus', 'montelukast', '(', 'FP/M', ')', 'on', 'sputum', 'inflammatory', 'markers', ',', 'airway', 'responsiveness', ',', 'lung', 'function', ',', 'and', 'symptoms', 'in', 'adult', 'asthmatics', '.']","(15, 16)","(93, 103)",-1,ss_i,17897478,Abstract,1,test,gold,5609.0
2280,"In this double-blind , placebo-controlled , parallel group study , we compared the effects of salmeterol plus",fluticasone propionate ( FP ) ( Seretide ; SFC ),"and FP plus montelukast ( FP/M ) on sputum inflammatory markers , airway responsiveness , lung function , and symptoms in adult asthmatics .","['In', 'this', 'double-blind', ',', 'placebo-controlled', ',', 'parallel', 'group', 'study', ',', 'we', 'compared', 'the', 'effects', 'of', 'salmeterol', 'plus', 'fluticasone', 'propionate', '(', 'FP', ')', '(', 'Seretide', ';', 'SFC', ')', 'and', 'FP', 'plus', 'montelukast', '(', 'FP/M', ')', 'on', 'sputum', 'inflammatory', 'markers', ',', 'airway', 'responsiveness', ',', 'lung', 'function', ',', 'and', 'symptoms', 'in', 'adult', 'asthmatics', '.']","(17, 27)","(109, 157)",-1,ss_i,17897478,Abstract,1,test,gold,5200.0
2281,"In this double-blind , placebo-controlled , parallel group study , we compared the effects of salmeterol plus fluticasone propionate ( FP ) ( Seretide ; SFC ) and",FP,"plus montelukast ( FP/M ) on sputum inflammatory markers , airway responsiveness , lung function , and symptoms in adult asthmatics .","['In', 'this', 'double-blind', ',', 'placebo-controlled', ',', 'parallel', 'group', 'study', ',', 'we', 'compared', 'the', 'effects', 'of', 'salmeterol', 'plus', 'fluticasone', 'propionate', '(', 'FP', ')', '(', 'Seretide', ';', 'SFC', ')', 'and', 'FP', 'plus', 'montelukast', '(', 'FP/M', ')', 'on', 'sputum', 'inflammatory', 'markers', ',', 'airway', 'responsiveness', ',', 'lung', 'function', ',', 'and', 'symptoms', 'in', 'adult', 'asthmatics', '.']","(28, 29)","(162, 164)",-1,ss_i,17897478,Abstract,1,test,gold,696.0
2282,"In this double-blind , placebo-controlled , parallel group study , we compared the effects of salmeterol plus fluticasone propionate ( FP ) ( Seretide ; SFC ) and FP plus",montelukast ( FP/M ),"on sputum inflammatory markers , airway responsiveness , lung function , and symptoms in adult asthmatics .","['In', 'this', 'double-blind', ',', 'placebo-controlled', ',', 'parallel', 'group', 'study', ',', 'we', 'compared', 'the', 'effects', 'of', 'salmeterol', 'plus', 'fluticasone', 'propionate', '(', 'FP', ')', '(', 'Seretide', ';', 'SFC', ')', 'and', 'FP', 'plus', 'montelukast', '(', 'FP/M', ')', 'on', 'sputum', 'inflammatory', 'markers', ',', 'airway', 'responsiveness', ',', 'lung', 'function', ',', 'and', 'symptoms', 'in', 'adult', 'asthmatics', '.']","(30, 34)","(170, 190)",-1,ss_i,17897478,Abstract,1,test,gold,5606.0
2283,"In this double-blind , placebo-controlled , parallel group study , we compared the effects of salmeterol plus fluticasone propionate ( FP ) ( Seretide ; SFC ) and FP plus montelukast ( FP/M ) on","sputum inflammatory markers , airway responsiveness , lung function , and symptoms",in adult asthmatics .,"['In', 'this', 'double-blind', ',', 'placebo-controlled', ',', 'parallel', 'group', 'study', ',', 'we', 'compared', 'the', 'effects', 'of', 'salmeterol', 'plus', 'fluticasone', 'propionate', '(', 'FP', ')', '(', 'Seretide', ';', 'SFC', ')', 'and', 'FP', 'plus', 'montelukast', '(', 'FP/M', ')', 'on', 'sputum', 'inflammatory', 'markers', ',', 'airway', 'responsiveness', ',', 'lung', 'function', ',', 'and', 'symptoms', 'in', 'adult', 'asthmatics', '.']","(35, 47)","(194, 276)",-1,ss_o,17897478,Abstract,1,test,gold,5988.0
2284,"In this double-blind , placebo-controlled , parallel group study , we compared the effects of salmeterol plus fluticasone propionate ( FP ) ( Seretide ; SFC ) and FP plus montelukast ( FP/M ) on sputum inflammatory markers , airway responsiveness , lung function , and symptoms in",adult asthmatics .,,"['In', 'this', 'double-blind', ',', 'placebo-controlled', ',', 'parallel', 'group', 'study', ',', 'we', 'compared', 'the', 'effects', 'of', 'salmeterol', 'plus', 'fluticasone', 'propionate', '(', 'FP', ')', '(', 'Seretide', ';', 'SFC', ')', 'and', 'FP', 'plus', 'montelukast', '(', 'FP/M', ')', 'on', 'sputum', 'inflammatory', 'markers', ',', 'airway', 'responsiveness', ',', 'lung', 'function', ',', 'and', 'symptoms', 'in', 'adult', 'asthmatics', '.']","(48, 51)","(280, 298)",-1,hl_p,17897478,Abstract,1,test,gold,3814.0
2285,"In this double-blind , placebo-controlled , parallel group study , we compared the effects of",salmeterol,"plus fluticasone propionate ( FP ) ( Seretide ; SFC ) and FP plus montelukast ( FP/M ) on sputum inflammatory markers , airway responsiveness , lung function , and symptoms in adult asthmatics .","['In', 'this', 'double-blind', ',', 'placebo-controlled', ',', 'parallel', 'group', 'study', ',', 'we', 'compared', 'the', 'effects', 'of', 'salmeterol', 'plus', 'fluticasone', 'propionate', '(', 'FP', ')', '(', 'Seretide', ';', 'SFC', ')', 'and', 'FP', 'plus', 'montelukast', '(', 'FP/M', ')', 'on', 'sputum', 'inflammatory', 'markers', ',', 'airway', 'responsiveness', ',', 'lung', 'function', ',', 'and', 'symptoms', 'in', 'adult', 'asthmatics', '.']","(15, 16)","(93, 103)",-1,hl_i,17897478,Abstract,1,test,gold,5610.0
