,p,p_src,p_type,i,i_src,i_type,o,o_src,o_type,ID
93,"['patients with moderate to severe congestive heart failure .', 'patients with moderate to severe congestive heart failure .', 'Seventeen patients on chronic digitalis and diuretic therapy', 'Seventeen patients on chronic digitalis and diuretic therapy', 'patients with moderate to severe chronic heart failure .', 'patients with moderate to severe chronic heart failure .', 'congestive heart failure .', 'congestive heart failure .']","[0, 0, 1, 1, 6, 6, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['flosequinan', 'flosequinan', 'flosequinan', 'placebo', 'flosequinan', 'placebo', 'flosequinan-treated', 'Flosequinan', 'Flosequinan', 'flosequinan', 'flosequinan', 'flosequinan', 'flosequinan', 'flosequinan', 'flosequinan']","[0, 0, 1, 1, 1, 1, 3, 4, 4, 5, 5, 6, 6, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['long-term effect', 'clinical course', 'long-term effect', 'Changes in symptomatology , exercise performance , and left ventricular function', 'symptomatology', 'exercise performance', 'left ventricular function', 'symptom scores and functional classification', 'symptom scores', 'functional classification', 'maximal exercise capacity .', 'maximal exercise capacity .', 'resting heart rate', 'left ventricular systolic function .', 'resting heart rate', 'left ventricular systolic function .']","[0, 0, 0, 2, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 5]","['ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o']",2188766
94,"['The sample comprised 186 patients ( mean age 70 years , 123 ( 66 % ) female patients , 130 ( 70 % ) trauma ) who were referred for physiotherapy assessment/intervention .', '186', 'mean age 70 years', '123', 'female', '130', 'trauma', 'referred for physiotherapy assessment/intervention']","[3, 3, 3, 3, 3, 3, 3, 3]","['ss_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p']","['physiotherapy', 'physiotherapy', 'physiotherapy service', 'physiotherapy service', 'physiotherapy assessment/intervention .', 'physiotherapy assessment/intervention', 'physiotherapy', 'physiotherapy assessment/intervention .', 'physiotherapy', 'physiotherapy assessment/intervention', 'physiotherapy', 'physiotherapy', 'A physiotherapy service', 'physiotherapy', 'physiotherapy service', 'physiotherapy service']","[0, 0, 1, 1, 3, 3, 6, 6, 6, 6, 7, 7, 9, 9, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['rate of hospital admission , rate of re-presentation to the ED , visits to community healthcare practitioners , return to usual work/home/leisure activities and patient satisfaction .', 'rate of hospital admission', 'rate of re-presentation to the ED', 'visits to community healthcare practitioners', 'return to usual work/home/leisure activities', 'patient satisfaction', 'rate of admission to hospital', 'rate of re-presentation to the ED', 'rate of admission to hospital', 'rate of re-presentation to the ED', 'for use of community healthcare resources , return to usual work/home/leisure activities and satisfaction with their EECU care', 'the rate of hospital admission , rate of re-presentation to the ED , use of community healthcare resources', 'the rate of return to usual work/home/leisure activities or patient satisfaction', 'admission rates to hospital :', 'admission rates to hospital :']","[1, 1, 1, 1, 1, 1, 7, 7, 7, 7, 8, 9, 9, 0, 0]","['ss_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o']",21896676
95,"['Male students ( N=443 )', 'Male students', 'N=443']","[2, 2, 2]","['ss_p', 'hl_p', 'hl_p']","['public education about testicular cancer ( TC )', 'threat control strategies ( eg , testicular self-examination ; TSE )', 'testicular self-examination ;', 'TC', 'TC +TSE', 'TC', 'TC +TSE', 'TC+TSE', 'TC', 'TSE', 'TC', 'Cancer information']","[0, 1, 1, 2, 2, 2, 2, 3, 4, 4, 4, 0]","['ss_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i']","['anxiety .', 'anxiety', 'Anxiety levels', 'perceived message benefit', 'intention to self-examine', 'message denigration .', 'Anxiety levels', 'perceived message benefit', 'intention to self-examine', 'message denigration .', 'anxiogenic', 'acceptance of disease awareness information .', 'anxiety :', 'anxiety :']","[0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 0, 0]","['ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o']",21914768
96,"['ACTIVE W study patients , cases with stroke and cases with bleeding were separately matched with controls .', 'ACTIVE W study patients , cases with stroke and cases with bleeding were separately matched with controls .', '32 cases with ischemic stroke and 234 cases with bleeding in the analysis were matched', '122 and 865 controls', '32 cases with ischemic stroke', '234 cases with bleeding', 'lower in individual AF patients', 'atrial fibrillation patients :', 'atrial fibrillation patients :']","[1, 1, 3, 3, 3, 3, 8, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p']","['Time in therapeutic range ( TTR )', 'Time in therapeutic range ( TTR )', 'mean TTR', 'TTR', 'CONCLUSIONS', 'Maintaining a high']","[0, 0, 5, 5, 8, 8]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i']","['Time in therapeutic range ( TTR )', 'stroke and bleeding', 'Time in therapeutic range ( TTR )', 'anticoagulation quality measures', 'the stroke analysis', 'the bleeding analysis', 'mean TTR', 'lower .', 'stroke and', 'Time below range for stroke', 'time above range for bleeding', 'spent more', 'CONCLUSIONS', 'Maintaining a high', 'treatment to prevent stroke and bleeding', 'risk of stroke and bleeding events']","[0, 0, 0, 2, 4, 4, 5, 5, 6, 6, 6, 7, 8, 8, 8, 0]","['ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o']",21924760
97,"['3790 heterosexual HIV-1-serodiscordant couples participating in two longitudinal studies of HIV-1 incidence in seven African countries .', '3790 heterosexual HIV-1-serodiscordant couples participating in two longitudinal studies of HIV-1 incidence in seven African countries', 'Among 1314 couples in which the HIV-1-seronegative partner was female', 'p=0·03 ) .', '1314 couples in which the HIV-1-seronegative partner', 'female', 'Among 2476 couples in which the HIV-1-seronegative partner']","[2, 2, 6, 6, 6, 6, 7]","['ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p']","['Hormonal contraceptives', 'Hormonal contraceptives', 'hormonal contraceptive', 'hormonal contraceptive', 'hormonal contraceptive', 'hormonal contraceptive', 'used hormonal contraception', 'which women used hormonal contraception', 'women did not use hormonal', 'transmission with hormonal', 'Non-hormonal or low-dose hormonal', 'hormonal contraceptives', 'hormonal contraceptives']","[0, 0, 1, 1, 3, 3, 6, 7, 7, 9, 10, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i']","['risk of HIV-1 acquisition', 'HIV-1 transmission', 'rates of HIV-1 acquisition', 'HIV-1 transmission', 'HIV-1 seroconversion .', 'HIV-1 risk .', 'of HIV-1 acquisition', 'HIV-1 acquisition', 'months ) , rates of HIV-1 transmission', 'HIV-1 transmission', 'potentially increased risk of HIV-1 acquisition', 'risk of HIV-1 acquisition', 'risk of HIV-1 transmission :']","[1, 1, 3, 3, 4, 5, 6, 6, 7, 7, 9, 9, 0]","['ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o']",21975269
98,"['patients with heart failure ( HF ) .', 'patients with heart failure ( HF ) .', 'patients with class II to IV HF and ejection fraction < 35 % .', 'patients with class II to IV HF and ejection fraction < 35 % .', 'Of 330 patients intended for enrollment , 23 were randomized ( MARVEL-1 ) before stopping the study for financial reasons .', '330', '23', 'In HF patients with chronic postinfarction cardiomyopathy', 'in HF patients with postinfarction cardiomyopathy', 'patients with chronic heart failure after myocardial infarction .', 'patients with chronic heart failure after myocardial infarction .']","[0, 0, 1, 1, 3, 3, 3, 7, 9, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'ss_p', 'ss_p', 'hl_p']","['myoblasts', 'myoblasts', 'placebo', 'myoblasts', 'placebo', 'myoblasts', '( placebo )', '( placebo )', 'myoblast-treated', '( placebo )', 'myoblast-treated', '( placebo )', 'myoblast-treated', 'myoblast-treated', 'of myoblasts', 'myoblasts', 'by myoblast', 'of myoblast', 'skeletal myoblast implantation', 'skeletal myoblast implantation']","[0, 0, 1, 1, 1, 1, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 8, 9, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i']","['safety', 'preliminary efficacy', 'safety', 'efficacy', 'frequency of serious adverse events ( safety ) and changes in 6-minute walk test and Minnesota Living With HF score ( efficacy ) .', 'frequency of serious adverse events ( safety )', 'changes in 6-minute walk test', 'Minnesota Living With HF score ( efficacy )', 'Ventricular tachycardia responsive', 'Ventricular tachycardia responsive', 'functional capacity', 'in Minnesota Living With HF scores', 'functional capacity', 'safety', 'cardiovascular effects', 'safety', 'cardiovascular effects']","[0, 0, 0, 0, 2, 2, 2, 2, 5, 5, 6, 6, 6, 0, 0, 0, 0]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o']",21982657
99,"['with 210 subjects ≥60 years', '210', '≥60 years', 'immunogenic in adults ≥60', 'healthy adults ≥60 years of age', 'healthy adults ≥60 years of age']","[2, 2, 2, 12, 0, 0]","['ss_p', 'hl_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p']","['of zoster vaccine ( ZV )', 'of ZV', 'zoster vaccine ( ZV )', 'doses of', 'vs. placebo', 'placebo', 'in the', 'in the placebo', 'placebo', 'after', '( GMTs ) in', 'than in the', 'CONCLUSIONS', 'second', 'zoster vaccine', 'zoster vaccine']","[1, 1, 1, 2, 2, 2, 6, 8, 8, 9, 10, 10, 12, 13, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i']","['compared immunity and safety profiles', 'placebo .', 'immunity', 'safety', 'Immunogenicity was evaluated using VZV interferon-gamma ( IFN-γ ) enzyme-linked immunospot ( ELISPOT ) assay and VZV glycoprotein enzyme-linked immunosorbent antibody ( gpELISA ) assay .', 'Immunogenicity', 'Adverse experiences ( AEs )', 'on a standardized Vaccination Report', 'Adverse experiences ( AEs )', 'RESULTS No serious vaccine-related', 'occurred .', 'serious vaccine-related', 'VZV IFN-γ ELISPOT geometric mean count ( GMC ) of spot-forming cells per 10 ( 6 ) peripheral blood mononuclear', 'respectively', 'study .', 'The peak ELISPOT response', 'dose .', 'The gpELISA geometric mean titers', 'between the IFN-γ ELISPOT and gpELISA', 'was generally', 'VZV-specific', 'Safety , tolerability , and immunogenicity', 'Safety', 'tolerability', 'immunogenicity']","[2, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 10, 11, 13, 13, 0, 0, 0, 0]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o']",22154769
100,"['60 elderly patients .', '60 elderly patients', 'elderly patients .', 'elderly patients .']","[0, 0, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p']","['propofol', 'propofol', 'Propofol', 'Propofol', 'propofol', 'propofol']","[0, 0, 1, 1, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['loss of consciousness ( as judged by loss of verbal contact with the patient )', 'loss of consciousness', 'loss of verbal contact with the patient )', 'duration of induction', 'infusion rates', 'total dose', 'duration of induction', 'systolic and diastolic arterial pressure', 'systolic and diastolic arterial pressure', 'incidence of apnoea', 'incidence of apnoea']","[1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4]","['ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",2223363
101,"['adult acute nonlymphocytic leukemia ( ANLL )', 'adult acute nonlymphocytic leukemia ( ANLL )', 'The 101 eligible cases ( bestatin : 48 , control : 53 )', '101', '48', '53', 'acute nonlymphocytic leukemia in adults .', 'acute nonlymphocytic leukemia', 'adults']","[1, 1, 3, 3, 3, 3, 0, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p']","['bestatin', 'bestatin', 'bestatin', 'bestatin', 'bestatin', 'bestatin', '( bestatin :', 'bestatin', 'bestatin', 'bestatin', 'bestatin', 'bestatin', 'Bestatin', 'Bestatin', 'bestatin', 'bestatin']","[0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 4, 4, 5, 5, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['longer remission', 'longer survival .', 'remission', 'survival .', 'prolongation of remission', 'prolongation of remission', 'prolonged survival and remission', 'side-effects .', 'survival', 'remission', 'side-effects .']","[3, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o']",2224060
102,"['autism .', 'autism .']","[0, 0]","['ss_p', 'hl_p']","['psychosocial interventions', 'psychosocial interventions', 'psychosocial interventions', 'psychosocial interventions']","[0, 0, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i']","['Goal attainment scaling ( GAS )', 'Goal attainment scaling ( GAS )', 'scaling level', 'inter-individual equivalence', 'comparability', 'reliability of coding across different behavioral observation methods .', 'assumptions of equality', 'measurability , equidistance , level of difficulty , comparability of behavior samples collected from teachers vs. researchers and live vs. videotape )', 'GAS', 'GAS', 'Goal attainment scaling', 'Goal attainment scaling']","[0, 0, 1, 1, 1, 1, 2, 2, 3, 4, 0, 0]","['ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o']",22271197
103,"['infants undergoing the Norwood procedure', 'infants undergoing the Norwood procedure', '549 subjects ( follow-up , 2.7 ± 0.9 years )', '549', 'infants with single-ventricle lesions :', 'infants', 'single-ventricle lesions']","[0, 0, 3, 3, 0, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p']","['cardiac transplantation', 'cardiac transplantation', 'cardiac transplantation', 'cardiac transplantation', 'cardiac transplantation']","[0, 0, 1, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i']","['factors associated with death and cardiac transplantation', 'death without transplantation , cardiac transplantation , and survival without transplantation .', 'Parametric time-to-event modeling and bootstrapping were used to identify independent predictors .', '.', 'Mortality risk', 'Mortality risk', 'with death', 'lower socioeconomic status', 'obstructed pulmonary venous return', 'smaller ascending aorta', 'and anatomic subtype', 'with death', 'with death included genetic syndrome', 'lower gestational age', 'with death', 'better survival', 'survival', 'Lower pre-Norwood right ventricular fractional area change , pre-Norwood surgery , and anatomy other than hypoplastic left heart syndrome', 'Independent risk factors for intermediate-term mortality', '.', 'Right ventricular function and anatomy', 'not shunt type', 'Intermediate-term mortality and cardiac transplantation', 'risk factors']","[0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 7, 7, 9, 10, 11, 12, 12, 0, 0]","['ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o']",22341427
104,"['children', 'twenty-two 3- to 4-year-olds', 'twenty-two 3- to 4-year-olds', 'thirty-two 4- to 5-year-olds', 'thirty-two 4- to 5-year-olds', 'Preschoolers', 'Preschoolers']","[1, 2, 2, 5, 5, 0, 0]","['ss_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['pretend play .', 'pretend play .', 'pretense', 'pretense', 'scenarios lacking pretend speech or sound effects .', 'scenarios lacking pretend speech or sound effects .', 'pretense .', 'pretense .']","[1, 1, 2, 2, 5, 5, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['general knowledge', 'generic knowledge', ""children 's responses"", 'responses', 'generic knowledge .', 'general knowledge']","[0, 1, 4, 4, 6, 0]","['ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o']",22416755
105,"['individuals formally diagnosed with autism spectrum disorder ( ASD ) .', 'individuals formally diagnosed with autism spectrum disorder ( ASD ) .', '20 children with ASD ( M age = 14.3 yr.', 'SD = 4.2 ; 6 girls , 14 boys ) in the role of speakers and 20 control children , who acted as listeners .', '20 children', 'ASD', 'M age = 14.3 yr.', 'SD = 4.2', '6', '14', '20', 'children', 'Inclusion/exclusion criteria were defined according to the clinical diagnosis of ASD , the presence or absence of additional or associated disability , previous training in referential communication , and any drug treatment .', 'individuals with ASD', 'individuals with ASD', 'individuals with autism spectrum disorder :', 'individuals with autism spectrum disorder :']","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 9, 9, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['referential communication training', 'referential communication training', 'referential communication', 'referential communication tasks ( task analysis , role taking', 'task evaluation )', 'communicative game', 'referential communication tasks ( task analysis , role taking', 'task evaluation )', 'communicative game', 'referential communication', 'referential communication', 'referential communicative skills', 'referential communicative skills']","[0, 0, 3, 7, 7, 7, 7, 7, 7, 9, 9, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['Linguistic age , cognitive level and autistic symptoms', 'Peabody Picture Vocabulary Test ( PPVT ) , the Wechsler Intelligence Scale ( WISC-R or WAIS-III ) , and the Autistic Behavior Checklist ( ABC ) .', 'Linguistic age , cognitive level and autistic symptoms', 'Peabody Picture Vocabulary Test ( PPVT ) , the Wechsler Intelligence Scale ( WISC-R or WAIS-III ) , and the Autistic Behavior Checklist ( ABC ) .', 'Communicative abilities', 'indexes related to message complexity and self-regulation .', 'Communicative abilities', 'complexity of emitted messages', 'complexity of emitted messages']","[5, 5, 5, 5, 6, 6, 6, 8, 8]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",22420121
106,"['Fifty children with high-functioning ASD and anxiety', 'Fifty children', 'high-functioning ASD and anxiety', 'RESULTS Forty-seven children completed either the CBT or TAU condition', 'Forty-seven children', 'for children with ASD', 'children with high-functioning autism spectrum disorders and anxiety :', 'children', 'high-functioning autism spectrum disorders and anxiety']","[4, 4, 4, 6, 6, 10, 0, 0, 0]","['ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p']","['Cognitive behavioral therapies ( CBT )', 'Cognitive behavioral therapies ( CBT )', 'CBT', 'CBT', 'CBT', 'treatment-as-usual ( TAU )', 'CBT', 'treatment-as-usual ( TAU )', 'the CBT or TAU', 'CBT', 'TAU', 'the CBT', 'CBT', 'the CBT', 'the TAU', 'CBT', 'agroup CBT', 'CBT', 'Group cognitive behavior therapy', 'Group cognitive behavior therapy']","[2, 2, 3, 3, 4, 4, 4, 4, 6, 6, 6, 7, 7, 9, 9, 9, 10, 10, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['anxiety symptoms .', 'anxiety symptoms .', 'structured interviews ( Anxiety Disorders Interview Schedule – Parent Version ; ADIS-P )', 'in Clinician Severity Ratings , diagnostic status , and clinician ratings of global improvement', 'positive treatment response']","[2, 2, 5, 8, 9]","['ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o']",22435114
107,"['patients with spotty calcification .', 'patients with spotty calcification .', 'A total of 1,347 stable patients with angiographic coronary artery disease', '1,347 stable patients with angiographic coronary artery disease', 'Patients with spotty calcification were identified based on the presence of lesions ( 1 to 4 mm in length ) containing an arc of calcification of < 90°', 'RESULTS Patients with spotty calcification were older ( age 56 years vs. 54 years ; p = 0.001 ) , more likely to be male ( 68 % vs. 54 % ;', '0.001 )', 'attenuated in patients with spotty calcification']","[0, 0, 3, 3, 4, 6, 6, 9]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p', 'ss_p', 'ss_p']","['serial evaluation of atheroma burden with intravascular ultrasound imaging .', 'serial evaluation of atheroma burden with intravascular ultrasound imaging .']","[3, 3]","['ss_i', 'hl_i']","['atheroma progression', 'atheroma progression', 'spotty calcification', 'disease progression', 'disease progression', 'atheroma burden with intravascular ultrasound imaging .', 'atheroma burden', '.', 'Clinical characteristics and disease progression', 'on-treatment high-density lipoprotein cholesterol levels', 'greater percent atheroma volume ( PAV )', '0.001 ) and total atheroma volume', 'greater progression', 'greater progression', 'and diffuse coronary atherosclerosis', 'accelerated disease progression', 'coronary atherosclerosis', 'progression of coronary atherosclerosis :', 'progression of coronary atherosclerosis :']","[0, 0, 2, 2, 2, 3, 3, 4, 5, 6, 7, 7, 8, 8, 10, 10, 10, 0, 0]","['ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",22538329
108,"['Fifty-six outpatients', 'Fifty-six outpatients', 'Thirty-nine subjects completed the study', 'Thirty-nine subjects completed the study', 'patients with inflammatory bowel disease .', 'patients with inflammatory bowel disease .']","[3, 3, 9, 9, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['relaxation-training sessions', 'relaxation-training sessions', 'relaxation-training', 'relaxation-training', 'patients may benefit from', 'relaxation training', 'relaxation training']","[4, 4, 10, 10, 11, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i']","['quality of life ( QoL ) .', 'quality of life ( QoL ) .', 'state anxiety was assessed with the State-Trait Anxiety Inventory , QoL with the IBD Questionnaire .', 'state anxiety', 'State-Trait Anxiety Inventory , QoL with the IBD Questionnaire .', 'The Visual Analogue Scale assessed pain , depression , stress and mood .', 'Visual Analogue Scale', 'pain', 'depression', 'stress', 'mood', 'symptom monitoring diary .', 'interaction ) : anxiety', '( p < 0.01 ) , QoL', '( p < 0.05 ) , while levels of', 'anxiety', 'quality of life', 'anxiety', 'quality of life']","[0, 0, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 10, 10, 10, 0, 0, 0, 0]","['ss_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o']",22646975
109,"['preschool children with intellectual disabilities ( IDs ) , including children with Down syndrome and children with autism spectrum disorders .', 'preschool children with intellectual disabilities ( IDs ) , including children with Down syndrome and children with autism spectrum disorders .', 'Seventy-seven children', 'Seventy-seven children', 'preschool children who have ID and significant language impairments .', 'preschool children who have ID and significant language impairments .', 'preschool children who have intellectual disabilities .', 'preschool children who have intellectual disabilities .']","[0, 0, 1, 1, 6, 6, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['enhanced milieu teaching ( EMT )', 'enhanced milieu teaching ( EMT )', '( parent + therapist EMT', 'therapist-only EMT )', 'parent + therapist EMT', 'therapist-only EMT', 'EMT', 'EMT', 'enhanced milieu teaching', 'enhanced milieu teaching']","[0, 0, 1, 1, 1, 1, 4, 4, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['language skills', 'standardized and observational measure', 'use of EMT strategies', 'EMT strategies', 'observational measures', 'observational measures']","[0, 3, 4, 4, 5, 5]","['ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",22744141
