,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index
66,It requires no supervision from human annotations such as belief states or dialog acts to achieve effective conversations.,,,S,"['NP', 'VP', '.']",It,0.0,0.0,2.0,0.0,2.0,requires,0.0,3.0,11.0,3.0,11.0,['It'],"['requires', 'achieve']",,,,,,,,,,requires,requires,['It'],['no supervision from human annotations such as belief states or dialog acts to achieve effective conversations'],0,3,12,3,12,,,,,https://www.semanticscholar.org/paper/Alternating-Recurrent-Dialog-Model-with-Large-scale-Wu-Zhang/ff2541f30507b161316edd879fa65fb80a08d16f,6,Abstract,5,It requires no supervision from human annotations such as belief states or dialog acts to achieve effective conversations.,"['It', 'requires', 'no', 'supervision', 'from', 'human', 'annotations', 'such', 'as', 'belief', 'states', 'or', 'dialog', 'acts', 'to', 'achieve', 'effective', 'conversations.']",,,
67,ARDM outperforms or is on par with state-of-the-art methods on two popular task-oriented dialog datasets: CamRest676 and MultiWOZ.,,,S,"['NP', 'VP', '.']",ARDM,0.0,0.0,4.0,0.0,4.0,or is,0.0,17.0,22.0,17.0,22.0,['ARDM'],['is'],,,,,,,,,,is,is,"['ARDM', 'outperforms', 'or']",[],0,20,23,20,23,,,,,https://www.semanticscholar.org/paper/Alternating-Recurrent-Dialog-Model-with-Large-scale-Wu-Zhang/ff2541f30507b161316edd879fa65fb80a08d16f,6,Abstract,6,ARDM outperforms or is on par with state-of-the-art methods on two popular task-oriented dialog datasets: CamRest676 and MultiWOZ.,"['ARDM', 'outperforms', 'or', 'is', 'on', 'par', 'with', 'state-of-the-art', 'methods', 'on', 'two', 'popular', 'task-oriented', 'dialog', 'datasets:', 'CamRest676', 'and', 'MultiWOZ.']",,,
68,"Moreover, we can generalize ARDM to more challenging, non-collaborative tasks such as persuasion.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",we,0.0,11.0,13.0,11.0,13.0,can generalize,0.0,14.0,28.0,14.0,28.0,['we'],"['can', 'generalize']",,,,,,,,,,ARDM,ARDM,"['Moreover , we can generalize']",[],0,29,34,29,34,,,,,https://www.semanticscholar.org/paper/Alternating-Recurrent-Dialog-Model-with-Large-scale-Wu-Zhang/ff2541f30507b161316edd879fa65fb80a08d16f,6,Abstract,7,"Moreover, we can generalize ARDM to more challenging, non-collaborative tasks such as persuasion.","['Moreover,', 'we', 'can', 'generalize', 'ARDM', 'to', 'more', 'challenging,', 'non-collaborative', 'tasks', 'such', 'as', 'persuasion.']",,,
69,"In persuasion tasks, ARDM is capable of generating human-like responses to persuade people to donate to a charity.",,,S,"['PP', ',', 'NP', 'VP', '.']",ARDM,0.0,22.0,26.0,22.0,26.0,is,0.0,27.0,29.0,27.0,29.0,['ARDM'],['is'],,,,,,,,,,capable,is capable,['ARDM'],[],0,27,38,27,38,,,,,https://www.semanticscholar.org/paper/Alternating-Recurrent-Dialog-Model-with-Large-scale-Wu-Zhang/ff2541f30507b161316edd879fa65fb80a08d16f,6,Abstract,8,"In persuasion tasks, ARDM is capable of generating human-like responses to persuade people to donate to a charity.","['In', 'persuasion', 'tasks,', 'ARDM', 'is', 'capable', 'of', 'generating', 'human-like', 'responses', 'to', 'persuade', 'people', 'to', 'donate', 'to', 'a', 'charity.']",,,
70,Alternating Recurrent Dialog Model with Large-scale Pre-trained Language Models.,,,NP,"['VBG', 'NP', 'PP', '.']",Recurrent Dialog Model,0.0,12.0,34.0,12.0,34.0,Alternating,0.0,0.0,11.0,0.0,11.0,"['Recurrent', 'Dialog', 'Model']",['Alternating'],,,,,,,,,,Recurrent,Recurrent,[],"['Dialog', 'Model with Large - scale Pre - trained Language Models .']",0,12,22,12,22,,,,,https://www.semanticscholar.org/paper/Alternating-Recurrent-Dialog-Model-with-Large-scale-Wu-Zhang/ff2541f30507b161316edd879fa65fb80a08d16f,6,Title,0,Alternating Recurrent Dialog Model with Large-scale Pre-trained Language Models.,"['Alternating', 'Recurrent', 'Dialog', 'Model', 'with', 'Large-scale', 'Pre-trained', 'Language', 'Models.']",,,
71,"Transfer learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).",,,S,"['NP', 'VP', '.']",Transfer learning,0.0,0.0,17.0,0.0,17.0,has emerged,0.0,128.0,139.0,128.0,139.0,"['Transfer', 'learning']","['has', 'emerged']",,,,,,,,,,first,first,"['Transfer learning , where a model', 'is']","['pre -', 'trained on a data - rich task before being fine - tuned on a downstream task', ', has emerged as a powerful technique in natural language processing ( NLP ) .']",0,37,43,37,43,,,,,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,7,Abstract,0,"Transfer learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).","['Transfer', 'learning,', 'where', 'a', 'model', 'is', 'first', 'pre-trained', 'on', 'a', 'data-rich', 'task', 'before', 'being', 'fine-tuned', 'on', 'a', 'downstream', 'task,', 'has', 'emerged', 'as', 'a', 'powerful', 'technique', 'in', 'natural', 'language', 'processing', '(NLP).']",,,
72,"The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice.",,,S,"['NP', 'VP', '.']",The effectiveness,0.0,0.0,17.0,0.0,17.0,has given,0.0,39.0,48.0,39.0,48.0,"['The', 'effectiveness']","['has', 'given']",,,,,,,,,,given,has given,[],"['The effectiveness of transfer learning rise to a diversity of approaches , methodology , and practice .']",0,39,49,39,49,,,,,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,7,Abstract,1,"The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice.","['The', 'effectiveness', 'of', 'transfer', 'learning', 'has', 'given', 'rise', 'to', 'a', 'diversity', 'of', 'approaches,', 'methodology,', 'and', 'practice.']",,,
73,"In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,16.0,18.0,16.0,18.0,explore,0.0,19.0,26.0,19.0,26.0,['we'],['explore'],,,,,,,,,,explore,explore,"[',']",['the landscape of transfer learning techniques for NLP'],0,19,27,19,27,,,,,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,7,Abstract,2,"In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format.","['In', 'this', 'paper,', 'we', 'explore', 'the', 'landscape', 'of', 'transfer', 'learning', 'techniques', 'for', 'NLP', 'by', 'introducing', 'a', 'unified', 'framework', 'that', 'converts', 'every', 'language', 'problem', 'into', 'a', 'text-to-text', 'format.']",,,
74,"Our systematic study compares pre-training objectives, architectures, unlabeled datasets, transfer approaches, and other factors on dozens of language understanding tasks.",,,S,"['NP', 'VP', '.']",systematic study,0.0,4.0,20.0,4.0,20.0,compares,0.0,21.0,29.0,21.0,29.0,"['systematic', 'study']",['compares'],,,,,,,,,,compares,compares,"['Our', 'systematic study']","['pre - training objectives , architectures , unlabeled datasets , transfer approaches , and other factors on dozens of language understanding tasks .']",0,21,30,21,30,,,,,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,7,Abstract,3,"Our systematic study compares pre-training objectives, architectures, unlabeled datasets, transfer approaches, and other factors on dozens of language understanding tasks.","['Our', 'systematic', 'study', 'compares', 'pre-training', 'objectives,', 'architectures,', 'unlabeled', 'datasets,', 'transfer', 'approaches,', 'and', 'other', 'factors', 'on', 'dozens', 'of', 'language', 'understanding', 'tasks.']",,,
75,"By combining the insights from our exploration with scale and our new ""Colossal Clean Crawled Corpus"", we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,106.0,108.0,106.0,108.0,achieve,0.0,109.0,116.0,109.0,116.0,['we'],['achieve'],,,,,,,,,,question,question,"['By combining the insights from our exploration with scale and our new "" Colossal Clean Crawled Corpus "" , we achieve state - of - the - art results on many benchmarks covering summarization', ',']","['answering , text classification , and more .']",0,192,201,192,201,,,,,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,7,Abstract,4,"By combining the insights from our exploration with scale and our new ""Colossal Clean Crawled Corpus"", we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more.","['By', 'combining', 'the', 'insights', 'from', 'our', 'exploration', 'with', 'scale', 'and', 'our', 'new', '""Colossal', 'Clean', 'Crawled', 'Corpus"",', 'we', 'achieve', 'state-of-the-art', 'results', 'on', 'many', 'benchmarks', 'covering', 'summarization,', 'question', 'answering,', 'text', 'classification,', 'and', 'more.']",,,
76,"To facilitate future work on transfer learning for NLP, we release our dataset, pre-trained models, and code.",,,S,"['S', ',', 'NP', 'VP', '.']",we,0.0,57.0,59.0,57.0,59.0,release,0.0,60.0,67.0,60.0,67.0,['we'],"['facilitate', 'release']",,,,,,,,,,release,release,"['To', 'we', 'facilitate future work on transfer learning for NLP', ',']","['our dataset , pre - trained models , and code', '.']",0,60,68,60,68,,,,,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,7,Abstract,5,"To facilitate future work on transfer learning for NLP, we release our dataset, pre-trained models, and code.","['To', 'facilitate', 'future', 'work', 'on', 'transfer', 'learning', 'for', 'NLP,', 'we', 'release', 'our', 'dataset,', 'pre-trained', 'models,', 'and', 'code.']",,,
77,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer.,,,VP,"['VBG', 'NP', 'HYPH', 'IN', 'HYPH', 'NN', 'NP', '.']",the Limits Text Transformer,0.0,10.0,85.0,10.0,85.0,Exploring,0.0,0.0,9.0,0.0,9.0,"['the', 'Limits', 'Text', 'Transformer']",['Exploring'],,,,,,,,,,Exploring,Exploring,[],['the Limits of Transfer Learning with a Unified Text - to - Text Transformer .'],0,0,10,0,10,,,,,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,7,Title,0,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer.,"['Exploring', 'the', 'Limits', 'of', 'Transfer', 'Learning', 'with', 'a', 'Unified', 'Text-to-Text', 'Transformer.']",,,
78,"Knowledge distillation can effectively transfer knowledge from BERT, a deep language representation model, to traditional, shallow word embedding-based neural networks, helping them approach or exceed the quality of other heavyweight language representation models.",,,S,"['NP', 'VP', '.']",Knowledge distillation,0.0,0.0,22.0,0.0,22.0,can transfer,0.0,23.0,47.0,23.0,47.0,"['Knowledge', 'distillation']","['can', 'transfer', 'helping', 'approach', 'exceed']",,,,,,,,,,effectively,effectively,['Knowledge distillation can'],"['transfer knowledge from BERT , a deep language representation model , to traditional , shallow word embedding - based neural networks , helping them approach or exceed the quality of other heavyweight language representation models .']",0,27,39,27,39,,,,,https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Abstract,0,"Knowledge distillation can effectively transfer knowledge from BERT, a deep language representation model, to traditional, shallow word embedding-based neural networks, helping them approach or exceed the quality of other heavyweight language representation models.","['Knowledge', 'distillation', 'can', 'effectively', 'transfer', 'knowledge', 'from', 'BERT,', 'a', 'deep', 'language', 'representation', 'model,', 'to', 'traditional,', 'shallow', 'word', 'embedding-based', 'neural', 'networks,', 'helping', 'them', 'approach', 'or', 'exceed', 'the', 'quality', 'of', 'other', 'heavyweight', 'language', 'representation', 'models.']",,,
79,"As shown in previous work, critical to this distillation procedure is the construction of an unlabeled transfer dataset, which enables effective knowledge transfer.",,,SINV,"['IN', 'S', ',', 'ADJP', 'VP', 'NP', '.']",the construction,0.0,71.0,87.0,71.0,87.0,is,0.0,68.0,70.0,68.0,70.0,"['the', 'construction']","['shown', 'is']",,,,,,,,,,construction,is construction,[],['which enables effective knowledge transfer .'],0,68,88,68,88,,,,,https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Abstract,1,"As shown in previous work, critical to this distillation procedure is the construction of an unlabeled transfer dataset, which enables effective knowledge transfer.","['As', 'shown', 'in', 'previous', 'work,', 'critical', 'to', 'this', 'distillation', 'procedure', 'is', 'the', 'construction', 'of', 'an', 'unlabeled', 'transfer', 'dataset,', 'which', 'enables', 'effective', 'knowledge', 'transfer.']",,,
80,"To create transfer set examples, we propose to sample from pretrained language models fine-tuned on taskspecific text.",,,S,"['S', ',', 'NP', 'VP', '.']",we,0.0,34.0,36.0,34.0,36.0,propose,0.0,37.0,44.0,37.0,44.0,['we'],"['create', 'propose', 'sample']",,,,,,,,,,propose,propose,"['To', ',', 'we', 'create transfer set examples']",[],0,37,45,37,45,,,,,https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Abstract,2,"To create transfer set examples, we propose to sample from pretrained language models fine-tuned on taskspecific text.","['To', 'create', 'transfer', 'set', 'examples,', 'we', 'propose', 'to', 'sample', 'from', 'pretrained', 'language', 'models', 'fine-tuned', 'on', 'taskspecific', 'text.']",,,
81,"Unlike previous techniques, this directly captures the purpose of the transfer set.",,,S,"['PP', ',', 'NP', 'VP', '.']",this,0.0,29.0,33.0,29.0,33.0,captures,0.0,43.0,51.0,43.0,51.0,['this'],['captures'],,,,,,,,,,directly,directly,"['this', ',']",['captures the purpose of the transfer set'],0,34,43,34,43,,,,,https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Abstract,3,"Unlike previous techniques, this directly captures the purpose of the transfer set.","['Unlike', 'previous', 'techniques,', 'this', 'directly', 'captures', 'the', 'purpose', 'of', 'the', 'transfer', 'set.']",,,
82,"We hypothesize that this principled, general approach outperforms rule-based techniques.",,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,hypothesize,0.0,3.0,14.0,3.0,14.0,['We'],['hypothesize'],,,,,,,,,,rule,rule,"['We hypothesize that this principled , general approach', 'outperforms']",['- based techniques .'],0,67,72,67,72,,,,,https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Abstract,4,"We hypothesize that this principled, general approach outperforms rule-based techniques.","['We', 'hypothesize', 'that', 'this', 'principled,', 'general', 'approach', 'outperforms', 'rule-based', 'techniques.']",,,
83,"On four datasets in sentiment classification, sentence similarity, and linguistic acceptability, we show that our approach improves upon previous methods.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,100.0,102.0,100.0,102.0,show,0.0,103.0,107.0,103.0,107.0,['we'],['show'],,,,,,,,,,show,show,['we'],['.'],0,103,108,103,108,,,,,https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Abstract,5,"On four datasets in sentiment classification, sentence similarity, and linguistic acceptability, we show that our approach improves upon previous methods.","['On', 'four', 'datasets', 'in', 'sentiment', 'classification,', 'sentence', 'similarity,', 'and', 'linguistic', 'acceptability,', 'we', 'show', 'that', 'our', 'approach', 'improves', 'upon', 'previous', 'methods.']",,,
84,We outperform OpenAI,GPT,", a deep pretrained transformer , on three of the datasets , while using a single-layer bidirectional LSTM that runs at least ten times faster .",S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,outperform,0.0,3.0,13.0,3.0,13.0,['We'],['outperform'],outperform,[],"['OpenAI', 'GPT a deep pretrained transformer , on three of the datasets , while using a single - layer bidirectional LSTM that runs at least ten times faster .', ',']",-1.0,0.0,3.0,14.0,3.0,14.0,We,We,[],"['outperform OpenAI GPT , a deep pretrained transformer , on three of the datasets , while using a single - layer bidirectional LSTM that runs at least ten times faster .']",0,0,3,0,3,using,a,"['PROPN', 'VERB', 'PRON']","['GPT', 'outperform', 'We']",https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Abstract,6,"We outperform OpenAI GPT, a deep pretrained transformer, on three of the datasets, while using a single-layer bidirectional LSTM that runs at least ten times faster.","['We', 'outperform', 'OpenAI', 'GPT', ',', 'a', 'deep', 'pretrained', 'transformer', ',', 'on', 'three', 'of', 'the', 'datasets', ',', 'while', 'using', 'a', 'single-layer', 'bidirectional', 'LSTM', 'that', 'runs', 'at', 'least', 'ten', 'times', 'faster', '.']","(3, 4)","(20, 23)",0.0
85,Natural Language Generation for Effective Knowledge Distillation.,,,NP,"['NP', 'PP', '.']",Natural Language Generation,0.0,0.0,27.0,0.0,27.0,,,,,,,"['Natural', 'Language', 'Generation']",[],,,,,,,,,,Language,Language,[],['Generation'],0,8,17,8,17,,,,,https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Title,0,Natural Language Generation for Effective Knowledge Distillation.,"['Natural', 'Language', 'Generation', 'for', 'Effective', 'Knowledge', 'Distillation.']",,,
86,Large neural language models trained on massive amounts of text have emerged as a formidable strategy for Natural Language Understanding tasks.,,,S,"['NP', 'VP', '.']",Large neural language models,0.0,0.0,28.0,0.0,28.0,have emerged,0.0,64.0,76.0,64.0,76.0,"['Large', 'neural', 'language', 'models']","['have', 'emerged']",,,,,,,,,,emerged,have emerged,['Large neural language models trained on massive amounts of text'],['a formidable strategy for Natural Language Understanding tasks'],0,64,77,64,77,,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,0,Large neural language models trained on massive amounts of text have emerged as a formidable strategy for Natural Language Understanding tasks.,"['Large', 'neural', 'language', 'models', 'trained', 'on', 'massive', 'amounts', 'of', 'text', 'have', 'emerged', 'as', 'a', 'formidable', 'strategy', 'for', 'Natural', 'Language', 'Understanding', 'tasks.']",,,
87,"However, the strength of these models as Natural Language Generators is less clear.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",the strength,0.0,10.0,22.0,10.0,22.0,is,0.0,70.0,72.0,70.0,72.0,"['the', 'strength']",['is'],,,,,,,,,,clear,is clear,"['However', ',', 'the strength of these models as Natural Language Generators', 'less']",['.'],0,70,84,70,84,,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,1,"However, the strength of these models as Natural Language Generators is less clear.","['However,', 'the', 'strength', 'of', 'these', 'models', 'as', 'Natural', 'Language', 'Generators', 'is', 'less', 'clear.']",,,
88,"Though anecdotal evidence suggests that these models generate better quality text, there has been no detailed study characterizing their generation abilities.",,,S,"['SBAR', ',', 'NP', 'VP', '.']",,,,,,,has been,0.0,90.0,98.0,90.0,98.0,[],"['has', 'been']",,,,,,,,,,study,been study,['there'],['characterizing their generation abilities'],0,94,117,94,117,,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,2,"Though anecdotal evidence suggests that these models generate better quality text, there has been no detailed study characterizing their generation abilities.","['Though', 'anecdotal', 'evidence', 'suggests', 'that', 'these', 'models', 'generate', 'better', 'quality', 'text,', 'there', 'has', 'been', 'no', 'detailed', 'study', 'characterizing', 'their', 'generation', 'abilities.']",,,
89,"In this work , we compare the performance of an extensively pretrained model , OpenAI",GPT2,"-117 ( Radford et al. , 2019 ) , to a state-of-the-art neural story generation model ( Fan et al. , 2018 ) .",S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,15.0,17.0,15.0,17.0,compare,0.0,18.0,25.0,18.0,25.0,['we'],['compare'],compare,"[',', 'we']","['the performance of OpenAI GPT2 -117 ( Radford et al . , 2019 )', 'an extensively pretrained model ,', ',']",-1.0,0.0,18.0,26.0,18.0,26.0,compare,compare,"[',', 'we']","['the performance of OpenAI GPT2 -117 ( Radford et al . , 2019 )', 'an extensively pretrained model ,', ',']",0,18,26,18,26,et,117,"['PROPN', 'PROPN', 'NOUN']","['GPT2', 'et', 'performance']",https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,3,"In this work, we compare the performance of an extensively pretrained model, OpenAI GPT2-117 (Radford et al., 2019), to a state-of-the-art neural story generation model (Fan et al., 2018).","['In', 'this', 'work', ',', 'we', 'compare', 'the', 'performance', 'of', 'an', 'extensively', 'pretrained', 'model', ',', 'OpenAI', 'GPT2', '-117', '(', 'Radford', 'et', 'al.', ',', '2019', ')', ',', 'to', 'a', 'state-of-the-art', 'neural', 'story', 'generation', 'model', '(', 'Fan', 'et', 'al.', ',', '2018', ')', '.']","(15, 16)","(85, 89)",0.0
90,"By evaluating the generated text across a wide variety of automatic metrics, we characterize the ways in which pretrained models do, and do not, make better storytellers.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,78.0,80.0,78.0,80.0,characterize,0.0,81.0,93.0,81.0,93.0,['we'],['characterize'],,,,,,,,,,characterize,characterize,"['we', ',']","['the ways in', 'which pretrained models do , and do not , make better storytellers .']",0,81,94,81,94,,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,4,"By evaluating the generated text across a wide variety of automatic metrics, we characterize the ways in which pretrained models do, and do not, make better storytellers.","['By', 'evaluating', 'the', 'generated', 'text', 'across', 'a', 'wide', 'variety', 'of', 'automatic', 'metrics,', 'we', 'characterize', 'the', 'ways', 'in', 'which', 'pretrained', 'models', 'do,', 'and', 'do', 'not,', 'make', 'better', 'storytellers.']",,,
91,We find that although,GPT2 - 117,"conditions more strongly on context , is more sensitive to ordering of events , and uses more unusual words , it is just as likely to produce repetitive and under - diverse text when using likelihood - maximizing decoding algorithms .",S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,find,0.0,3.0,7.0,3.0,7.0,['We'],['find'],find,['We'],[],-1.0,0.0,3.0,8.0,3.0,8.0,find,find,['We'],[],0,3,8,3,8,is,conditions,"['PROPN', 'NOUN', 'VERB']","['GPT2', 'conditions', 'find']",https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,5,"We find that although GPT2-117 conditions more strongly on context, is more sensitive to ordering of events, and uses more unusual words, it is just as likely to produce repetitive and under-diverse text when using likelihood-maximizing decoding algorithms.","['We', 'find', 'that', 'although', 'GPT2', '-', '117', 'conditions', 'more', 'strongly', 'on', 'context', ',', 'is', 'more', 'sensitive', 'to', 'ordering', 'of', 'events', ',', 'and', 'uses', 'more', 'unusual', 'words', ',', 'it', 'is', 'just', 'as', 'likely', 'to', 'produce', 'repetitive', 'and', 'under', '-', 'diverse', 'text', 'when', 'using', 'likelihood', '-', 'maximizing', 'decoding', 'algorithms', '.']","(4, 7)","(21, 31)",0.0
92,"We find that although GPT2 - 117 conditions more strongly on context , is more sensitive to ordering of events , and uses more unusual words ,",it,is just as likely to produce repetitive and under - diverse text when using likelihood - maximizing decoding algorithms .,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,find,0.0,3.0,7.0,3.0,7.0,['We'],['find'],is,['it'],[],1.0,2.0,146.0,149.0,0.0,3.0,find,find,['We'],[],0,3,8,3,8,is,is,"['PRON', 'AUX', 'ADJ']","['it', 'is', 'likely']",https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,5,"We find that although GPT2-117 conditions more strongly on context, is more sensitive to ordering of events, and uses more unusual words, it is just as likely to produce repetitive and under-diverse text when using likelihood-maximizing decoding algorithms.","['We', 'find', 'that', 'although', 'GPT2', '-', '117', 'conditions', 'more', 'strongly', 'on', 'context', ',', 'is', 'more', 'sensitive', 'to', 'ordering', 'of', 'events', ',', 'and', 'uses', 'more', 'unusual', 'words', ',', 'it', 'is', 'just', 'as', 'likely', 'to', 'produce', 'repetitive', 'and', 'under', '-', 'diverse', 'text', 'when', 'using', 'likelihood', '-', 'maximizing', 'decoding', 'algorithms', '.']","(27, 28)","(142, 144)",-1.0
93,Do Massively Pretrained Language Models Make Better Storytellers?.,,,SQ,"['VBP', 'NP', 'VP', '.', '.']",Language Models,0.0,24.0,39.0,24.0,39.0,Do Make,0.0,0.0,44.0,0.0,44.0,"['Language', 'Models']","['Do', 'Make']",,,,,,,,,,Pretrained,Do Pretrained,['Massively'],['Language Models Make Better Storytellers ? .'],0,0,24,0,24,,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Title,0,Do Massively Pretrained Language Models Make Better Storytellers?.,"['Do', 'Massively', 'Pretrained', 'Language', 'Models', 'Make', 'Better', 'Storytellers?.']",,,
94,The Transformer architecture is superior to RNN-based models in computational efficiency.,,,S,"['NP', 'VP', '.']",The Transformer architecture,0.0,0.0,28.0,0.0,28.0,is,0.0,29.0,31.0,29.0,31.0,"['The', 'Transformer', 'architecture']",['is'],,,,,,,,,,superior,is superior,['The Transformer architecture'],[],0,29,41,29,41,,,,,https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Abstract,0,The Transformer architecture is superior to RNN-based models in computational efficiency.,"['The', 'Transformer', 'architecture', 'is', 'superior', 'to', 'RNN-based', 'models', 'in', 'computational', 'efficiency.']",,,
