,split_0,split_1,split_2,averb,averb-s,averb-o,averb-relation,root,root-full,root-s,root-o,fverb,fword,apos,apos-w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span
78,"On four datasets in sentiment classification, sentence similarity, and linguistic acceptability, we show that our approach improves upon previous methods.",,,,,,,show,show,['we'],[],,,,,https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Abstract,5,"On four datasets in sentiment classification, sentence similarity, and linguistic acceptability, we show that our approach improves upon previous methods.","['On', 'four', 'datasets', 'in', 'sentiment', 'classification,', 'sentence', 'similarity,', 'and', 'linguistic', 'acceptability,', 'we', 'show', 'that', 'our', 'approach', 'improves', 'upon', 'previous', 'methods.']",
79,"We outperform OpenAI GPT, a deep pretrained transformer, on three of the datasets, while using a single-layer bidirectional LSTM that runs at least ten times faster.",,,,,,,We,We,[],[],,,,,https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Abstract,6,"We outperform OpenAI GPT, a deep pretrained transformer, on three of the datasets, while using a single-layer bidirectional LSTM that runs at least ten times faster.","['We', 'outperform', 'OpenAI', 'GPT,', 'a', 'deep', 'pretrained', 'transformer,', 'on', 'three', 'of', 'the', 'datasets,', 'while', 'using', 'a', 'single-layer', 'bidirectional', 'LSTM', 'that', 'runs', 'at', 'least', 'ten', 'times', 'faster.']",
80,Natural Language Generation for Effective Knowledge Distillation.,,,,,,,Language,Language,[],[],,,,,https://www.semanticscholar.org/paper/Natural-Language-Generation-for-Effective-Knowledge-Tang-Lu/7d767f64e88fdec81a24190c629dcfe23c940793,8,Title,0,Natural Language Generation for Effective Knowledge Distillation.,"['Natural', 'Language', 'Generation', 'for', 'Effective', 'Knowledge', 'Distillation.']",
81,Large neural language models trained on massive amounts of text have emerged as a formidable strategy for Natural Language Understanding tasks.,,,,,,,emerged,have emerged,['Large neural language models trained on massive amounts of text'],['a formidable strategy for Natural Language Understanding tasks'],,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,0,Large neural language models trained on massive amounts of text have emerged as a formidable strategy for Natural Language Understanding tasks.,"['Large', 'neural', 'language', 'models', 'trained', 'on', 'massive', 'amounts', 'of', 'text', 'have', 'emerged', 'as', 'a', 'formidable', 'strategy', 'for', 'Natural', 'Language', 'Understanding', 'tasks.']",
82,"However, the strength of these models as Natural Language Generators is less clear.",,,,,,,clear,is clear,"['However', 'the strength of these models as Natural Language Generators']",[],,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,1,"However, the strength of these models as Natural Language Generators is less clear.","['However,', 'the', 'strength', 'of', 'these', 'models', 'as', 'Natural', 'Language', 'Generators', 'is', 'less', 'clear.']",
83,"Though anecdotal evidence suggests that these models generate better quality text, there has been no detailed study characterizing their generation abilities.",,,,,,,study,been study,['there'],[],,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,2,"Though anecdotal evidence suggests that these models generate better quality text, there has been no detailed study characterizing their generation abilities.","['Though', 'anecdotal', 'evidence', 'suggests', 'that', 'these', 'models', 'generate', 'better', 'quality', 'text,', 'there', 'has', 'been', 'no', 'detailed', 'study', 'characterizing', 'their', 'generation', 'abilities.']",
84,"In this work, we compare the performance of an extensively pretrained model, OpenAI GPT2-117 (Radford et al., 2019), to a state-of-the-art neural story generation model (Fan et al., 2018).",,,,,,,compare,compare,"[',', 'we']",['the performance of GPT2 ('],,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,3,"In this work, we compare the performance of an extensively pretrained model, OpenAI GPT2-117 (Radford et al., 2019), to a state-of-the-art neural story generation model (Fan et al., 2018).","['In', 'this', 'work,', 'we', 'compare', 'the', 'performance', 'of', 'an', 'extensively', 'pretrained', 'model,', 'OpenAI', 'GPT2-117', '(Radford', 'et', 'al.,', '2019),', 'to', 'a', 'state-of-the-art', 'neural', 'story', 'generation', 'model', '(Fan', 'et', 'al.,', '2018).']",
85,"By evaluating the generated text across a wide variety of automatic metrics, we characterize the ways in which pretrained models do, and do not, make better storytellers.",,,,,,,characterize,characterize,['we'],['the ways in'],,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,4,"By evaluating the generated text across a wide variety of automatic metrics, we characterize the ways in which pretrained models do, and do not, make better storytellers.","['By', 'evaluating', 'the', 'generated', 'text', 'across', 'a', 'wide', 'variety', 'of', 'automatic', 'metrics,', 'we', 'characterize', 'the', 'ways', 'in', 'which', 'pretrained', 'models', 'do,', 'and', 'do', 'not,', 'make', 'better', 'storytellers.']",
86,"We find that although GPT2-117 conditions more strongly on context, is more sensitive to ordering of events, and uses more unusual words, it is just as likely to produce repetitive and under-diverse text when using likelihood-maximizing decoding algorithms.",,,,,,,find,find,['We'],[],,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Abstract,5,"We find that although GPT2-117 conditions more strongly on context, is more sensitive to ordering of events, and uses more unusual words, it is just as likely to produce repetitive and under-diverse text when using likelihood-maximizing decoding algorithms.","['We', 'find', 'that', 'although', 'GPT2-117', 'conditions', 'more', 'strongly', 'on', 'context,', 'is', 'more', 'sensitive', 'to', 'ordering', 'of', 'events,', 'and', 'uses', 'more', 'unusual', 'words,', 'it', 'is', 'just', 'as', 'likely', 'to', 'produce', 'repetitive', 'and', 'under-diverse', 'text', 'when', 'using', 'likelihood-maximizing', 'decoding', 'algorithms.']",
87,Do Massively Pretrained Language Models Make Better Storytellers?.,,,,,,,Pretrained,Do Pretrained,[],[],,,,,https://www.semanticscholar.org/paper/Do-Massively-Pretrained-Language-Models-Make-Better-See-Pappu/65650c58498c34a019bdbd422c3737a512cc4b28,9,Title,0,Do Massively Pretrained Language Models Make Better Storytellers?.,"['Do', 'Massively', 'Pretrained', 'Language', 'Models', 'Make', 'Better', 'Storytellers?.']",
88,The Transformer architecture is superior to RNN-based models in computational efficiency.,,,,,,,superior,is superior,['The Transformer architecture'],[],,,,,https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Abstract,0,The Transformer architecture is superior to RNN-based models in computational efficiency.,"['The', 'Transformer', 'architecture', 'is', 'superior', 'to', 'RNN-based', 'models', 'in', 'computational', 'efficiency.']",
89,"Recently, GPT and",BERT,demonstrate the efficacy of Transformer models on various NLP tasks using pre-trained language models on large-scale corpora.,demonstrate,"['GPT and', 'BERT', 'the efficacy of Transformer models']",[],1.0,demonstrate,demonstrate,"['GPT and', 'BERT', 'the efficacy of Transformer models']",[],demonstrate,demonstrate,"['PROPN', 'VERB']","['BERT', 'demonstrate']",https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Abstract,1,"Recently, GPT and BERT demonstrate the efficacy of Transformer models on various NLP tasks using pre-trained language models on large-scale corpora.","['Recently,', 'GPT', 'and', 'BERT', 'demonstrate', 'the', 'efficacy', 'of', 'Transformer', 'models', 'on', 'various', 'NLP', 'tasks', 'using', 'pre-trained', 'language', 'models', 'on', 'large-scale', 'corpora.']","(3, 4)"
90,"Surprisingly, these Transformer architectures are suboptimal for language model itself.",,,,,,,suboptimal,are suboptimal,"['Surprisingly , these Transformer architectures']",[],,,,,https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Abstract,2,"Surprisingly, these Transformer architectures are suboptimal for language model itself.","['Surprisingly,', 'these', 'Transformer', 'architectures', 'are', 'suboptimal', 'for', 'language', 'model', 'itself.']",
91,Neither self-attention nor the positional encoding in the Transformer is able to efficiently incorporate the word-level sequential context crucial to language modeling.,,,,,,,able,is able,['Neither self - attention nor the positional encoding in the Transformer'],[],,,,,https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Abstract,3,Neither self-attention nor the positional encoding in the Transformer is able to efficiently incorporate the word-level sequential context crucial to language modeling.,"['Neither', 'self-attention', 'nor', 'the', 'positional', 'encoding', 'in', 'the', 'Transformer', 'is', 'able', 'to', 'efficiently', 'incorporate', 'the', 'word-level', 'sequential', 'context', 'crucial', 'to', 'language', 'modeling.']",
92,"In this paper, we explore effective Transformer architectures for language model, including adding additional LSTM layers to better capture the sequential context while still keeping the computation efficient.",,,,,,,explore,explore,"[',', 'we']",[],,,,,https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Abstract,4,"In this paper, we explore effective Transformer architectures for language model, including adding additional LSTM layers to better capture the sequential context while still keeping the computation efficient.","['In', 'this', 'paper,', 'we', 'explore', 'effective', 'Transformer', 'architectures', 'for', 'language', 'model,', 'including', 'adding', 'additional', 'LSTM', 'layers', 'to', 'better', 'capture', 'the', 'sequential', 'context', 'while', 'still', 'keeping', 'the', 'computation', 'efficient.']",
93,We propose Coordinate Architecture Search (CAS) to find an effective architecture through iterative refinement of the model.,,,,,,,propose,propose,[],[],,,,,https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Abstract,5,We propose Coordinate Architecture Search (CAS) to find an effective architecture through iterative refinement of the model.,"['We', 'propose', 'Coordinate', 'Architecture', 'Search', '(CAS)', 'to', 'find', 'an', 'effective', 'architecture', 'through', 'iterative', 'refinement', 'of', 'the', 'model.']",
94,"Experimental results on the PTB, WikiText-2, and WikiText-103 show that CAS achieves perplexities between 20.42 and 34.11 on all problems, i.e.",,,,,,,results,results,"['Experimental on the PTB , WikiText-2 , and WikiText-103 show that CAS achieves perplexities between 20.42 and 34.11 on all problems , i.e.']",[],,,,,https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Abstract,6,"Experimental results on the PTB, WikiText-2, and WikiText-103 show that CAS achieves perplexities between 20.42 and 34.11 on all problems, i.e.","['Experimental', 'results', 'on', 'the', 'PTB,', 'WikiText-2,', 'and', 'WikiText-103', 'show', 'that', 'CAS', 'achieves', 'perplexities', 'between', '20.42', 'and', '34.11', 'on', 'all', 'problems,', 'i.e.']",
95,on average an improvement of 12.0 perplexity units compared to state-of-the-art LSTMs.,,,,,,,average,average,[],[],,,,,https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Abstract,7,on average an improvement of 12.0 perplexity units compared to state-of-the-art LSTMs.,"['on', 'average', 'an', 'improvement', 'of', '12.0', 'perplexity', 'units', 'compared', 'to', 'state-of-the-art', 'LSTMs.']",
96,The source code is publicly available.,,,,,,,publicly,is publicly,['The source code'],[],,,,,https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Abstract,8,The source code is publicly available.,"['The', 'source', 'code', 'is', 'publicly', 'available.']",
97,Language Models with Transformers.,,,,,,,Language,Language,[],[],,,,,https://www.semanticscholar.org/paper/Language-Models-with-Transformers-Wang-Li/8cd4054b41936ba0889edc26be8969c3dc8491d8,10,Title,0,Language Models with Transformers.,"['Language', 'Models', 'with', 'Transformers.']",
98,"Pre-trained deep neural network language models such as ELMo, GPT,",BERT,and XLNet have recently achieved state-of-the-art performance on a variety of language understanding tasks.,achieved,[],[],1.0,state,state,[],[],have,and,"['PROPN', 'PUNCT', 'PROPN']","['BERT', ',', 'GPT']",https://www.semanticscholar.org/paper/Extreme-Language-Model-Compression-with-Optimal-and-Zhao-Gupta/740e4599b0e3113ad804cee4394c7fa7c0e96ca5,11,Abstract,0,"Pre-trained deep neural network language models such as ELMo, GPT, BERT and XLNet have recently achieved state-of-the-art performance on a variety of language understanding tasks.","['Pre-trained', 'deep', 'neural', 'network', 'language', 'models', 'such', 'as', 'ELMo,', 'GPT,', 'BERT', 'and', 'XLNet', 'have', 'recently', 'achieved', 'state-of-the-art', 'performance', 'on', 'a', 'variety', 'of', 'language', 'understanding', 'tasks.']","(10, 11)"
99,"However, their size makes them impractical for a number of scenarios, especially on mobile and edge devices.",,,,,,,makes,makes,"['However', 'their size']",[],,,,,https://www.semanticscholar.org/paper/Extreme-Language-Model-Compression-with-Optimal-and-Zhao-Gupta/740e4599b0e3113ad804cee4394c7fa7c0e96ca5,11,Abstract,1,"However, their size makes them impractical for a number of scenarios, especially on mobile and edge devices.","['However,', 'their', 'size', 'makes', 'them', 'impractical', 'for', 'a', 'number', 'of', 'scenarios,', 'especially', 'on', 'mobile', 'and', 'edge', 'devices.']",
100,"In particular, the input word embedding matrix accounts for a significant proportion of the model's memory footprint, due to the large input vocabulary and embedding dimensions.",,,,,,,embedding,embedding,[],[],,,,,https://www.semanticscholar.org/paper/Extreme-Language-Model-Compression-with-Optimal-and-Zhao-Gupta/740e4599b0e3113ad804cee4394c7fa7c0e96ca5,11,Abstract,2,"In particular, the input word embedding matrix accounts for a significant proportion of the model's memory footprint, due to the large input vocabulary and embedding dimensions.","['In', 'particular,', 'the', 'input', 'word', 'embedding', 'matrix', 'accounts', 'for', 'a', 'significant', 'proportion', 'of', 'the', ""model's"", 'memory', 'footprint,', 'due', 'to', 'the', 'large', 'input', 'vocabulary', 'and', 'embedding', 'dimensions.']",
101,"Knowledge distillation techniques have had success at compressing large neural network models, but they are ineffective at yielding student models with vocabularies different from the original teacher models.",,,,,,,had,had,['Knowledge distillation techniques have'],[],,,,,https://www.semanticscholar.org/paper/Extreme-Language-Model-Compression-with-Optimal-and-Zhao-Gupta/740e4599b0e3113ad804cee4394c7fa7c0e96ca5,11,Abstract,3,"Knowledge distillation techniques have had success at compressing large neural network models, but they are ineffective at yielding student models with vocabularies different from the original teacher models.","['Knowledge', 'distillation', 'techniques', 'have', 'had', 'success', 'at', 'compressing', 'large', 'neural', 'network', 'models,', 'but', 'they', 'are', 'ineffective', 'at', 'yielding', 'student', 'models', 'with', 'vocabularies', 'different', 'from', 'the', 'original', 'teacher', 'models.']",
102,We introduce a novel knowledge distillation technique for training a student model with a significantly smaller vocabulary as well as lower embedding and hidden state dimensions.,,,,,,,introduce,introduce,[],['a novel knowledge distillation technique'],,,,,https://www.semanticscholar.org/paper/Extreme-Language-Model-Compression-with-Optimal-and-Zhao-Gupta/740e4599b0e3113ad804cee4394c7fa7c0e96ca5,11,Abstract,4,We introduce a novel knowledge distillation technique for training a student model with a significantly smaller vocabulary as well as lower embedding and hidden state dimensions.,"['We', 'introduce', 'a', 'novel', 'knowledge', 'distillation', 'technique', 'for', 'training', 'a', 'student', 'model', 'with', 'a', 'significantly', 'smaller', 'vocabulary', 'as', 'well', 'as', 'lower', 'embedding', 'and', 'hidden', 'state', 'dimensions.']",
103,"Specifically, we employ a dual-training mechanism that trains the teacher and student models simultaneously to obtain optimal word embeddings for the student vocabulary.",,,,,,,employ,employ,['we'],"['a dual - training mechanism', 'trains the teacher and student models']",,,,,https://www.semanticscholar.org/paper/Extreme-Language-Model-Compression-with-Optimal-and-Zhao-Gupta/740e4599b0e3113ad804cee4394c7fa7c0e96ca5,11,Abstract,5,"Specifically, we employ a dual-training mechanism that trains the teacher and student models simultaneously to obtain optimal word embeddings for the student vocabulary.","['Specifically,', 'we', 'employ', 'a', 'dual-training', 'mechanism', 'that', 'trains', 'the', 'teacher', 'and', 'student', 'models', 'simultaneously', 'to', 'obtain', 'optimal', 'word', 'embeddings', 'for', 'the', 'student', 'vocabulary.']",
104,We combine this approach with learning shared projection matrices that transfer layer-wise knowledge from the teacher model to the student model.,,,,,,,combine,combine,[],[],,,,,https://www.semanticscholar.org/paper/Extreme-Language-Model-Compression-with-Optimal-and-Zhao-Gupta/740e4599b0e3113ad804cee4394c7fa7c0e96ca5,11,Abstract,6,We combine this approach with learning shared projection matrices that transfer layer-wise knowledge from the teacher model to the student model.,"['We', 'combine', 'this', 'approach', 'with', 'learning', 'shared', 'projection', 'matrices', 'that', 'transfer', 'layer-wise', 'knowledge', 'from', 'the', 'teacher', 'model', 'to', 'the', 'student', 'model.']",
105,Our method is able to compress the,BERT_BASE,"model by more than 60x, with only a minor drop in downstream task metrics, resulting in a language model with a footprint of under 7MB.",compress,[],[],-1.0,able,is able,['Our method'],[],resulting,model,"['PROPN', 'NOUN', 'VERB']","['BERT_BASE', 'model', 'compress']",https://www.semanticscholar.org/paper/Extreme-Language-Model-Compression-with-Optimal-and-Zhao-Gupta/740e4599b0e3113ad804cee4394c7fa7c0e96ca5,11,Abstract,7,"Our method is able to compress the BERT_BASE model by more than 60x, with only a minor drop in downstream task metrics, resulting in a language model with a footprint of under 7MB.","['Our', 'method', 'is', 'able', 'to', 'compress', 'the', 'BERT_BASE', 'model', 'by', 'more', 'than', '60x,', 'with', 'only', 'a', 'minor', 'drop', 'in', 'downstream', 'task', 'metrics,', 'resulting', 'in', 'a', 'language', 'model', 'with', 'a', 'footprint', 'of', 'under', '7MB.']","(7, 8)"
106,Experimental results also demonstrate higher compression efficiency and accuracy when compared with other state-of-the-art compression techniques.,,,,,,,demonstrate,demonstrate,['Experimental results'],[],,,,,https://www.semanticscholar.org/paper/Extreme-Language-Model-Compression-with-Optimal-and-Zhao-Gupta/740e4599b0e3113ad804cee4394c7fa7c0e96ca5,11,Abstract,8,Experimental results also demonstrate higher compression efficiency and accuracy when compared with other state-of-the-art compression techniques.,"['Experimental', 'results', 'also', 'demonstrate', 'higher', 'compression', 'efficiency', 'and', 'accuracy', 'when', 'compared', 'with', 'other', 'state-of-the-art', 'compression', 'techniques.']",
107,Extreme Language Model Compression with Optimal Subwords and Shared Projections.,,,,,,,Language,Language,[],[],,,,,https://www.semanticscholar.org/paper/Extreme-Language-Model-Compression-with-Optimal-and-Zhao-Gupta/740e4599b0e3113ad804cee4394c7fa7c0e96ca5,11,Title,0,Extreme Language Model Compression with Optimal Subwords and Shared Projections.,"['Extreme', 'Language', 'Model', 'Compression', 'with', 'Optimal', 'Subwords', 'and', 'Shared', 'Projections.']",
108,"Over the past year, the emergence of transfer learning with large-scale language models (LM) has led to dramatic performance improvements across a broad range of natural language understanding tasks.",,,,,,,led,led,['the emergence of transfer learning with large - scale language models ( LM )'],[],,,,,https://www.semanticscholar.org/paper/Generation-Distillation-for-Efficient-Natural-in-Melas-Kyriazi-Han/d6cf6c5b746e0f2166fd24a29b01a29535b7d6bb,12,Abstract,0,"Over the past year, the emergence of transfer learning with large-scale language models (LM) has led to dramatic performance improvements across a broad range of natural language understanding tasks.","['Over', 'the', 'past', 'year,', 'the', 'emergence', 'of', 'transfer', 'learning', 'with', 'large-scale', 'language', 'models', '(LM)', 'has', 'led', 'to', 'dramatic', 'performance', 'improvements', 'across', 'a', 'broad', 'range', 'of', 'natural', 'language', 'understanding', 'tasks.']",
109,"However, the size and memory footprint of these large LMs makes them difficult to deploy in many scenarios (e.g.",,,,,,,makes,makes,"['However', ',', 'the size and memory footprint of these large LMs']",[],,,,,https://www.semanticscholar.org/paper/Generation-Distillation-for-Efficient-Natural-in-Melas-Kyriazi-Han/d6cf6c5b746e0f2166fd24a29b01a29535b7d6bb,12,Abstract,1,"However, the size and memory footprint of these large LMs makes them difficult to deploy in many scenarios (e.g.","['However,', 'the', 'size', 'and', 'memory', 'footprint', 'of', 'these', 'large', 'LMs', 'makes', 'them', 'difficult', 'to', 'deploy', 'in', 'many', 'scenarios', '(e.g.']",
110,on mobile phones).,,,,,,,),),['mobile phones'],[],,,,,https://www.semanticscholar.org/paper/Generation-Distillation-for-Efficient-Natural-in-Melas-Kyriazi-Han/d6cf6c5b746e0f2166fd24a29b01a29535b7d6bb,12,Abstract,2,on mobile phones).,"['on', 'mobile', 'phones).']",
111,"Recent research points to knowledge distillation as a potential solution, showing that when training data for a given task is abundant, it is possible to distill a large (teacher) LM into a small task-specific (student) network with minimal loss of performance.",,,,,,,points,points,['Recent research'],[],,,,,https://www.semanticscholar.org/paper/Generation-Distillation-for-Efficient-Natural-in-Melas-Kyriazi-Han/d6cf6c5b746e0f2166fd24a29b01a29535b7d6bb,12,Abstract,3,"Recent research points to knowledge distillation as a potential solution, showing that when training data for a given task is abundant, it is possible to distill a large (teacher) LM into a small task-specific (student) network with minimal loss of performance.","['Recent', 'research', 'points', 'to', 'knowledge', 'distillation', 'as', 'a', 'potential', 'solution,', 'showing', 'that', 'when', 'training', 'data', 'for', 'a', 'given', 'task', 'is', 'abundant,', 'it', 'is', 'possible', 'to', 'distill', 'a', 'large', '(teacher)', 'LM', 'into', 'a', 'small', 'task-specific', '(student)', 'network', 'with', 'minimal', 'loss', 'of', 'performance.']",
112,"However, when such data is scarce, there remains a significant performance gap between large pretrained LMs and smaller task-specific models, even when training via distillation.",,,,,,,remains,remains,"['However ,', 'a significant performance gap between large pretrained LMs and smaller task - specific models , even when training via distillation .']",[],,,,,https://www.semanticscholar.org/paper/Generation-Distillation-for-Efficient-Natural-in-Melas-Kyriazi-Han/d6cf6c5b746e0f2166fd24a29b01a29535b7d6bb,12,Abstract,4,"However, when such data is scarce, there remains a significant performance gap between large pretrained LMs and smaller task-specific models, even when training via distillation.","['However,', 'when', 'such', 'data', 'is', 'scarce,', 'there', 'remains', 'a', 'significant', 'performance', 'gap', 'between', 'large', 'pretrained', 'LMs', 'and', 'smaller', 'task-specific', 'models,', 'even', 'when', 'training', 'via', 'distillation.']",
113,"In this paper, we bridge this gap with a novel training approach, called generation-distillation, that leverages large finetuned LMs in two ways: (1) to generate new (unlabeled) training examples, and (2) to distill their knowledge into a small network using these examples.",,,,,,,bridge,bridge,['we'],[],,,,,https://www.semanticscholar.org/paper/Generation-Distillation-for-Efficient-Natural-in-Melas-Kyriazi-Han/d6cf6c5b746e0f2166fd24a29b01a29535b7d6bb,12,Abstract,5,"In this paper, we bridge this gap with a novel training approach, called generation-distillation, that leverages large finetuned LMs in two ways: (1) to generate new (unlabeled) training examples, and (2) to distill their knowledge into a small network using these examples.","['In', 'this', 'paper,', 'we', 'bridge', 'this', 'gap', 'with', 'a', 'novel', 'training', 'approach,', 'called', 'generation-distillation,', 'that', 'leverages', 'large', 'finetuned', 'LMs', 'in', 'two', 'ways:', '(1)', 'to', 'generate', 'new', '(unlabeled)', 'training', 'examples,', 'and', '(2)', 'to', 'distill', 'their', 'knowledge', 'into', 'a', 'small', 'network', 'using', 'these', 'examples.']",
114,"Across three low-resource text classification datsets, we achieve comparable performance to",BERT,"while using 300x fewer parameters, and we outperform prior approaches to distillation for text classification while using 3x fewer parameters.",achieve,"['three low - resource text classification datsets ,']",[],-1.0,achieve,achieve,"['three low - resource text classification datsets ,']",[],using,while,"['PROPN', 'ADP', 'VERB']","['BERT', 'to', 'achieve']",https://www.semanticscholar.org/paper/Generation-Distillation-for-Efficient-Natural-in-Melas-Kyriazi-Han/d6cf6c5b746e0f2166fd24a29b01a29535b7d6bb,12,Abstract,6,"Across three low-resource text classification datsets, we achieve comparable performance to BERT while using 300x fewer parameters, and we outperform prior approaches to distillation for text classification while using 3x fewer parameters.","['Across', 'three', 'low-resource', 'text', 'classification', 'datsets,', 'we', 'achieve', 'comparable', 'performance', 'to', 'BERT', 'while', 'using', '300x', 'fewer', 'parameters,', 'and', 'we', 'outperform', 'prior', 'approaches', 'to', 'distillation', 'for', 'text', 'classification', 'while', 'using', '3x', 'fewer', 'parameters.']","(11, 12)"
115,Generation-Distillation for Efficient Natural Language Understanding in Low-Data Settings.,,,,,,,Distillation,Distillation,[],[],,,,,https://www.semanticscholar.org/paper/Generation-Distillation-for-Efficient-Natural-in-Melas-Kyriazi-Han/d6cf6c5b746e0f2166fd24a29b01a29535b7d6bb,12,Title,0,Generation-Distillation for Efficient Natural Language Understanding in Low-Data Settings.,"['Generation-Distillation', 'for', 'Efficient', 'Natural', 'Language', 'Understanding', 'in', 'Low-Data', 'Settings.']",
116,"Distantly supervised relation extraction is widely used to extract relational facts from text, but suffers from noisy labels.",,,,,,,widely,is widely,[],[],,,,,https://www.semanticscholar.org/paper/Fine-tuning-Pre-Trained-Transformer-Language-Models-Alt-H%C3%BCbner/68e686817f2c33cd09ba3805fa082348f18affd9,13,Abstract,0,"Distantly supervised relation extraction is widely used to extract relational facts from text, but suffers from noisy labels.","['Distantly', 'supervised', 'relation', 'extraction', 'is', 'widely', 'used', 'to', 'extract', 'relational', 'facts', 'from', 'text,', 'but', 'suffers', 'from', 'noisy', 'labels.']",
117,Current relation extraction methods try to alleviate the noise by multi-instance learning and by providing supporting linguistic and contextual information to more efficiently guide the relation classification.,,,,,,,guide,guide,[],[],,,,,https://www.semanticscholar.org/paper/Fine-tuning-Pre-Trained-Transformer-Language-Models-Alt-H%C3%BCbner/68e686817f2c33cd09ba3805fa082348f18affd9,13,Abstract,1,Current relation extraction methods try to alleviate the noise by multi-instance learning and by providing supporting linguistic and contextual information to more efficiently guide the relation classification.,"['Current', 'relation', 'extraction', 'methods', 'try', 'to', 'alleviate', 'the', 'noise', 'by', 'multi-instance', 'learning', 'and', 'by', 'providing', 'supporting', 'linguistic', 'and', 'contextual', 'information', 'to', 'more', 'efficiently', 'guide', 'the', 'relation', 'classification.']",
118,"While achieving state-of-the-art results, we observed these models to be biased towards recognizing a limited set of relations with high precision, while ignoring those in the long tail.",,,,,,,biased,to be biased,['observed these models'],[],,,,,https://www.semanticscholar.org/paper/Fine-tuning-Pre-Trained-Transformer-Language-Models-Alt-H%C3%BCbner/68e686817f2c33cd09ba3805fa082348f18affd9,13,Abstract,2,"While achieving state-of-the-art results, we observed these models to be biased towards recognizing a limited set of relations with high precision, while ignoring those in the long tail.","['While', 'achieving', 'state-of-the-art', 'results,', 'we', 'observed', 'these', 'models', 'to', 'be', 'biased', 'towards', 'recognizing', 'a', 'limited', 'set', 'of', 'relations', 'with', 'high', 'precision,', 'while', 'ignoring', 'those', 'in', 'the', 'long', 'tail.']",
119,"To address this gap, we utilize a pre-trained language model, the OpenAI Generative Pre-trained Transformer (GPT) [Radford et al., 2018].",,,,,,,utilize,To utilize,['we'],"['a pre - trained language model , the OpenAI Generative Pre - trained Transformer ( GPT ) [ Radford et al . , 2018 ] .']",,,,,https://www.semanticscholar.org/paper/Fine-tuning-Pre-Trained-Transformer-Language-Models-Alt-H%C3%BCbner/68e686817f2c33cd09ba3805fa082348f18affd9,13,Abstract,3,"To address this gap, we utilize a pre-trained language model, the OpenAI Generative Pre-trained Transformer (GPT) [Radford et al., 2018].","['To', 'address', 'this', 'gap,', 'we', 'utilize', 'a', 'pre-trained', 'language', 'model,', 'the', 'OpenAI', 'Generative', 'Pre-trained', 'Transformer', '(GPT)', '[Radford', 'et', 'al.,', '2018].']",
